,obs,predict
2019/4/2 3:00,34,30.74047661
2019/4/2 4:00,24,30.4118824
2019/4/2 5:00,22,28.8741188
2019/4/2 6:00,23,28.55740356
2019/4/2 7:00,39,29.68172455
2019/4/2 8:00,42,34.33311462
2019/4/2 9:00,41,36.37791824
2019/4/2 10:00,43,43.91781235
2019/4/2 11:00,44,45.83962631
2019/4/2 12:00,46,45.87016296
2019/4/2 13:00,48,46.5331192
2019/4/2 14:00,49,50.12564468
2019/4/2 15:00,51,45.54490662
2019/4/2 16:00,51,45.78039169
2019/4/2 17:00,50,40.33679199
2019/4/2 18:00,48,40.65408325
2019/4/2 19:00,48,37.89166641
2019/4/2 20:00,45,32.87202072
2019/4/2 21:00,43,31.4838562
2019/4/2 22:00,44,32.37403107
2019/4/2 23:00,37,30.08984756
2019/4/3 0:00,31,30.73676491
2019/4/3 1:00,26,32.39455032
2019/4/3 2:00,34,29.07227898
2019/4/3 3:00,27,25.95463371
2019/4/3 4:00,24,22.77064323
2019/4/3 5:00,23,25.77836037
2019/4/3 6:00,28,18.82275009
2019/4/3 7:00,28,21.11896706
2019/4/3 8:00,49,27.92050934
2019/4/3 9:00,50,34.48143387
2019/4/3 10:00,51,45.47872162
2019/4/3 11:00,52,50.13368225
2019/4/3 12:00,52,50.45739746
2019/4/3 13:00,53,51.77175903
2019/4/3 14:00,53,51.35567856
2019/4/3 15:00,54,50.2207489
2019/4/3 16:00,53,48.77886581
2019/4/3 17:00,52,45.12757874
2019/4/3 18:00,48,39.90228653
2019/4/3 19:00,44,35.2490921
2019/4/3 20:00,39,34.88749695
2019/4/3 21:00,31,30.99258804
2019/4/3 22:00,28,28.44525719
2019/4/3 23:00,27,25.94366074
2019/4/4 0:00,28,24.77433777
2019/4/4 1:00,29,24.58216858
2019/4/4 2:00,30,25.9794445
2019/4/4 3:00,30,24.36048698
2019/4/4 4:00,30,23.77233315
2019/4/4 5:00,29,22.85983467
2019/4/4 6:00,29,22.73325348
2019/4/4 7:00,32,24.62628555
2019/4/4 8:00,47,28.69963837
2019/4/4 9:00,49,35.29828644
2019/4/4 10:00,49,46.46892548
2019/4/4 11:00,51,55.87874603
2019/4/4 12:00,52,56.73105621
2019/4/4 13:00,54,58.68134689
2019/4/4 14:00,56,58.17560959
2019/4/4 15:00,57,59.00578308
2019/4/4 16:00,59,51.04701233
2019/4/4 17:00,58,46.16856003
2019/4/4 18:00,45,40.26725006
2019/4/4 19:00,42,39.63762665
2019/4/4 20:00,41,37.09730148
2019/4/4 21:00,41,31.67150116
2019/4/4 22:00,42,33.06207275
2019/4/4 23:00,42,34.43009186
2019/4/5 0:00,42,35.20420837
2019/4/5 1:00,42,36.69114304
2019/4/5 2:00,41,37.35440063
2019/4/5 3:00,38,37.34472656
2019/4/5 4:00,37,36.99844742
2019/4/5 5:00,34,34.03222275
2019/4/5 6:00,23,28.02126503
2019/4/5 7:00,33,30.9995594
2019/4/5 8:00,37,38.60336685
2019/4/5 9:00,41,40.14746094
2019/4/5 10:00,43,51.84908676
2019/4/5 11:00,42,53.93225479
2019/4/5 12:00,52,57.63524246
2019/4/5 13:00,59,58.35610199
2019/4/5 14:00,62,58.59364319
2019/4/5 15:00,63,62.14678192
2019/4/5 16:00,62,63.67581177
2019/4/5 17:00,60,58.20895004
2019/4/5 18:00,58,54.21842194
2019/4/5 19:00,54,49.13351822
2019/4/5 20:00,47,45.00579453
2019/4/5 21:00,59,45.57751465
