,obs,predict
2019-04-01 00:00:00,34,30.44417191
2019-04-01 01:00:00,24,27.78262138
2019-04-01 02:00:00,22,26.01651192
2019-04-01 03:00:00,23,27.21172714
2019-04-01 04:00:00,39,30.56945419
2019-04-01 05:00:00,42,37.04763412
2019-04-01 06:00:00,41,37.01687622
2019-04-01 07:00:00,43,39.27609634
2019-04-01 08:00:00,44,44.66942978
2019-04-01 09:00:00,46,46.01764679
2019-04-01 10:00:00,48,46.66178513
2019-04-01 11:00:00,49,48.91769028
2019-04-01 12:00:00,51,48.80708694
2019-04-01 13:00:00,51,48.11650467
2019-04-01 14:00:00,50,41.21743393
2019-04-01 15:00:00,48,38.58939362
2019-04-01 16:00:00,48,37.74813461
2019-04-01 17:00:00,45,32.39717484
2019-04-01 18:00:00,43,29.48107529
2019-04-01 19:00:00,44,28.99435425
2019-04-01 20:00:00,37,27.86426353
2019-04-01 21:00:00,31,29.69352722
2019-04-01 22:00:00,26,32.35985565
2019-04-01 23:00:00,34,31.82104111
2019-04-02 00:00:00,27,32.52951431
2019-04-02 01:00:00,24,30.61929703
2019-04-02 02:00:00,23,31.4353981
2019-04-02 03:00:00,28,26.77320671
2019-04-02 04:00:00,28,23.20244026
2019-04-02 05:00:00,49,27.70228195
2019-04-02 06:00:00,50,35.46834946
2019-04-02 07:00:00,51,38.6627121
2019-04-02 08:00:00,52,43.90786743
2019-04-02 09:00:00,52,48.62823105
2019-04-02 10:00:00,53,50.20070648
2019-04-02 11:00:00,53,52.57196426
2019-04-02 12:00:00,54,56.79418564
2019-04-02 13:00:00,53,56.31476212
2019-04-02 14:00:00,52,52.05835342
2019-04-02 15:00:00,48,44.87678146
2019-04-02 16:00:00,44,36.13874054
2019-04-02 17:00:00,39,32.97257614
2019-04-02 18:00:00,31,29.5726738
2019-04-02 19:00:00,28,27.08768845
2019-04-02 20:00:00,27,24.63975525
2019-04-02 21:00:00,28,23.41252327
2019-04-02 22:00:00,29,22.70280647
2019-04-02 23:00:00,30,23.15672302
2019-04-03 00:00:00,30,22.27769852
2019-04-03 01:00:00,30,21.90348434
2019-04-03 02:00:00,29,19.01534653
2019-04-03 03:00:00,29,19.89862823
2019-04-03 04:00:00,32,27.02106857
2019-04-03 05:00:00,47,28.60377121
2019-04-03 06:00:00,49,36.31061554
2019-04-03 07:00:00,49,39.6730957
2019-04-03 08:00:00,51,45.87233734
2019-04-03 09:00:00,52,52.38267899
2019-04-03 10:00:00,54,56.97609711
2019-04-03 11:00:00,56,56.55316544
2019-04-03 12:00:00,57,53.05420303
2019-04-03 13:00:00,59,50.21447754
2019-04-03 14:00:00,58,50.0055542
2019-04-03 15:00:00,45,46.75503922
2019-04-03 16:00:00,42,41.99147034
2019-04-03 17:00:00,41,36.39390182
2019-04-03 18:00:00,41,31.65114212
2019-04-03 19:00:00,42,31.31147194
2019-04-03 20:00:00,42,30.6376915
2019-04-03 21:00:00,42,29.80880547
2019-04-03 22:00:00,42,31.93175125
2019-04-03 23:00:00,41,31.32118607
2019-04-04 00:00:00,38,33.32142258
2019-04-04 01:00:00,37,35.33940506
2019-04-04 02:00:00,34,36.38256836
2019-04-04 03:00:00,23,36.899086
2019-04-04 04:00:00,33,37.94003296
2019-04-04 05:00:00,37,37.95121765
2019-04-04 06:00:00,41,39.46643829
2019-04-04 07:00:00,43,48.07236099
2019-04-04 08:00:00,42,53.28627396
2019-04-04 09:00:00,52,56.56095886
2019-04-04 10:00:00,59,49.46244431
2019-04-04 11:00:00,62,52.28485489
2019-04-04 12:00:00,63,54.97539139
2019-04-04 13:00:00,62,59.77760315
2019-04-04 14:00:00,60,59.03901291
2019-04-04 15:00:00,58,58.88188171
2019-04-04 16:00:00,54,54.00926208
2019-04-04 17:00:00,47,44.08651352
2019-04-04 18:00:00,59,41.00601959
2019-04-04 19:00:00,76,41.98586273
2019-04-04 20:00:00,77,38.30572128
2019-04-04 21:00:00,64,50.43917465
2019-04-04 22:00:00,49,62.6839447
2019-04-04 23:00:00,55,59.32925797
2019-04-05 00:00:00,49,46.01752472
2019-04-05 01:00:00,42,42.59975815
2019-04-05 02:00:00,39,50.41301346
2019-04-05 03:00:00,32,46.55328369
2019-04-05 04:00:00,49,46.14576721
2019-04-05 05:00:00,55,47.33804321
2019-04-05 06:00:00,60,42.15884399
2019-04-05 07:00:00,64,48.93650818
2019-04-05 08:00:00,69,55.17328644
2019-04-05 09:00:00,74,59.46575165
2019-04-05 10:00:00,76,61.77257538
2019-04-05 11:00:00,81,65.37442017
2019-04-05 12:00:00,82,67.26802063
2019-04-05 13:00:00,82,69.98601532
2019-04-05 14:00:00,76,73.06881714
2019-04-05 15:00:00,53,67.53320313
2019-04-05 16:00:00,46,66.25593567
2019-04-05 17:00:00,44,59.51321793
2019-04-05 18:00:00,42,42.60837173
2019-04-05 19:00:00,43,33.53374863
2019-04-05 20:00:00,43,29.33084488
2019-04-05 21:00:00,39,26.29590988
2019-04-05 22:00:00,39,28.28294373
2019-04-05 23:00:00,38,32.81420517
2019-04-06 00:00:00,39,33.22880173
2019-04-06 01:00:00,37,32.34199524
2019-04-06 02:00:00,36,33.48757935
2019-04-06 03:00:00,35,35.50956726
2019-04-06 04:00:00,38,36.56677628
2019-04-06 05:00:00,49,41.12915039
2019-04-06 06:00:00,53,41.29253006
2019-04-06 07:00:00,57,50.28492355
2019-04-06 08:00:00,62,58.8188858
2019-04-06 09:00:00,67,60.65988541
2019-04-06 10:00:00,70,63.35538101
2019-04-06 11:00:00,68,66.22172546
2019-04-06 12:00:00,68,70.45884705
2019-04-06 13:00:00,73,66.33276367
2019-04-06 14:00:00,74,60.02445602
2019-04-06 15:00:00,65,58.75090408
2019-04-06 16:00:00,51,52.43767548
2019-04-06 17:00:00,42,44.94462585
2019-04-06 18:00:00,40,39.15274811
2019-04-06 19:00:00,36,35.47257996
2019-04-06 20:00:00,34,32.66894913
2019-04-06 21:00:00,34,31.92938423
2019-04-06 22:00:00,35,31.74017143
2019-04-06 23:00:00,34,33.29650879
2019-04-07 00:00:00,30,33.16938782
2019-04-07 01:00:00,42,31.17650604
2019-04-07 02:00:00,43,29.64612389
2019-04-07 03:00:00,37,27.40146255
2019-04-07 04:00:00,36,37.48466492
2019-04-07 05:00:00,37,39.49928665
2019-04-07 06:00:00,41,37.06526947
2019-04-07 07:00:00,39,37.91702271
2019-04-07 08:00:00,36,40.39412308
2019-04-07 09:00:00,42,39.48329926
2019-04-07 10:00:00,44,37.82053375
2019-04-07 11:00:00,43,35.53858566
2019-04-07 12:00:00,36,38.3054924
2019-04-07 13:00:00,30,39.28908157
2019-04-07 14:00:00,29,39.43553162
2019-04-07 15:00:00,29,38.35124207
2019-04-07 16:00:00,29,38.34698486
2019-04-07 17:00:00,33,39.8915596
2019-04-07 18:00:00,30,35.67827606
2019-04-07 19:00:00,27,32.54248428
2019-04-07 20:00:00,28,33.6095047
2019-04-07 21:00:00,29,34.71034622
2019-04-07 22:00:00,27,37.2525177
2019-04-07 23:00:00,24,35.12147141
2019-04-08 00:00:00,41,32.65727234
2019-04-08 01:00:00,45,28.65485573
2019-04-08 02:00:00,46,30.77437782
2019-04-08 03:00:00,44,39.21750641
2019-04-08 04:00:00,47,42.11011124
2019-04-08 05:00:00,49,45.03988647
2019-04-08 06:00:00,49,46.53586197
2019-04-08 07:00:00,49,52.89480972
2019-04-08 08:00:00,49,54.96128464
2019-04-08 09:00:00,50,54.38476181
2019-04-08 10:00:00,51,54.16726685
2019-04-08 11:00:00,52,53.03005219
2019-04-08 12:00:00,51,53.40351868
2019-04-08 13:00:00,50,47.73822403
