,obs,predict
2019/4/2 3:00,34,32.02080917
2019/4/2 4:00,24,30.51761246
2019/4/2 5:00,22,32.02030182
2019/4/2 6:00,23,34.90082932
2019/4/2 7:00,39,41.55086136
2019/4/2 8:00,42,46.14575577
2019/4/2 9:00,41,47.80623627
2019/4/2 10:00,43,50.47397995
2019/4/2 11:00,44,50.42043304
2019/4/2 12:00,46,52.82148743
2019/4/2 13:00,48,52.42612076
2019/4/2 14:00,49,50.40180588
2019/4/2 15:00,51,49.00468445
2019/4/2 16:00,51,44.17764282
2019/4/2 17:00,50,34.94680405
2019/4/2 18:00,48,34.42398834
2019/4/2 19:00,48,35.83735275
2019/4/2 20:00,45,34.67077255
2019/4/2 21:00,43,31.34279633
2019/4/2 22:00,44,31.07496262
2019/4/2 23:00,37,31.93287468
2019/4/3 0:00,31,34.37723541
2019/4/3 1:00,26,36.36358261
2019/4/3 2:00,34,38.13716888
2019/4/3 3:00,27,39.50842667
2019/4/3 4:00,24,37.71923828
2019/4/3 5:00,23,35.85736084
2019/4/3 6:00,28,31.32251167
2019/4/3 7:00,28,29.36468124
2019/4/3 8:00,49,30.94514084
2019/4/3 9:00,50,37.88225555
2019/4/3 10:00,51,51.49777985
2019/4/3 11:00,52,56.23038483
2019/4/3 12:00,52,58.36829376
2019/4/3 13:00,53,58.37553406
2019/4/3 14:00,53,57.70358276
2019/4/3 15:00,54,57.45956421
2019/4/3 16:00,53,55.70798492
2019/4/3 17:00,52,49.88895035
2019/4/3 18:00,48,43.52987671
2019/4/3 19:00,44,40.41491318
2019/4/3 20:00,39,38.93668747
2019/4/3 21:00,31,37.34906769
2019/4/3 22:00,28,34.61376953
2019/4/3 23:00,27,32.18183517
2019/4/4 0:00,28,29.44683075
2019/4/4 1:00,29,27.34075165
2019/4/4 2:00,30,26.25825119
2019/4/4 3:00,30,26.79256058
2019/4/4 4:00,30,26.51627159
2019/4/4 5:00,29,23.41163254
2019/4/4 6:00,29,22.06767082
2019/4/4 7:00,32,22.93798637
2019/4/4 8:00,47,25.7464447
2019/4/4 9:00,49,37.02290344
2019/4/4 10:00,49,52.0353775
2019/4/4 11:00,51,58.88450623
2019/4/4 12:00,52,63.22501373
2019/4/4 13:00,54,64.82003021
2019/4/4 14:00,56,62.04840469
2019/4/4 15:00,57,57.33120346
2019/4/4 16:00,59,49.79668808
2019/4/4 17:00,58,44.84412384
2019/4/4 18:00,45,39.8079834
2019/4/4 19:00,42,40.63955688
2019/4/4 20:00,41,42.61505127
2019/4/4 21:00,41,43.224823
2019/4/4 22:00,42,40.01350403
2019/4/4 23:00,42,38.96848679
2019/4/5 0:00,42,36.34846878
2019/4/5 1:00,42,36.11756897
2019/4/5 2:00,41,33.86006927
2019/4/5 3:00,38,36.11291885
2019/4/5 4:00,37,34.96144104
2019/4/5 5:00,34,34.77303314
2019/4/5 6:00,23,37.57995605
2019/4/5 7:00,33,41.65626144
2019/4/5 8:00,37,36.88592148
2019/4/5 9:00,41,40.05948257
2019/4/5 10:00,43,49.20025635
2019/4/5 11:00,42,53.12598419
2019/4/5 12:00,52,59.58649826
2019/4/5 13:00,59,60.12846375
2019/4/5 14:00,62,63.6303978
2019/4/5 15:00,63,62.89850235
2019/4/5 16:00,62,61.52583694
2019/4/5 17:00,60,56.10381317
2019/4/5 18:00,58,44.4290123
2019/4/5 19:00,54,38.67569733
2019/4/5 20:00,47,39.36367035
2019/4/5 21:00,59,39.99049377
2019/4/5 22:00,76,36.57837296
2019/4/5 23:00,77,32.42604828
2019/4/6 0:00,64,33.25001907
2019/4/6 1:00,49,38.49204636
2019/4/6 2:00,55,36.37680054
2019/4/6 3:00,49,29.8481369
2019/4/6 4:00,42,26.11579323
2019/4/6 5:00,39,29.95536423
2019/4/6 6:00,32,30.2772007
2019/4/6 7:00,49,31.19994354
2019/4/6 8:00,55,36.47308731
2019/4/6 9:00,60,44.12036896
2019/4/6 10:00,64,54.05597687
2019/4/6 11:00,69,62.41098785
2019/4/6 12:00,74,66.52071381
2019/4/6 13:00,76,64.28977203
2019/4/6 14:00,81,63.69302368
2019/4/6 15:00,82,60.49304581
2019/4/6 16:00,82,61.64209366
2019/4/6 17:00,76,64.89949036
2019/4/6 18:00,53,61.366642
2019/4/6 19:00,46,58.33802414
2019/4/6 20:00,44,50.99058533
2019/4/6 21:00,42,43.75878143
2019/4/6 22:00,43,42.63882065
2019/4/6 23:00,43,38.84906387
2019/4/7 0:00,39,32.79049301
2019/4/7 1:00,39,30.29955864
2019/4/7 2:00,38,29.64526939
2019/4/7 3:00,39,29.48235703
2019/4/7 4:00,37,27.13880348
2019/4/7 5:00,36,23.80398369
2019/4/7 6:00,35,25.53504181
2019/4/7 7:00,38,30.66127205
2019/4/7 8:00,49,37.14667892
2019/4/7 9:00,53,46.48163605
2019/4/7 10:00,57,55.14761353
2019/4/7 11:00,62,69.22373962
2019/4/7 12:00,67,73.00921631
2019/4/7 13:00,70,77.38400269
2019/4/7 14:00,68,77.23368835
2019/4/7 15:00,68,74.82880402
2019/4/7 16:00,73,67.98207855
2019/4/7 17:00,74,61.21377563
2019/4/7 18:00,65,55.88434219
2019/4/7 19:00,51,50.14265823
2019/4/7 20:00,42,44.4887085
2019/4/7 21:00,40,43.03617477
2019/4/7 22:00,36,43.28334427
2019/4/7 23:00,34,41.75172806
2019/4/8 0:00,34,37.83865356
2019/4/8 1:00,35,33.18174362
2019/4/8 2:00,34,30.29458618
2019/4/8 3:00,30,29.95283508
2019/4/8 4:00,42,24.44701004
2019/4/8 5:00,43,16.16154861
2019/4/8 6:00,37,19.24339294
2019/4/8 7:00,36,31.7033062
2019/4/8 8:00,37,39.68548203
2019/4/8 9:00,41,39.04869843
2019/4/8 10:00,39,41.72327423
2019/4/8 11:00,36,45.9030571
2019/4/8 12:00,42,49.9564476
2019/4/8 13:00,44,49.41799164
2019/4/8 14:00,43,49.82712173
2019/4/8 15:00,36,53.11466599
2019/4/8 16:00,30,50.89883423
2019/4/8 17:00,29,48.65348053
2019/4/8 18:00,29,42.70376205
2019/4/8 19:00,29,38.43093109
2019/4/8 20:00,33,35.42523575
2019/4/8 21:00,30,31.90320778
2019/4/8 22:00,27,34.62496948
2019/4/8 23:00,28,34.34240341
2019/4/9 0:00,29,31.85536957
2019/4/9 1:00,27,31.56968689
2019/4/9 2:00,24,31.01213837
2019/4/9 3:00,41,31.12193871
2019/4/9 4:00,45,28.5260582
2019/4/9 5:00,46,28.92457581
2019/4/9 6:00,44,39.75638199
2019/4/9 7:00,47,41.32772064
2019/4/9 8:00,49,41.80643082
2019/4/9 9:00,49,44.62696838
2019/4/9 10:00,49,48.11986542
2019/4/9 11:00,49,47.97381973
