,predict,obs
2019/4/2 3:00,28.60767937,38
2019/4/2 4:00,21.98072433,39
2019/4/2 5:00,20.74007988,32
2019/4/2 6:00,27.81953049,37
2019/4/2 7:00,34.24704742,45
2019/4/2 8:00,37.41202927,46
2019/4/2 9:00,48.38417435,45
2019/4/2 10:00,53.44398117,47
2019/4/2 11:00,52.18532944,47
2019/4/2 12:00,51.52772141,49
2019/4/2 13:00,51.56977844,49
2019/4/2 14:00,47.79945374,48
2019/4/2 15:00,49.87569046,48
2019/4/2 16:00,45.61766434,47
2019/4/2 17:00,42.77386856,45
2019/4/2 18:00,39.00924683,44
2019/4/2 19:00,36.60258102,43
2019/4/2 20:00,34.34506226,43
2019/4/2 21:00,34.96123505,44
2019/4/2 22:00,35.09297562,43
2019/4/2 23:00,35.68310928,42
2019/4/3 0:00,36.65790558,41
2019/4/3 1:00,34.23315811,38
2019/4/3 2:00,31.24118423,35
2019/4/3 3:00,26.65800095,36
2019/4/3 4:00,21.70643425,28
2019/4/3 5:00,20.54001999,34
2019/4/3 6:00,25.37503242,28
2019/4/3 7:00,29.49041557,34
2019/4/3 8:00,37.04239655,41
2019/4/3 9:00,43.34376144,45
2019/4/3 10:00,49.28944778,46
2019/4/3 11:00,49.22967148,47
2019/4/3 12:00,49.44240189,48
2019/4/3 13:00,47.36704254,49
2019/4/3 14:00,45.94882584,49
2019/4/3 15:00,44.79973602,49
2019/4/3 16:00,45.04343796,49
2019/4/3 17:00,38.77379608,47
2019/4/3 18:00,35.74698257,45
2019/4/3 19:00,36.39468002,43
2019/4/3 20:00,36.76974106,39
2019/4/3 21:00,35.97237778,36
2019/4/3 22:00,35.18437576,36
2019/4/3 23:00,31.85006714,36
2019/4/4 0:00,27.66794205,31
2019/4/4 1:00,27.81640816,28
2019/4/4 2:00,24.72395325,21
2019/4/4 3:00,16.75602913,19
2019/4/4 4:00,13.87982368,18
2019/4/4 5:00,14.65679264,7
2019/4/4 6:00,15.5235424,12
2019/4/4 7:00,19.38249397,27
2019/4/4 8:00,23.67555237,34
2019/4/4 9:00,38.76922989,40
2019/4/4 10:00,50.38715744,46
2019/4/4 11:00,51.57936859,50
2019/4/4 12:00,51.94561005,53
2019/4/4 13:00,54.19538498,56
2019/4/4 14:00,54.59952545,57
2019/4/4 15:00,53.62784958,57
2019/4/4 16:00,53.77141953,60
2019/4/4 17:00,48.21113205,58
2019/4/4 18:00,38.09705353,53
2019/4/4 19:00,38.42801285,46
