,再現率,適合率,調和平均,特徴量,地点,lag
ベンチマーク_世田谷区世田谷_lag=1,75,85.71428571,80,ベンチマーク,世田谷区世田谷,1
ベンチマーク_世田谷区世田谷_lag=2,41.66666667,76.92307692,54.05405405,ベンチマーク,世田谷区世田谷,2
ベンチマーク_世田谷区世田谷_lag=3,45.83333333,57.89473684,51.1627907,ベンチマーク,世田谷区世田谷,3
ベンチマーク_多摩市愛宕_lag=1,53.33333333,84.21052632,65.30612245,ベンチマーク,多摩市愛宕,1
ベンチマーク_多摩市愛宕_lag=2,53.33333333,61.53846154,57.14285714,ベンチマーク,多摩市愛宕,2
ベンチマーク_多摩市愛宕_lag=3,43.33333333,39.39393939,41.26984127,ベンチマーク,多摩市愛宕,3
ベンチマーク_幸手_lag=1,80.64516129,73.52941176,76.92307692,ベンチマーク,幸手,1
ベンチマーク_幸手_lag=2,48.38709677,60,53.57142857,ベンチマーク,幸手,2
ベンチマーク_幸手_lag=3,19.35483871,66.66666667,30,ベンチマーク,幸手,3
ベンチマーク_所沢市東所沢_lag=1,60.52631579,92,73.01587302,ベンチマーク,所沢市東所沢,1
ベンチマーク_所沢市東所沢_lag=2,60.52631579,69.6969697,64.78873239,ベンチマーク,所沢市東所沢,2
ベンチマーク_所沢市東所沢_lag=3,34.21052632,56.52173913,42.62295082,ベンチマーク,所沢市東所沢,3
ベンチマーク_東秩父_lag=1,70.83333333,89.47368421,79.06976744,ベンチマーク,東秩父,1
ベンチマーク_東秩父_lag=2,41.66666667,90.90909091,57.14285714,ベンチマーク,東秩父,2
ベンチマーク_東秩父_lag=3,45.83333333,84.61538462,59.45945946,ベンチマーク,東秩父,3
ベンチマーク_江戸川区南葛西_lag=1,71.42857143,78.94736842,75,ベンチマーク,江戸川区南葛西,1
ベンチマーク_江戸川区南葛西_lag=2,47.61904762,76.92307692,58.82352941,ベンチマーク,江戸川区南葛西,2
ベンチマーク_江戸川区南葛西_lag=3,33.33333333,70,45.16129032,ベンチマーク,江戸川区南葛西,3
ベンチマーク_草加市西町_lag=1,59.09090909,76.47058824,66.66666667,ベンチマーク,草加市西町,1
ベンチマーク_草加市西町_lag=2,36.36363636,47.05882353,41.02564103,ベンチマーク,草加市西町,2
