,predict,obs
2019-04-01 00:00:00,41.760143,37.0
2019-04-01 01:00:00,41.337334,36.0
2019-04-01 02:00:00,36.44682,40.0
2019-04-01 03:00:00,36.66689,35.0
2019-04-01 04:00:00,39.98557,21.0
2019-04-01 05:00:00,29.287663,28.0
2019-04-01 06:00:00,26.128197,38.0
2019-04-01 07:00:00,32.335075,44.0
2019-04-01 08:00:00,44.69171,47.0
2019-04-01 09:00:00,50.18653,48.333333333333336
2019-04-01 10:00:00,51.36652,49.66666666666666
2019-04-01 11:00:00,49.037205,51.0
2019-04-01 12:00:00,49.672626,52.333333333333336
2019-04-01 13:00:00,52.048832,53.66666666666666
2019-04-01 14:00:00,50.042835,55.0
2019-04-01 15:00:00,41.392582,53.0
2019-04-01 16:00:00,41.236443,49.0
2019-04-01 17:00:00,50.811558,49.0
2019-04-01 18:00:00,48.991238,47.0
2019-04-01 19:00:00,39.708897,45.0
2019-04-01 20:00:00,46.4704,42.0
2019-04-01 21:00:00,44.285084,45.0
2019-04-01 22:00:00,44.20187,44.0
2019-04-01 23:00:00,42.947803,43.0
2019-04-02 00:00:00,39.58001,40.0
2019-04-02 01:00:00,36.621365,32.0
2019-04-02 02:00:00,30.902021,29.0
2019-04-02 03:00:00,24.362978,23.0
2019-04-02 04:00:00,19.243351,14.0
2019-04-02 05:00:00,15.426094,28.0
2019-04-02 06:00:00,18.514582,39.0
2019-04-02 07:00:00,41.35082,45.0
2019-04-02 08:00:00,40.763668,47.0
2019-04-02 09:00:00,48.492092,48.0
2019-04-02 10:00:00,49.325428,49.0
2019-04-02 11:00:00,48.691643,51.0
2019-04-02 12:00:00,49.049232,50.0
2019-04-02 13:00:00,52.700924,49.0
2019-04-02 14:00:00,50.71665,49.0
2019-04-02 15:00:00,49.726955,49.0
2019-04-02 16:00:00,46.26363,47.0
2019-04-02 17:00:00,46.079315,45.0
2019-04-02 18:00:00,43.98145,44.0
2019-04-02 19:00:00,42.27885,41.0
2019-04-02 20:00:00,39.581352,41.0
2019-04-02 21:00:00,38.605587,41.0
2019-04-02 22:00:00,40.85963,39.0
2019-04-02 23:00:00,39.426167,39.0
2019-04-03 00:00:00,36.787235,39.0
2019-04-03 01:00:00,35.327724,38.0
2019-04-03 02:00:00,34.84401,33.0
2019-04-03 03:00:00,33.586918,29.0
2019-04-03 04:00:00,27.826754,21.0
2019-04-03 05:00:00,23.206347,21.0
2019-04-03 06:00:00,14.073212,34.0
2019-04-03 07:00:00,35.282528,44.0
2019-04-03 08:00:00,40.485455,47.0
2019-04-03 09:00:00,47.328014,48.0
2019-04-03 10:00:00,48.604294,49.0
2019-04-03 11:00:00,48.067234,49.0
2019-04-03 12:00:00,49.212025,50.0
2019-04-03 13:00:00,48.979847,50.0
2019-04-03 14:00:00,49.88558,50.0
