,predict,obs
2019-04-01 00:00:00,40.244766,40.0
2019-04-01 01:00:00,39.98639,36.0
2019-04-01 02:00:00,37.035263,26.0
2019-04-01 03:00:00,32.99151,15.0
2019-04-01 04:00:00,30.288008,32.0
2019-04-01 05:00:00,29.683567,42.0
2019-04-01 06:00:00,49.042282,45.0
2019-04-01 07:00:00,45.23205,48.0
2019-04-01 08:00:00,51.7286,54.0
2019-04-01 09:00:00,52.499496,56.0
2019-04-01 10:00:00,55.82229,58.0
2019-04-01 11:00:00,55.92674,56.0
2019-04-01 12:00:00,55.234795,54.0
2019-04-01 13:00:00,47.605118,52.0
2019-04-01 14:00:00,48.474136,54.0
2019-04-01 15:00:00,42.076443,48.0
2019-04-01 16:00:00,43.87771,42.0
2019-04-01 17:00:00,43.178894,45.0
2019-04-01 18:00:00,38.775257,49.0
2019-04-01 19:00:00,32.386246,46.0
2019-04-01 20:00:00,38.860725,47.0
2019-04-01 21:00:00,42.281815,41.0
2019-04-01 22:00:00,25.287188,41.0
2019-04-01 23:00:00,41.13202,40.0
2019-04-02 00:00:00,32.151653,31.0
2019-04-02 01:00:00,24.857523,22.0
2019-04-02 02:00:00,30.37813,28.0
2019-04-02 03:00:00,28.565527,28.0
2019-04-02 04:00:00,24.351587,28.0
2019-04-02 05:00:00,39.74574,39.0
2019-04-02 06:00:00,43.96597,44.0
2019-04-02 07:00:00,49.693474,46.0
2019-04-02 08:00:00,53.415604,48.0
2019-04-02 09:00:00,50.09027,50.0
2019-04-02 10:00:00,49.305866,52.0
2019-04-02 11:00:00,52.13937,51.0
2019-04-02 12:00:00,53.881435,49.0
2019-04-02 13:00:00,49.846798,47.0
2019-04-02 14:00:00,42.781475,48.0
2019-04-02 15:00:00,39.92855,49.0
2019-04-02 16:00:00,36.255676,46.0
2019-04-02 17:00:00,41.416645,45.0
2019-04-02 18:00:00,42.00962,47.0
2019-04-02 19:00:00,40.95482,43.0
2019-04-02 20:00:00,41.970245,40.0
2019-04-02 21:00:00,41.14149,41.0
2019-04-02 22:00:00,36.00098,36.0
2019-04-02 23:00:00,31.863264,40.0
2019-04-03 00:00:00,32.623226,37.0
2019-04-03 01:00:00,30.006502,32.0
2019-04-03 02:00:00,28.537235,14.0
2019-04-03 03:00:00,28.947958,13.0
2019-04-03 04:00:00,28.928366,18.0
2019-04-03 05:00:00,35.617516,32.0
2019-04-03 06:00:00,53.443497,45.0
2019-04-03 07:00:00,52.45117,48.0
2019-04-03 08:00:00,48.164917,50.0
2019-04-03 09:00:00,49.573154,51.0
2019-04-03 10:00:00,51.360783,52.0
2019-04-03 11:00:00,52.852615,53.0
2019-04-03 12:00:00,52.62796,53.0
2019-04-03 13:00:00,50.88656,53.0
2019-04-03 14:00:00,46.555145,51.0
2019-04-03 15:00:00,42.071587,49.0
2019-04-03 16:00:00,41.15464,45.0
2019-04-03 17:00:00,40.93705,44.0
2019-04-03 18:00:00,40.578056,39.0
2019-04-03 19:00:00,38.60137,34.0
2019-04-03 20:00:00,35.199913,37.0
2019-04-03 21:00:00,30.699545,35.0
2019-04-03 22:00:00,26.929907,31.0
2019-04-03 23:00:00,29.666742,27.0
2019-04-04 00:00:00,28.912455,14.0
2019-04-04 01:00:00,26.175505,7.0
2019-04-04 02:00:00,15.328729,5.0
2019-04-04 03:00:00,8.085094,5.0
2019-04-04 04:00:00,12.546333,16.0
2019-04-04 05:00:00,25.461023,26.0
2019-04-04 06:00:00,21.979635,27.0
2019-04-04 07:00:00,45.209354,39.0
2019-04-04 08:00:00,46.305573,51.0
2019-04-04 09:00:00,45.90946,53.0
2019-04-04 10:00:00,52.2983,55.0
2019-04-04 11:00:00,58.567677,58.0
2019-04-04 12:00:00,58.94312,62.0
2019-04-04 13:00:00,59.928207,62.0
2019-04-04 14:00:00,56.936172,62.0
2019-04-04 15:00:00,53.30142,62.0
2019-04-04 16:00:00,51.654655,60.0
2019-04-04 17:00:00,54.4829,52.0
2019-04-04 18:00:00,52.23043,43.0
2019-04-04 19:00:00,48.65061,30.0
2019-04-04 20:00:00,41.911003,28.0
2019-04-04 21:00:00,34.955196,21.0
2019-04-04 22:00:00,27.254557,17.0
2019-04-04 23:00:00,30.714312,13.0
2019-04-05 00:00:00,20.861174,10.0
2019-04-05 01:00:00,5.375895,12.0
2019-04-05 02:00:00,9.882304,13.0
2019-04-05 03:00:00,13.6800785,4.0
2019-04-05 04:00:00,22.709854,5.0
2019-04-05 05:00:00,17.026846,15.0
2019-04-05 06:00:00,17.214958,24.0
2019-04-05 07:00:00,23.924686,29.0
2019-04-05 08:00:00,48.583153,35.0
2019-04-05 09:00:00,50.830788,50.0
2019-04-05 10:00:00,53.17003,62.0
2019-04-05 11:00:00,52.489456,64.0
