,predict,obs
2019-04-01 00:00:00,46.068985,45.0
2019-04-01 01:00:00,45.941177,46.0
2019-04-01 02:00:00,45.72099,45.0
2019-04-01 03:00:00,46.406273,45.0
2019-04-01 04:00:00,45.050842,46.0
2019-04-01 05:00:00,44.89272,45.0
2019-04-01 06:00:00,45.596287,46.0
2019-04-01 07:00:00,44.262486,46.0
2019-04-01 08:00:00,45.00387,49.0
2019-04-01 09:00:00,45.086464,49.0
2019-04-01 10:00:00,49.39272,47.0
2019-04-01 11:00:00,49.158848,51.0
2019-04-01 12:00:00,47.993134,53.0
2019-04-01 13:00:00,49.779224,55.0
2019-04-01 14:00:00,51.519146,53.0
2019-04-01 15:00:00,51.449394,51.0
2019-04-01 16:00:00,50.036835,48.0
2019-04-01 17:00:00,47.13666,47.0
2019-04-01 18:00:00,46.283646,46.0
2019-04-01 19:00:00,45.23536,43.0
2019-04-01 20:00:00,43.50514,42.0
2019-04-01 21:00:00,40.824528,42.0
2019-04-01 22:00:00,40.004982,40.0
2019-04-01 23:00:00,40.015575,38.0
2019-04-02 00:00:00,38.857155,40.0
2019-04-02 01:00:00,37.628403,43.0
2019-04-02 02:00:00,39.056026,41.0
2019-04-02 03:00:00,42.005516,40.0
2019-04-02 04:00:00,40.40655,42.0
2019-04-02 05:00:00,40.05754,44.0
2019-04-02 06:00:00,42.837124,45.0
2019-04-02 07:00:00,44.59248,47.0
2019-04-02 08:00:00,46.47498,48.0
2019-04-02 09:00:00,45.98944,48.0
2019-04-02 10:00:00,47.002304,49.0
2019-04-02 11:00:00,47.23241,50.0
2019-04-02 12:00:00,49.256416,49.0
2019-04-02 13:00:00,51.471558,49.0
2019-04-02 14:00:00,50.844204,50.0
2019-04-02 15:00:00,50.26339,50.0
2019-04-02 16:00:00,51.99562,48.0
2019-04-02 17:00:00,50.329636,47.0
2019-04-02 18:00:00,47.815304,46.0
2019-04-02 19:00:00,47.068245,44.0
2019-04-02 20:00:00,45.777653,44.0
2019-04-02 21:00:00,44.71107,46.0
2019-04-02 22:00:00,43.213573,47.0
2019-04-02 23:00:00,44.0414,48.0
2019-04-03 00:00:00,47.40461,47.0
2019-04-03 01:00:00,47.679256,47.0
2019-04-03 02:00:00,46.590313,46.0
2019-04-03 03:00:00,47.00449,46.0
2019-04-03 04:00:00,47.074818,47.0
2019-04-03 05:00:00,47.121876,47.0
2019-04-03 06:00:00,47.994263,48.0
2019-04-03 07:00:00,47.67828,47.0
2019-04-03 08:00:00,47.86296,47.0
2019-04-03 09:00:00,46.02293,48.0
2019-04-03 10:00:00,47.453575,48.0
2019-04-03 11:00:00,49.45866,49.0
2019-04-03 12:00:00,50.987713,49.0
2019-04-03 13:00:00,50.90714,50.0
2019-04-03 14:00:00,52.918888,49.0
2019-04-03 15:00:00,50.033817,49.0
2019-04-03 16:00:00,51.989487,49.0
2019-04-03 17:00:00,49.98969,47.0
2019-04-03 18:00:00,48.316734,45.0
2019-04-03 19:00:00,46.213093,46.0
2019-04-03 20:00:00,44.543087,48.0
2019-04-03 21:00:00,44.442867,48.0
2019-04-03 22:00:00,45.607754,47.0
2019-04-03 23:00:00,46.126915,48.0
2019-04-04 00:00:00,47.595757,46.0
2019-04-04 01:00:00,47.810825,48.0
2019-04-04 02:00:00,46.307373,49.0
2019-04-04 03:00:00,48.77795,49.0
2019-04-04 04:00:00,46.997593,52.0
2019-04-04 05:00:00,48.464252,52.0
2019-04-04 06:00:00,48.572353,52.0
2019-04-04 07:00:00,49.509678,54.0
2019-04-04 08:00:00,49.108116,54.0
2019-04-04 09:00:00,52.11734,55.0
2019-04-04 10:00:00,61.02475,50.0
2019-04-04 11:00:00,62.86927,53.0
2019-04-04 12:00:00,64.42065,52.0
2019-04-04 13:00:00,68.21284,51.0
2019-04-04 14:00:00,62.959522,57.0
2019-04-04 15:00:00,59.53708,56.0
2019-04-04 16:00:00,57.03848,59.0
2019-04-04 17:00:00,52.849026,61.0
2019-04-04 18:00:00,55.615215,62.0
2019-04-04 19:00:00,57.715176,62.0
2019-04-04 20:00:00,58.527836,60.0
2019-04-04 21:00:00,56.713463,61.0
2019-04-04 22:00:00,55.634197,60.0
2019-04-04 23:00:00,56.71564,60.0
2019-04-05 00:00:00,53.318783,60.0
2019-04-05 01:00:00,53.295517,57.0
2019-04-05 02:00:00,56.707756,57.0
2019-04-05 03:00:00,53.18794,56.0
2019-04-05 04:00:00,46.109127,56.0
2019-04-05 05:00:00,48.757336,55.0
2019-04-05 06:00:00,49.367695,53.0
2019-04-05 07:00:00,48.487267,49.0
2019-04-05 08:00:00,45.087994,49.0
2019-04-05 09:00:00,53.707664,50.0
2019-04-05 10:00:00,56.18454,50.0
2019-04-05 11:00:00,58.12585,50.0
2019-04-05 12:00:00,57.903263,52.0
2019-04-05 13:00:00,58.866264,58.0
2019-04-05 14:00:00,62.189266,65.0
2019-04-05 15:00:00,65.66753,65.0
2019-04-05 16:00:00,71.39705,59.0
2019-04-05 17:00:00,69.853645,59.0
2019-04-05 18:00:00,59.68157,66.0
2019-04-05 19:00:00,57.815445,74.0
2019-04-05 20:00:00,63.392162,75.0
2019-04-05 21:00:00,68.63028,72.0
2019-04-05 22:00:00,65.17853,70.0
2019-04-05 23:00:00,49.211018,68.0
2019-04-06 00:00:00,47.75458,65.0
2019-04-06 01:00:00,55.18355,61.0
2019-04-06 02:00:00,56.352768,64.0
2019-04-06 03:00:00,52.811893,63.0
2019-04-06 04:00:00,58.046906,57.0
2019-04-06 05:00:00,56.351177,57.0
2019-04-06 06:00:00,51.27046,54.0
2019-04-06 07:00:00,49.862587,55.0
2019-04-06 08:00:00,45.708393,56.0
2019-04-06 09:00:00,43.31038,58.0
2019-04-06 10:00:00,50.246277,59.0
2019-04-06 11:00:00,56.214912,54.0
2019-04-06 12:00:00,72.25469,53.0
2019-04-06 13:00:00,66.835945,53.0
2019-04-06 14:00:00,66.90229,52.0
2019-04-06 15:00:00,68.661606,52.0
2019-04-06 16:00:00,65.744484,53.0
2019-04-06 17:00:00,60.77794,54.0
2019-04-06 18:00:00,59.132336,53.0
2019-04-06 19:00:00,52.595673,55.0
2019-04-06 20:00:00,46.957302,52.0
2019-04-06 21:00:00,49.80882,52.0
2019-04-06 22:00:00,46.942574,51.0
2019-04-06 23:00:00,46.437153,51.0
2019-04-07 00:00:00,46.474876,49.0
2019-04-07 01:00:00,45.53821,51.0
2019-04-07 02:00:00,44.67699,52.0
2019-04-07 03:00:00,47.865936,55.0
2019-04-07 04:00:00,50.77177,54.0
2019-04-07 05:00:00,47.870434,52.0
2019-04-07 06:00:00,45.63475,49.0
2019-04-07 07:00:00,45.802143,47.0
2019-04-07 08:00:00,43.293518,46.0
2019-04-07 09:00:00,49.54946,48.0
2019-04-07 10:00:00,53.889812,52.0
2019-04-07 11:00:00,62.089394,57.0
2019-04-07 12:00:00,65.6885,58.0
2019-04-07 13:00:00,67.76327,62.0
2019-04-07 14:00:00,65.39717,68.0
2019-04-07 15:00:00,66.23239,66.0
2019-04-07 16:00:00,69.87312,59.0
2019-04-07 17:00:00,64.593735,62.0
2019-04-07 18:00:00,55.0549,65.0
