,predict,obs
2019-04-01 00:00:00,40.844994,43.0
2019-04-01 01:00:00,41.323753,41.0
2019-04-01 02:00:00,37.275406,40.0
2019-04-01 03:00:00,36.406563,34.0
2019-04-01 04:00:00,29.747972,33.0
2019-04-01 05:00:00,32.802166,23.0
2019-04-01 06:00:00,19.421793,21.0
2019-04-01 07:00:00,30.88982,37.0
2019-04-01 08:00:00,35.674026,44.0
2019-04-01 09:00:00,45.914005,47.0
2019-04-01 10:00:00,47.592148,51.0
2019-04-01 11:00:00,51.11786,55.0
2019-04-01 12:00:00,56.236206,58.0
2019-04-01 13:00:00,55.61358,56.0
2019-04-01 14:00:00,49.125534,44.0
2019-04-01 15:00:00,39.859352,48.0
2019-04-01 16:00:00,43.98809,51.0
2019-04-01 17:00:00,47.363907,44.0
2019-04-01 18:00:00,41.79203,45.0
2019-04-01 19:00:00,35.22802,44.0
2019-04-01 20:00:00,42.019344,46.0
2019-04-01 21:00:00,42.76776,42.0
2019-04-01 22:00:00,38.504513,43.0
2019-04-01 23:00:00,38.568165,41.0
2019-04-02 00:00:00,37.071632,43.0
2019-04-02 01:00:00,38.969746,41.0
2019-04-02 02:00:00,35.401222,38.0
2019-04-02 03:00:00,27.200026,30.0
2019-04-02 04:00:00,15.125381,13.0
2019-04-02 05:00:00,2.83996,3.0
2019-04-02 06:00:00,4.949836,18.0
2019-04-02 07:00:00,26.103388,40.0
2019-04-02 08:00:00,43.620674,47.0
2019-04-02 09:00:00,47.795467,47.0
2019-04-02 10:00:00,47.398106,49.0
2019-04-02 11:00:00,48.71691,51.0
2019-04-02 12:00:00,50.37294,51.0
2019-04-02 13:00:00,49.798088,51.0
2019-04-02 14:00:00,45.991962,39.0
2019-04-02 15:00:00,36.222145,45.0
2019-04-02 16:00:00,35.69602,47.0
2019-04-02 17:00:00,49.729897,47.0
2019-04-02 18:00:00,43.586067,46.0
2019-04-02 19:00:00,41.916336,44.0
2019-04-02 20:00:00,38.603683,45.0
2019-04-02 21:00:00,43.74167,43.0
2019-04-02 22:00:00,41.440636,41.0
2019-04-02 23:00:00,36.351135,38.0
2019-04-03 00:00:00,36.738987,40.0
2019-04-03 01:00:00,36.782314,39.0
2019-04-03 02:00:00,35.52305,36.0
2019-04-03 03:00:00,31.259666,30.0
2019-04-03 04:00:00,24.797262,25.0
2019-04-03 05:00:00,17.705284,10.0
2019-04-03 06:00:00,3.8816462,14.0
2019-04-03 07:00:00,24.891039,35.0
2019-04-03 08:00:00,37.34285,43.0
2019-04-03 09:00:00,45.136078,46.0
2019-04-03 10:00:00,45.90516,48.0
2019-04-03 11:00:00,48.39421,49.0
2019-04-03 12:00:00,47.4925,50.0
2019-04-03 13:00:00,48.168175,51.0
2019-04-03 14:00:00,49.056175,51.0
2019-04-03 15:00:00,48.810944,51.0
2019-04-03 16:00:00,48.717167,50.0
2019-04-03 17:00:00,46.81875,48.0
2019-04-03 18:00:00,44.179283,44.0
2019-04-03 19:00:00,39.629066,41.0
2019-04-03 20:00:00,36.749153,40.0
2019-04-03 21:00:00,36.788017,33.0
2019-04-03 22:00:00,23.708511,24.0
2019-04-03 23:00:00,19.507227,21.0
2019-04-04 00:00:00,21.948076,20.0
2019-04-04 01:00:00,19.43913,14.0
2019-04-04 02:00:00,11.796707,9.0
2019-04-04 03:00:00,2.1116238,2.0
2019-04-04 04:00:00,-0.11192492,1.0
2019-04-04 05:00:00,1.0134676,1.0
2019-04-04 06:00:00,0.52965105,2.0
2019-04-04 07:00:00,4.438121,10.0
2019-04-04 08:00:00,15.878117,19.0
2019-04-04 09:00:00,30.505424,35.0
2019-04-04 10:00:00,37.876648,47.0
2019-04-04 11:00:00,47.384365,49.0
2019-04-04 12:00:00,50.2073,39.0
2019-04-04 13:00:00,38.783047,46.0
2019-04-04 14:00:00,45.772232,50.0
2019-04-04 15:00:00,48.71585,53.0
2019-04-04 16:00:00,49.335136,51.0
2019-04-04 17:00:00,47.156796,51.0
2019-04-04 18:00:00,46.208855,47.0
2019-04-04 19:00:00,42.30938,31.0
2019-04-04 20:00:00,19.552727,14.0
2019-04-04 21:00:00,5.9518394,8.0
2019-04-04 22:00:00,2.0164547,17.0
2019-04-04 23:00:00,11.050523,13.0
2019-04-05 00:00:00,6.695202,9.5
2019-04-05 01:00:00,1.9090929,6.0
2019-04-05 02:00:00,1.7833362,6.0
2019-04-05 03:00:00,2.981132,9.0
2019-04-05 04:00:00,7.627734,4.0
2019-04-05 05:00:00,1.2252219,1.0
2019-04-05 06:00:00,3.9179146,3.0
2019-04-05 07:00:00,15.785467,15.0
2019-04-05 08:00:00,24.734898,21.0
2019-04-05 09:00:00,30.738926,26.0
2019-04-05 10:00:00,31.706614,38.0
2019-04-05 11:00:00,41.514446,47.0
2019-04-05 12:00:00,49.778847,59.0
2019-04-05 13:00:00,59.773197,62.0
2019-04-05 14:00:00,61.10343,62.0
2019-04-05 15:00:00,59.982643,63.0
2019-04-05 16:00:00,61.088207,60.0
2019-04-05 17:00:00,57.650784,59.0
2019-04-05 18:00:00,56.55371,56.0
2019-04-05 19:00:00,54.79336,53.0
2019-04-05 20:00:00,52.156616,52.0
2019-04-05 21:00:00,49.048702,51.0
2019-04-05 22:00:00,47.21585,51.0
2019-04-05 23:00:00,44.436127,42.0
2019-04-06 00:00:00,34.541492,29.0
2019-04-06 01:00:00,24.768436,51.0
2019-04-06 02:00:00,50.395638,56.0
2019-04-06 03:00:00,55.693172,55.0
2019-04-06 04:00:00,47.129513,51.0
2019-04-06 05:00:00,43.26255,46.0
2019-04-06 06:00:00,41.894295,42.0
2019-04-06 07:00:00,40.34703,47.0
2019-04-06 08:00:00,48.886,52.0
2019-04-06 09:00:00,53.603485,56.0
2019-04-06 10:00:00,56.8922,60.0
2019-04-06 11:00:00,60.695404,62.0
2019-04-06 12:00:00,62.6569,63.0
2019-04-06 13:00:00,62.567707,65.0
2019-04-06 14:00:00,64.09776,68.0
2019-04-06 15:00:00,64.27034,73.0
2019-04-06 16:00:00,65.1006,75.0
2019-04-06 17:00:00,61.73065,70.0
2019-04-06 18:00:00,54.64678,60.0
2019-04-06 19:00:00,48.97412,52.0
2019-04-06 20:00:00,45.333076,47.0
2019-04-06 21:00:00,40.664772,39.0
2019-04-06 22:00:00,32.430214,33.0
2019-04-06 23:00:00,29.261602,32.0
2019-04-07 00:00:00,29.540556,30.0
2019-04-07 01:00:00,30.40078,32.0
2019-04-07 02:00:00,31.802965,31.0
2019-04-07 03:00:00,30.47365,33.0
2019-04-07 04:00:00,30.179253,30.0
2019-04-07 05:00:00,29.606712,28.0
2019-04-07 06:00:00,27.581394,24.0
2019-04-07 07:00:00,27.156483,30.0
2019-04-07 08:00:00,32.69532,37.0
2019-04-07 09:00:00,42.004135,44.0
2019-04-07 10:00:00,45.84823,51.0
2019-04-07 11:00:00,52.3308,58.0
2019-04-07 12:00:00,59.032005,61.0
2019-04-07 13:00:00,62.333405,65.0
2019-04-07 14:00:00,64.65818,68.0
2019-04-07 15:00:00,65.83075,70.0
2019-04-07 16:00:00,66.195656,72.0
2019-04-07 17:00:00,63.320053,73.0
2019-04-07 18:00:00,57.08084,66.0
2019-04-07 19:00:00,47.250957,50.0
2019-04-07 20:00:00,36.781876,38.0
2019-04-07 21:00:00,32.57877,37.0
2019-04-07 22:00:00,29.300116,39.0
2019-04-07 23:00:00,38.317604,39.0
2019-04-08 00:00:00,34.083115,37.0
2019-04-08 01:00:00,34.30442,37.0
2019-04-08 02:00:00,33.667534,46.0
2019-04-08 03:00:00,42.688763,49.0
2019-04-08 04:00:00,45.985756,48.0
2019-04-08 05:00:00,43.025097,45.0
2019-04-08 06:00:00,42.179096,45.0
2019-04-08 07:00:00,41.332626,42.0
2019-04-08 08:00:00,39.785828,43.0
2019-04-08 09:00:00,40.89611,42.0
2019-04-08 10:00:00,40.100956,42.0
2019-04-08 11:00:00,42.872482,44.0
2019-04-08 12:00:00,44.381065,47.0
2019-04-08 13:00:00,47.9601,49.0
2019-04-08 14:00:00,47.527267,50.0
2019-04-08 15:00:00,48.12549,49.0
2019-04-08 16:00:00,44.450657,46.0
2019-04-08 17:00:00,41.7971,38.0
2019-04-08 18:00:00,34.046738,38.0
2019-04-08 19:00:00,35.49092,37.0
2019-04-08 20:00:00,30.710226,32.0
