,predict,obs
2019-04-01 00:00:00,25.40627,30.0
2019-04-01 01:00:00,22.109337,25.0
2019-04-01 02:00:00,24.265762,23.0
2019-04-01 03:00:00,27.230616,21.0
2019-04-01 04:00:00,18.34036,22.0
2019-04-01 05:00:00,19.2416,25.0
2019-04-01 06:00:00,21.46753,37.0
2019-04-01 07:00:00,31.166943,43.0
2019-04-01 08:00:00,37.77251,49.0
2019-04-01 09:00:00,43.050053,53.0
2019-04-01 10:00:00,46.731014,54.0
2019-04-01 11:00:00,48.285564,48.0
2019-04-01 12:00:00,52.837437,50.0
2019-04-01 13:00:00,47.41948,47.5
2019-04-01 14:00:00,30.586208,45.0
2019-04-01 15:00:00,29.823471,50.0
2019-04-01 16:00:00,34.251293,47.0
2019-04-01 17:00:00,32.4671,48.0
2019-04-01 18:00:00,32.700706,49.0
2019-04-01 19:00:00,33.410557,46.0
2019-04-01 20:00:00,31.358932,42.0
2019-04-01 21:00:00,26.395235,39.0
2019-04-01 22:00:00,33.101036,39.5
2019-04-01 23:00:00,36.97939,40.0
2019-04-02 00:00:00,34.322945,37.0
2019-04-02 01:00:00,37.867126,34.0
2019-04-02 02:00:00,30.792,24.0
2019-04-02 03:00:00,28.173836,22.0
2019-04-02 04:00:00,30.09161,23.0
2019-04-02 05:00:00,19.200655,39.0
2019-04-02 06:00:00,14.416412,42.0
2019-04-02 07:00:00,33.75485,41.0
2019-04-02 08:00:00,42.736595,42.66666666666666
2019-04-02 09:00:00,40.027164,44.333333333333336
2019-04-02 10:00:00,42.896427,46.0
2019-04-02 11:00:00,40.550083,47.66666666666666
2019-04-02 12:00:00,35.98762,49.333333333333336
2019-04-02 13:00:00,34.04742,51.0
2019-04-02 14:00:00,39.46586,51.0
2019-04-02 15:00:00,40.39742,50.0
2019-04-02 16:00:00,43.1014,48.0
2019-04-02 17:00:00,44.036697,48.0
2019-04-02 18:00:00,38.11964,45.0
2019-04-02 19:00:00,31.840218,43.0
2019-04-02 20:00:00,30.98022,44.0
2019-04-02 21:00:00,28.163628,37.0
2019-04-02 22:00:00,32.28946,31.0
2019-04-02 23:00:00,25.145588,26.0
2019-04-03 00:00:00,28.304111,34.0
2019-04-03 01:00:00,23.83378,27.0
2019-04-03 02:00:00,21.229168,24.0
2019-04-03 03:00:00,27.44416,23.0
2019-04-03 04:00:00,25.626877,28.0
2019-04-03 05:00:00,24.65136,28.0
2019-04-03 06:00:00,22.088558,49.0
2019-04-03 07:00:00,37.26539,50.0
2019-04-03 08:00:00,37.018085,51.0
2019-04-03 09:00:00,49.280315,52.0
2019-04-03 10:00:00,50.21722,52.0
2019-04-03 11:00:00,51.58804,53.0
2019-04-03 12:00:00,47.330723,53.0
2019-04-03 13:00:00,46.728046,54.0
2019-04-03 14:00:00,47.5255,53.0
2019-04-03 15:00:00,47.05672,52.0
2019-04-03 16:00:00,46.888035,48.0
2019-04-03 17:00:00,44.508068,44.0
