,predict,obs
2019-04-01 00:00:00,40.87572,42.0
2019-04-01 01:00:00,41.454945,43.0
2019-04-01 02:00:00,42.305275,44.0
2019-04-01 03:00:00,43.107674,40.0
2019-04-01 04:00:00,38.154667,39.0
2019-04-01 05:00:00,35.694466,37.0
2019-04-01 06:00:00,35.411854,40.0
2019-04-01 07:00:00,39.858646,42.0
2019-04-01 08:00:00,42.78186,46.0
2019-04-01 09:00:00,47.410156,46.0
2019-04-01 10:00:00,47.764015,49.0
2019-04-01 11:00:00,50.22799,52.0
2019-04-01 12:00:00,52.15678,46.0
2019-04-01 13:00:00,44.70607,42.0
2019-04-01 14:00:00,38.44428,50.0
2019-04-01 15:00:00,51.355804,52.0
2019-04-01 16:00:00,51.54435,46.0
2019-04-01 17:00:00,42.896572,40.0
2019-04-01 18:00:00,35.707493,38.0
2019-04-01 19:00:00,35.533665,40.0
2019-04-01 20:00:00,36.39322,46.0
2019-04-01 21:00:00,44.596912,41.0
2019-04-01 22:00:00,39.228607,43.0
2019-04-01 23:00:00,40.48023,42.0
2019-04-02 00:00:00,40.201424,43.0
2019-04-02 01:00:00,40.867737,45.0
2019-04-02 02:00:00,42.096222,42.0
2019-04-02 03:00:00,39.624153,37.0
2019-04-02 04:00:00,34.44856,35.0
2019-04-02 05:00:00,33.174606,37.0
2019-04-02 06:00:00,36.083767,41.0
2019-04-02 07:00:00,42.727654,41.0
2019-04-02 08:00:00,42.333374,47.0
2019-04-02 09:00:00,48.974796,48.0
2019-04-02 10:00:00,49.26192,50.0
2019-04-02 11:00:00,50.92762,50.0
2019-04-02 12:00:00,50.502426,48.0
2019-04-02 13:00:00,49.478153,44.0
2019-04-02 14:00:00,42.63324,46.0
2019-04-02 15:00:00,43.818176,45.0
2019-04-02 16:00:00,43.347897,46.0
2019-04-02 17:00:00,43.775837,45.0
2019-04-02 18:00:00,43.15419,48.0
2019-04-02 19:00:00,46.226383,47.0
2019-04-02 20:00:00,44.915455,47.0
2019-04-02 21:00:00,45.584248,45.0
2019-04-02 22:00:00,42.786674,42.0
2019-04-02 23:00:00,39.63864,41.0
2019-04-03 00:00:00,38.568325,41.0
2019-04-03 01:00:00,39.013992,39.0
2019-04-03 02:00:00,37.626774,40.0
2019-04-03 03:00:00,38.550556,43.0
2019-04-03 04:00:00,41.553432,42.0
2019-04-03 05:00:00,39.990227,40.0
2019-04-03 06:00:00,37.89,38.0
2019-04-03 07:00:00,38.603943,42.0
2019-04-03 08:00:00,44.80662,46.0
2019-04-03 09:00:00,48.766956,45.0
2019-04-03 10:00:00,46.073467,44.0
2019-04-03 11:00:00,44.698673,49.0
2019-04-03 12:00:00,49.338104,51.0
2019-04-03 13:00:00,51.46777,51.0
2019-04-03 14:00:00,51.11968,51.0
2019-04-03 15:00:00,49.98561,51.0
2019-04-03 16:00:00,50.510258,51.0
2019-04-03 17:00:00,49.578224,50.0
2019-04-03 18:00:00,48.905228,49.0
2019-04-03 19:00:00,48.247826,47.0
2019-04-03 20:00:00,45.445515,45.0
2019-04-03 21:00:00,43.35655,44.0
2019-04-03 22:00:00,42.12843,43.0
2019-04-03 23:00:00,41.10308,43.0
2019-04-04 00:00:00,41.282784,40.0
2019-04-04 01:00:00,37.78036,37.0
2019-04-04 02:00:00,35.229206,35.0
2019-04-04 03:00:00,33.146923,27.0
2019-04-04 04:00:00,23.397148,11.0
2019-04-04 05:00:00,8.778914,7.0
2019-04-04 06:00:00,10.783524,14.0
2019-04-04 07:00:00,21.635733,22.0
2019-04-04 08:00:00,31.470577,31.0
2019-04-04 09:00:00,41.978516,43.0
2019-04-04 10:00:00,49.81171,46.0
2019-04-04 11:00:00,50.43772,47.0
2019-04-04 12:00:00,51.385212,44.0
2019-04-04 13:00:00,46.967884,52.0
2019-04-04 14:00:00,56.030106,58.0
2019-04-04 15:00:00,61.191772,56.0
2019-04-04 16:00:00,56.10701,59.0
2019-04-04 17:00:00,57.754425,61.0
2019-04-04 18:00:00,58.48734,58.0
