,predict,obs
2019-04-01 00:00:00,40.279316,38.0
2019-04-01 01:00:00,39.174644,36.0
2019-04-01 02:00:00,33.09078,32.0
2019-04-01 03:00:00,30.00649,19.0
2019-04-01 04:00:00,24.400211,13.0
2019-04-01 05:00:00,16.993448,13.0
2019-04-01 06:00:00,7.656161,27.0
2019-04-01 07:00:00,30.881895,32.0
2019-04-01 08:00:00,45.70875,49.0
2019-04-01 09:00:00,51.229916,52.0
2019-04-01 10:00:00,56.930832,53.0
2019-04-01 11:00:00,59.43196,48.0
2019-04-01 12:00:00,53.809673,52.0
2019-04-01 13:00:00,40.189117,49.0
2019-04-01 14:00:00,46.330246,50.0
2019-04-01 15:00:00,48.242992,50.0
2019-04-01 16:00:00,44.49219,46.0
2019-04-01 17:00:00,39.475563,43.0
2019-04-01 18:00:00,34.883995,44.0
2019-04-01 19:00:00,32.495056,44.0
2019-04-01 20:00:00,40.280952,48.0
2019-04-01 21:00:00,40.270576,48.0
2019-04-01 22:00:00,48.26098,49.0
2019-04-01 23:00:00,47.259483,44.0
2019-04-02 00:00:00,52.55116,42.0
2019-04-02 01:00:00,49.69306,43.0
2019-04-02 02:00:00,32.109356,39.0
2019-04-02 03:00:00,26.165577,30.0
2019-04-02 04:00:00,25.79094,25.0
2019-04-02 05:00:00,26.317226,26.0
2019-04-02 06:00:00,29.50539,36.0
2019-04-02 07:00:00,43.122948,39.0
2019-04-02 08:00:00,50.32609,42.0
2019-04-02 09:00:00,46.48768,46.0
2019-04-02 10:00:00,48.335114,51.0
2019-04-02 11:00:00,51.63739,49.0
2019-04-02 12:00:00,53.92566,51.0
2019-04-02 13:00:00,51.719257,48.0
2019-04-02 14:00:00,48.07232,49.0
2019-04-02 15:00:00,43.824917,49.0
2019-04-02 16:00:00,45.903664,50.0
2019-04-02 17:00:00,48.26788,48.0
2019-04-02 18:00:00,48.687496,46.0
2019-04-02 19:00:00,47.738594,45.0
2019-04-02 20:00:00,46.77188,43.0
2019-04-02 21:00:00,39.914246,40.0
2019-04-02 22:00:00,30.931198,37.0
2019-04-02 23:00:00,35.685974,37.0
2019-04-03 00:00:00,24.029953,35.0
2019-04-03 01:00:00,24.662533,35.0
2019-04-03 02:00:00,26.99515,28.0
2019-04-03 03:00:00,29.21162,29.0
2019-04-03 04:00:00,19.696491,25.0
2019-04-03 05:00:00,23.468538,29.0
2019-04-03 06:00:00,27.55719,36.0
2019-04-03 07:00:00,43.583717,43.0
2019-04-03 08:00:00,48.49946,51.0
2019-04-03 09:00:00,53.418808,51.0
2019-04-03 10:00:00,56.061764,52.0
2019-04-03 11:00:00,53.73446,53.0
2019-04-03 12:00:00,54.4655,54.0
2019-04-03 13:00:00,54.67525,54.0
2019-04-03 14:00:00,52.831432,54.0
2019-04-03 15:00:00,54.55568,53.0
2019-04-03 16:00:00,53.430077,52.0
