,predict,obs
2019-04-01 00:00:00,40.22126,45.0
2019-04-01 01:00:00,42.82328,43.0
2019-04-01 02:00:00,40.179626,39.0
2019-04-01 03:00:00,36.969326,35.0
2019-04-01 04:00:00,33.09963,35.0
2019-04-01 05:00:00,30.333645,37.0
2019-04-01 06:00:00,34.91072,41.0
2019-04-01 07:00:00,40.02372,46.0
2019-04-01 08:00:00,46.113556,51.0
2019-04-01 09:00:00,49.220203,50.0
2019-04-01 10:00:00,52.986603,52.0
2019-04-01 11:00:00,56.941277,57.0
2019-04-01 12:00:00,55.857662,48.0
2019-04-01 13:00:00,53.26203,47.0
2019-04-01 14:00:00,52.58123,46.0
2019-04-01 15:00:00,42.128593,48.0
2019-04-01 16:00:00,40.185703,46.0
2019-04-01 17:00:00,41.181953,48.0
2019-04-01 18:00:00,42.476624,46.0
2019-04-01 19:00:00,39.492188,47.0
2019-04-01 20:00:00,40.209175,45.0
2019-04-01 21:00:00,35.378788,45.0
2019-04-01 22:00:00,43.743813,44.0
2019-04-01 23:00:00,35.98026,43.0
2019-04-02 00:00:00,33.97619,41.0
2019-04-02 01:00:00,32.45023,38.0
2019-04-02 02:00:00,26.684244,33.0
2019-04-02 03:00:00,21.940643,33.0
2019-04-02 04:00:00,26.218348,36.0
2019-04-02 05:00:00,36.352886,43.0
2019-04-02 06:00:00,51.171303,48.0
2019-04-02 07:00:00,47.16855,49.0
2019-04-02 08:00:00,49.079807,49.0
2019-04-02 09:00:00,51.65725,51.0
2019-04-02 10:00:00,51.485737,48.0
2019-04-02 11:00:00,49.225327,46.0
2019-04-02 12:00:00,47.013298,52.0
2019-04-02 13:00:00,41.975616,52.0
2019-04-02 14:00:00,40.89863,49.0
2019-04-02 15:00:00,39.901382,42.0
2019-04-02 16:00:00,44.098152,40.0
2019-04-02 17:00:00,42.792786,46.0
2019-04-02 18:00:00,30.089504,45.0
2019-04-02 19:00:00,22.527653,45.0
2019-04-02 20:00:00,40.317207,44.0
2019-04-02 21:00:00,38.79814,43.0
2019-04-02 22:00:00,39.040085,41.0
2019-04-02 23:00:00,41.26651,41.0
2019-04-03 00:00:00,38.156487,43.0
2019-04-03 01:00:00,39.140125,42.0
2019-04-03 02:00:00,33.417084,42.0
2019-04-03 03:00:00,32.57115,39.0
2019-04-03 04:00:00,32.73963,37.0
2019-04-03 05:00:00,35.73167,40.0
2019-04-03 06:00:00,37.697426,45.0
2019-04-03 07:00:00,44.01465,48.0
2019-04-03 08:00:00,47.492252,49.0
2019-04-03 09:00:00,48.005947,52.0
2019-04-03 10:00:00,51.27688,54.0
2019-04-03 11:00:00,49.499996,54.0
2019-04-03 12:00:00,50.42237,54.0
2019-04-03 13:00:00,49.655285,53.0
2019-04-03 14:00:00,45.217045,52.0
2019-04-03 15:00:00,44.17472,49.0
2019-04-03 16:00:00,42.843906,46.0
2019-04-03 17:00:00,42.520424,45.0
2019-04-03 18:00:00,41.563698,45.0
2019-04-03 19:00:00,39.522266,43.0
2019-04-03 20:00:00,39.269028,42.0
2019-04-03 21:00:00,39.150726,44.0
2019-04-03 22:00:00,35.664375,43.0
2019-04-03 23:00:00,35.504055,42.0
2019-04-04 00:00:00,38.174667,39.0
2019-04-04 01:00:00,35.711746,30.0
2019-04-04 02:00:00,31.949018,22.0
2019-04-04 03:00:00,31.34203,18.0
2019-04-04 04:00:00,21.725998,13.0
2019-04-04 05:00:00,28.008108,17.0
2019-04-04 06:00:00,36.78637,22.0
2019-04-04 07:00:00,43.243374,34.0
2019-04-04 08:00:00,38.015938,28.0
2019-04-04 09:00:00,42.58686,37.5
2019-04-04 10:00:00,48.390053,47.0
2019-04-04 11:00:00,42.373787,51.0
2019-04-04 12:00:00,47.574177,56.0
2019-04-04 13:00:00,48.88638,58.0
2019-04-04 14:00:00,45.278008,59.0
2019-04-04 15:00:00,46.647434,57.0
2019-04-04 16:00:00,49.71921,52.0
2019-04-04 17:00:00,50.707123,41.0
2019-04-04 18:00:00,44.705833,42.0
2019-04-04 19:00:00,38.77883,39.0
2019-04-04 20:00:00,27.567583,43.0
2019-04-04 21:00:00,27.595896,27.0
2019-04-04 22:00:00,17.115112,27.0
2019-04-04 23:00:00,20.553171,19.0
2019-04-05 00:00:00,9.353001,2.0
2019-04-05 01:00:00,13.266407,1.0
2019-04-05 02:00:00,13.24996,1.0
2019-04-05 03:00:00,5.287523,1.0
2019-04-05 04:00:00,0.23218441,2.0
2019-04-05 05:00:00,13.30666,8.0
2019-04-05 06:00:00,17.18774,18.0
2019-04-05 07:00:00,13.419737,40.0
2019-04-05 08:00:00,20.782284,48.0
2019-04-05 09:00:00,42.18812,56.0
2019-04-05 10:00:00,57.301735,59.0
2019-04-05 11:00:00,55.51568,60.0
2019-04-05 12:00:00,53.238617,60.0
2019-04-05 13:00:00,54.72101,59.0
2019-04-05 14:00:00,52.72586,54.0
2019-04-05 15:00:00,53.727547,48.0
2019-04-05 16:00:00,51.859177,52.0
2019-04-05 17:00:00,44.7079,53.0
2019-04-05 18:00:00,37.81823,51.0
2019-04-05 19:00:00,42.978703,48.0
2019-04-05 20:00:00,41.93602,47.0
2019-04-05 21:00:00,44.032524,49.0
2019-04-05 22:00:00,45.805496,50.0
2019-04-05 23:00:00,48.18655,50.0
2019-04-06 00:00:00,56.42578,64.0
2019-04-06 01:00:00,48.109314,62.0
2019-04-06 02:00:00,42.391907,57.0
2019-04-06 03:00:00,51.871,50.0
2019-04-06 04:00:00,51.46275,53.0
2019-04-06 05:00:00,51.79757,52.0
2019-04-06 06:00:00,41.357113,54.0
2019-04-06 07:00:00,52.53218,57.0
2019-04-06 08:00:00,54.72943,63.0
2019-04-06 09:00:00,56.861862,58.0
2019-04-06 10:00:00,63.538998,65.0
2019-04-06 11:00:00,67.94238,77.0
2019-04-06 12:00:00,66.36245,80.0
2019-04-06 13:00:00,67.09793,74.0
2019-04-06 14:00:00,67.50748,67.0
2019-04-06 15:00:00,57.657974,53.0
2019-04-06 16:00:00,48.50724,41.0
2019-04-06 17:00:00,47.118126,55.0
2019-04-06 18:00:00,42.4034,47.0
2019-04-06 19:00:00,42.81256,43.0
