,predict,obs
2019-04-01 00:00:00,38.000313,43.0
2019-04-01 01:00:00,37.915768,44.0
2019-04-01 02:00:00,39.962944,40.0
2019-04-01 03:00:00,41.62497,39.0
2019-04-01 04:00:00,37.074814,37.0
2019-04-01 05:00:00,33.008327,40.0
2019-04-01 06:00:00,31.842733,42.0
2019-04-01 07:00:00,37.53634,46.0
2019-04-01 08:00:00,41.076855,46.0
2019-04-01 09:00:00,46.53164,49.0
2019-04-01 10:00:00,51.108208,52.0
2019-04-01 11:00:00,53.076958,46.0
2019-04-01 12:00:00,52.604866,42.0
2019-04-01 13:00:00,45.47975,50.0
2019-04-01 14:00:00,35.696358,52.0
2019-04-01 15:00:00,48.517548,46.0
2019-04-01 16:00:00,48.260952,40.0
2019-04-01 17:00:00,42.09649,38.0
2019-04-01 18:00:00,35.483704,40.0
2019-04-01 19:00:00,33.32831,46.0
2019-04-01 20:00:00,37.096977,41.0
2019-04-01 21:00:00,41.435284,43.0
2019-04-01 22:00:00,37.668385,42.0
2019-04-01 23:00:00,48.056427,43.0
2019-04-02 00:00:00,38.833553,45.0
2019-04-02 01:00:00,32.797897,42.0
2019-04-02 02:00:00,28.192554,37.0
2019-04-02 03:00:00,20.91725,35.0
2019-04-02 04:00:00,20.470554,37.0
2019-04-02 05:00:00,34.62984,41.0
2019-04-02 06:00:00,34.900196,41.0
2019-04-02 07:00:00,40.37378,47.0
2019-04-02 08:00:00,43.006516,48.0
2019-04-02 09:00:00,46.837234,50.0
2019-04-02 10:00:00,47.11331,50.0
2019-04-02 11:00:00,50.357414,48.0
2019-04-02 12:00:00,47.413033,44.0
2019-04-02 13:00:00,44.65425,46.0
2019-04-02 14:00:00,43.385956,45.0
2019-04-02 15:00:00,43.38537,46.0
2019-04-02 16:00:00,40.54348,45.0
2019-04-02 17:00:00,41.365677,48.0
2019-04-02 18:00:00,44.32528,47.0
2019-04-02 19:00:00,43.808136,47.0
2019-04-02 20:00:00,45.591545,45.0
2019-04-02 21:00:00,44.37948,42.0
2019-04-02 22:00:00,45.374084,41.0
2019-04-02 23:00:00,42.216866,41.0
2019-04-03 00:00:00,40.87919,39.0
2019-04-03 01:00:00,38.886536,40.0
2019-04-03 02:00:00,37.514946,43.0
2019-04-03 03:00:00,36.464268,42.0
2019-04-03 04:00:00,34.025845,40.0
2019-04-03 05:00:00,31.784958,38.0
2019-04-03 06:00:00,33.57559,42.0
2019-04-03 07:00:00,38.201805,46.0
2019-04-03 08:00:00,44.791695,45.0
2019-04-03 09:00:00,47.887512,44.0
2019-04-03 10:00:00,46.53062,49.0
2019-04-03 11:00:00,46.877983,51.0
2019-04-03 12:00:00,50.911182,51.0
2019-04-03 13:00:00,51.431023,51.0
2019-04-03 14:00:00,51.54371,51.0
2019-04-03 15:00:00,50.055584,51.0
2019-04-03 16:00:00,49.941162,50.0
2019-04-03 17:00:00,48.10592,49.0
2019-04-03 18:00:00,47.20841,47.0
2019-04-03 19:00:00,44.805412,45.0
2019-04-03 20:00:00,44.569912,44.0
2019-04-03 21:00:00,38.42694,43.0
2019-04-03 22:00:00,37.622917,43.0
