,predict,obs
2019-04-01 00:00:00,42.719368,41.0
2019-04-01 01:00:00,39.898384,37.0
2019-04-01 02:00:00,35.676205,36.0
2019-04-01 03:00:00,36.783333,40.0
2019-04-01 04:00:00,41.010685,35.0
2019-04-01 05:00:00,27.917456,21.0
2019-04-01 06:00:00,21.705433,28.0
2019-04-01 07:00:00,34.673088,38.0
2019-04-01 08:00:00,43.672432,44.0
2019-04-01 09:00:00,46.775406,47.0
2019-04-01 10:00:00,50.284077,48.333333333333336
2019-04-01 11:00:00,49.507877,49.66666666666666
2019-04-01 12:00:00,51.41083,51.0
2019-04-01 13:00:00,52.101097,52.333333333333336
2019-04-01 14:00:00,50.428986,53.66666666666666
2019-04-01 15:00:00,50.980846,55.0
2019-04-01 16:00:00,51.112854,53.0
2019-04-01 17:00:00,49.1167,49.0
2019-04-01 18:00:00,48.075382,49.0
2019-04-01 19:00:00,46.993134,47.0
2019-04-01 20:00:00,47.708786,45.0
2019-04-01 21:00:00,42.542297,42.0
2019-04-01 22:00:00,41.174076,45.0
2019-04-01 23:00:00,45.12349,44.0
2019-04-02 00:00:00,42.106354,43.0
2019-04-02 01:00:00,41.001656,40.0
2019-04-02 02:00:00,37.104996,32.0
2019-04-02 03:00:00,29.409334,29.0
2019-04-02 04:00:00,23.82647,23.0
2019-04-02 05:00:00,16.27632,14.0
2019-04-02 06:00:00,14.828387,28.0
2019-04-02 07:00:00,41.28257,39.0
2019-04-02 08:00:00,43.37519,45.0
2019-04-02 09:00:00,48.845238,47.0
2019-04-02 10:00:00,49.966404,48.0
2019-04-02 11:00:00,50.142197,49.0
2019-04-02 12:00:00,50.367657,51.0
2019-04-02 13:00:00,51.838253,50.0
2019-04-02 14:00:00,49.344666,49.0
2019-04-02 15:00:00,49.76287,49.0
2019-04-02 16:00:00,48.482834,49.0
2019-04-02 17:00:00,48.23945,47.0
2019-04-02 18:00:00,46.121323,45.0
2019-04-02 19:00:00,45.588932,44.0
2019-04-02 20:00:00,43.061127,41.0
2019-04-02 21:00:00,39.951866,41.0
2019-04-02 22:00:00,41.71319,41.0
2019-04-02 23:00:00,41.171577,39.0
2019-04-03 00:00:00,39.084045,39.0
2019-04-03 01:00:00,37.49388,39.0
2019-04-03 02:00:00,39.084312,38.0
2019-04-03 03:00:00,32.457607,33.0
2019-04-03 04:00:00,28.807632,29.0
2019-04-03 05:00:00,20.853544,21.0
2019-04-03 06:00:00,17.201057,21.0
2019-04-03 07:00:00,31.986156,34.0
2019-04-03 08:00:00,41.136703,44.0
2019-04-03 09:00:00,46.382805,47.0
2019-04-03 10:00:00,49.130863,48.0
2019-04-03 11:00:00,50.25399,49.0
2019-04-03 12:00:00,50.232224,49.0
2019-04-03 13:00:00,49.393433,50.0
2019-04-03 14:00:00,50.683887,50.0
2019-04-03 15:00:00,49.995667,50.0
2019-04-03 16:00:00,50.100536,50.0
2019-04-03 17:00:00,48.949844,48.0
2019-04-03 18:00:00,47.014957,47.0
2019-04-03 19:00:00,47.30159,47.0
2019-04-03 20:00:00,46.66327,45.0
2019-04-03 21:00:00,43.32936,39.0
2019-04-03 22:00:00,36.792305,32.0
2019-04-03 23:00:00,30.483297,34.0
2019-04-04 00:00:00,35.355804,29.0
2019-04-04 01:00:00,24.727587,24.0
2019-04-04 02:00:00,17.325546,16.0
2019-04-04 03:00:00,13.729979,23.0
2019-04-04 04:00:00,20.789696,19.0
2019-04-04 05:00:00,7.178216,12.0
2019-04-04 06:00:00,14.481061,16.0
2019-04-04 07:00:00,26.387484,27.0
2019-04-04 08:00:00,37.046135,36.0
2019-04-04 09:00:00,45.6793,48.0
2019-04-04 10:00:00,52.940353,51.0
2019-04-04 11:00:00,54.692787,53.0
2019-04-04 12:00:00,55.11144,55.0
2019-04-04 13:00:00,57.01525,57.0
2019-04-04 14:00:00,58.46283,59.0
2019-04-04 15:00:00,58.38903,54.0
2019-04-04 16:00:00,49.151375,52.0
2019-04-04 17:00:00,49.82712,48.0
2019-04-04 18:00:00,44.13765,39.0
2019-04-04 19:00:00,34.46311,33.0
2019-04-04 20:00:00,31.855673,28.0
2019-04-04 21:00:00,27.086704,19.0
2019-04-04 22:00:00,15.406676,13.0
2019-04-04 23:00:00,11.453711,12.0
2019-04-05 00:00:00,21.804066,27.0
2019-04-05 01:00:00,30.073868,23.0
2019-04-05 02:00:00,14.470701,20.0
2019-04-05 03:00:00,13.852601,11.0
2019-04-05 04:00:00,7.6740975,9.0
2019-04-05 05:00:00,5.220871,6.0
2019-04-05 06:00:00,7.997353,14.0
2019-04-05 07:00:00,27.058464,20.0
2019-04-05 08:00:00,36.557404,29.0
2019-04-05 09:00:00,43.199326,38.0
2019-04-05 10:00:00,49.82953,44.0
2019-04-05 11:00:00,51.650795,42.0
2019-04-05 12:00:00,48.767624,51.0
2019-04-05 13:00:00,54.08085,64.0
2019-04-05 14:00:00,65.71719,66.0
2019-04-05 15:00:00,67.60082,64.0
2019-04-05 16:00:00,64.145424,62.0
2019-04-05 17:00:00,60.763485,59.0
2019-04-05 18:00:00,55.812263,58.0
2019-04-05 19:00:00,51.688766,52.0
2019-04-05 20:00:00,46.13628,53.0
2019-04-05 21:00:00,49.90572,56.0
2019-04-05 22:00:00,53.291695,61.0
2019-04-05 23:00:00,54.416286,59.0
2019-04-06 00:00:00,53.481865,67.0
2019-04-06 01:00:00,61.2558,60.0
2019-04-06 02:00:00,53.962852,59.0
2019-04-06 03:00:00,52.063316,58.0
