,predict,obs
2019-04-01 00:00:00,46.582886,43.0
2019-04-01 01:00:00,47.36727,40.0
2019-04-01 02:00:00,41.896206,36.0
2019-04-01 03:00:00,32.26494,26.0
2019-04-01 04:00:00,28.910954,15.0
2019-04-01 05:00:00,19.597626,32.0
2019-04-01 06:00:00,17.197243,42.0
2019-04-01 07:00:00,44.38095,45.0
2019-04-01 08:00:00,49.210075,48.0
2019-04-01 09:00:00,52.353333,54.0
2019-04-01 10:00:00,53.13852,56.0
2019-04-01 11:00:00,55.51966,58.0
2019-04-01 12:00:00,56.826668,56.0
2019-04-01 13:00:00,53.366917,54.0
2019-04-01 14:00:00,48.624035,52.0
2019-04-01 15:00:00,48.180153,54.0
2019-04-01 16:00:00,45.072735,48.0
2019-04-01 17:00:00,44.478966,42.0
2019-04-01 18:00:00,41.643654,45.0
2019-04-01 19:00:00,38.913246,49.0
2019-04-01 20:00:00,32.654903,46.0
2019-04-01 21:00:00,42.914143,47.0
2019-04-01 22:00:00,41.445435,41.0
2019-04-01 23:00:00,40.47502,41.0
2019-04-02 00:00:00,36.395668,40.0
2019-04-02 01:00:00,33.068268,31.0
2019-04-02 02:00:00,26.5551,22.0
2019-04-02 03:00:00,18.410948,28.0
2019-04-02 04:00:00,14.131725,28.0
2019-04-02 05:00:00,32.393085,28.0
2019-04-02 06:00:00,36.19556,39.0
2019-04-02 07:00:00,47.12822,44.0
2019-04-02 08:00:00,49.84322,46.0
2019-04-02 09:00:00,49.300907,48.0
2019-04-02 10:00:00,48.528694,50.0
2019-04-02 11:00:00,51.354164,52.0
2019-04-02 12:00:00,52.185,51.0
2019-04-02 13:00:00,54.77654,49.0
2019-04-02 14:00:00,51.635532,47.0
2019-04-02 15:00:00,48.72315,48.0
2019-04-02 16:00:00,46.514812,49.0
2019-04-02 17:00:00,41.884525,46.0
2019-04-02 18:00:00,42.1291,45.0
2019-04-02 19:00:00,42.696598,47.0
2019-04-02 20:00:00,41.741932,43.0
2019-04-02 21:00:00,42.20062,40.0
2019-04-02 22:00:00,40.149452,41.0
2019-04-02 23:00:00,39.74322,36.0
2019-04-03 00:00:00,37.004375,40.0
2019-04-03 01:00:00,27.825546,37.0
