,predict,obs
2019-04-01 00:00:00,40.679382,43.0
2019-04-01 01:00:00,41.69946,41.0
2019-04-01 02:00:00,37.579277,40.0
2019-04-01 03:00:00,36.9024,34.0
2019-04-01 04:00:00,27.853266,33.0
2019-04-01 05:00:00,30.900118,23.0
2019-04-01 06:00:00,18.019527,21.0
2019-04-01 07:00:00,32.940685,37.0
2019-04-01 08:00:00,34.846584,44.0
2019-04-01 09:00:00,42.63816,47.0
2019-04-01 10:00:00,45.001564,51.0
2019-04-01 11:00:00,52.05565,55.0
2019-04-01 12:00:00,55.632698,58.0
2019-04-01 13:00:00,56.034164,56.0
2019-04-01 14:00:00,46.804943,44.0
2019-04-01 15:00:00,41.843155,48.0
2019-04-01 16:00:00,45.50885,51.0
2019-04-01 17:00:00,44.47814,44.0
2019-04-01 18:00:00,40.055134,45.0
2019-04-01 19:00:00,36.46151,44.0
2019-04-01 20:00:00,42.078064,46.0
2019-04-01 21:00:00,44.345886,42.0
2019-04-01 22:00:00,39.690155,43.0
2019-04-01 23:00:00,40.63703,41.0
2019-04-02 00:00:00,38.161713,43.0
2019-04-02 01:00:00,41.554665,41.0
2019-04-02 02:00:00,37.39023,38.0
2019-04-02 03:00:00,31.185476,30.0
2019-04-02 04:00:00,20.939545,13.0
2019-04-02 05:00:00,4.2910433,3.0
2019-04-02 06:00:00,4.895343,18.0
2019-04-02 07:00:00,36.205334,40.0
2019-04-02 08:00:00,44.941956,47.0
2019-04-02 09:00:00,46.93689,47.0
2019-04-02 10:00:00,46.643562,49.0
2019-04-02 11:00:00,49.264732,51.0
2019-04-02 12:00:00,50.564262,51.0
2019-04-02 13:00:00,49.484642,51.0
2019-04-02 14:00:00,46.256214,39.0
2019-04-02 15:00:00,36.916405,45.0
2019-04-02 16:00:00,33.832886,47.0
2019-04-02 17:00:00,47.389545,47.0
2019-04-02 18:00:00,42.052467,46.0
2019-04-02 19:00:00,41.106346,44.0
2019-04-02 20:00:00,36.15644,45.0
2019-04-02 21:00:00,44.304653,43.0
2019-04-02 22:00:00,40.324463,41.0
2019-04-02 23:00:00,36.540394,38.0
2019-04-03 00:00:00,38.07319,40.0
2019-04-03 01:00:00,40.355927,39.0
2019-04-03 02:00:00,37.8153,36.0
2019-04-03 03:00:00,31.800186,30.0
2019-04-03 04:00:00,25.409386,25.0
2019-04-03 05:00:00,14.985213,10.0
2019-04-03 06:00:00,4.4461555,14.0
2019-04-03 07:00:00,24.285072,35.0
2019-04-03 08:00:00,39.123436,43.0
2019-04-03 09:00:00,43.898277,46.0
2019-04-03 10:00:00,45.287994,48.0
2019-04-03 11:00:00,48.008858,49.0
2019-04-03 12:00:00,48.136272,50.0
2019-04-03 13:00:00,48.65546,51.0
2019-04-03 14:00:00,49.087578,51.0
2019-04-03 15:00:00,49.10853,51.0
2019-04-03 16:00:00,48.38674,50.0
2019-04-03 17:00:00,46.28515,48.0
2019-04-03 18:00:00,42.994476,44.0
2019-04-03 19:00:00,38.134323,41.0
2019-04-03 20:00:00,34.349064,40.0
2019-04-03 21:00:00,35.841698,33.0
2019-04-03 22:00:00,22.829838,24.0
2019-04-03 23:00:00,17.643064,21.0
2019-04-04 00:00:00,17.855686,20.0
2019-04-04 01:00:00,19.968115,14.0
2019-04-04 02:00:00,12.544068,9.0
2019-04-04 03:00:00,3.9183624,2.0
2019-04-04 04:00:00,0.8948176,1.0
2019-04-04 05:00:00,1.1953259,1.0
2019-04-04 06:00:00,1.5602679,2.0
2019-04-04 07:00:00,6.153469,10.0
2019-04-04 08:00:00,14.470843,19.0
2019-04-04 09:00:00,32.246548,35.0
2019-04-04 10:00:00,39.35931,47.0
2019-04-04 11:00:00,48.80059,49.0
2019-04-04 12:00:00,48.7089,39.0
2019-04-04 13:00:00,39.214165,46.0
2019-04-04 14:00:00,46.459145,50.0
2019-04-04 15:00:00,48.991592,53.0
2019-04-04 16:00:00,48.63214,51.0
2019-04-04 17:00:00,46.739853,51.0
2019-04-04 18:00:00,45.880463,47.0
2019-04-04 19:00:00,42.465485,31.0
2019-04-04 20:00:00,19.106323,14.0
2019-04-04 21:00:00,8.319726,8.0
2019-04-04 22:00:00,4.4974585,17.0
2019-04-04 23:00:00,7.8882494,13.0
2019-04-05 00:00:00,6.3934116,9.5
2019-04-05 01:00:00,6.8399153,6.0
2019-04-05 02:00:00,6.010599,6.0
2019-04-05 03:00:00,3.3065674,9.0
2019-04-05 04:00:00,3.2786422,4.0
2019-04-05 05:00:00,0.8721134,1.0
2019-04-05 06:00:00,1.0827675,3.0
2019-04-05 07:00:00,8.85562,15.0
2019-04-05 08:00:00,25.84805,21.0
2019-04-05 09:00:00,31.5028,26.0
2019-04-05 10:00:00,36.304558,38.0
2019-04-05 11:00:00,43.83697,47.0
2019-04-05 12:00:00,50.92257,59.0
2019-04-05 13:00:00,59.92327,62.0
2019-04-05 14:00:00,61.501453,62.0
2019-04-05 15:00:00,59.22978,63.0
2019-04-05 16:00:00,58.700027,60.0
2019-04-05 17:00:00,54.41446,59.0
2019-04-05 18:00:00,54.204548,56.0
2019-04-05 19:00:00,53.100307,53.0
2019-04-05 20:00:00,51.682217,52.0
2019-04-05 21:00:00,50.129227,51.0
2019-04-05 22:00:00,48.572098,51.0
2019-04-05 23:00:00,44.89093,42.0
2019-04-06 00:00:00,31.92276,29.0
2019-04-06 01:00:00,18.376263,51.0
2019-04-06 02:00:00,48.89696,56.0
2019-04-06 03:00:00,48.917892,55.0
2019-04-06 04:00:00,40.852577,51.0
2019-04-06 05:00:00,41.305866,46.0
2019-04-06 06:00:00,44.03424,42.0
2019-04-06 07:00:00,42.478813,47.0
2019-04-06 08:00:00,52.99901,52.0
2019-04-06 09:00:00,55.393295,56.0
2019-04-06 10:00:00,57.82933,60.0
2019-04-06 11:00:00,62.257996,62.0
2019-04-06 12:00:00,62.84152,63.0
2019-04-06 13:00:00,61.855244,65.0
2019-04-06 14:00:00,63.755405,68.0
2019-04-06 15:00:00,63.77101,73.0
2019-04-06 16:00:00,66.93744,75.0
2019-04-06 17:00:00,66.01407,70.0
2019-04-06 18:00:00,56.91851,60.0
2019-04-06 19:00:00,49.801697,52.0
2019-04-06 20:00:00,44.864906,47.0
2019-04-06 21:00:00,47.849403,39.0
2019-04-06 22:00:00,33.8257,33.0
2019-04-06 23:00:00,31.944155,32.0
2019-04-07 00:00:00,30.358913,30.0
2019-04-07 01:00:00,31.170622,32.0
2019-04-07 02:00:00,33.58597,31.0
2019-04-07 03:00:00,29.508245,33.0
2019-04-07 04:00:00,25.183033,30.0
2019-04-07 05:00:00,25.699835,28.0
2019-04-07 06:00:00,24.593153,24.0
2019-04-07 07:00:00,27.610493,30.0
2019-04-07 08:00:00,32.924232,37.0
2019-04-07 09:00:00,39.629005,44.0
2019-04-07 10:00:00,46.227116,51.0
2019-04-07 11:00:00,53.61599,58.0
2019-04-07 12:00:00,59.84297,61.0
2019-04-07 13:00:00,62.487617,65.0
2019-04-07 14:00:00,64.456345,68.0
2019-04-07 15:00:00,65.625824,70.0
2019-04-07 16:00:00,66.60724,72.0
2019-04-07 17:00:00,64.24972,73.0
2019-04-07 18:00:00,61.67519,66.0
2019-04-07 19:00:00,51.580296,50.0
2019-04-07 20:00:00,38.66325,38.0
2019-04-07 21:00:00,34.3384,37.0
2019-04-07 22:00:00,30.842558,39.0
2019-04-07 23:00:00,36.627407,39.0
2019-04-08 00:00:00,33.353462,37.0
2019-04-08 01:00:00,32.94747,37.0
2019-04-08 02:00:00,34.802273,46.0
2019-04-08 03:00:00,43.117508,49.0
2019-04-08 04:00:00,46.339165,48.0
2019-04-08 05:00:00,40.916515,45.0
2019-04-08 06:00:00,40.52023,45.0
2019-04-08 07:00:00,38.33277,42.0
2019-04-08 08:00:00,37.4743,43.0
2019-04-08 09:00:00,40.66072,42.0
2019-04-08 10:00:00,40.00805,42.0
2019-04-08 11:00:00,43.403503,44.0
2019-04-08 12:00:00,44.65267,47.0
2019-04-08 13:00:00,49.1755,49.0
2019-04-08 14:00:00,49.00364,50.0
2019-04-08 15:00:00,49.209885,49.0
2019-04-08 16:00:00,45.058006,46.0
2019-04-08 17:00:00,40.53866,38.0
2019-04-08 18:00:00,35.55677,38.0
2019-04-08 19:00:00,37.121338,37.0
2019-04-08 20:00:00,33.43116,32.0
2019-04-08 21:00:00,32.07365,27.0
2019-04-08 22:00:00,27.010765,33.0
2019-04-08 23:00:00,32.20742,32.0
2019-04-09 00:00:00,30.459507,28.0
2019-04-09 01:00:00,23.48972,23.0
2019-04-09 02:00:00,20.034542,26.0
2019-04-09 03:00:00,20.115067,18.0
2019-04-09 04:00:00,14.099488,21.0
2019-04-09 05:00:00,23.867,32.0
2019-04-09 06:00:00,32.140957,32.0
2019-04-09 07:00:00,33.724247,35.0
2019-04-09 08:00:00,40.2273,42.0
2019-04-09 09:00:00,44.39467,46.0
2019-04-09 10:00:00,46.33292,45.0
2019-04-09 11:00:00,45.733643,44.0
2019-04-09 12:00:00,45.201054,48.0
2019-04-09 13:00:00,48.475166,49.0
2019-04-09 14:00:00,48.323425,48.0
2019-04-09 15:00:00,46.705185,48.0
2019-04-09 16:00:00,46.087852,47.0
2019-04-09 17:00:00,44.198143,46.0
2019-04-09 18:00:00,41.144684,44.0
2019-04-09 19:00:00,40.3714,40.0
2019-04-09 20:00:00,35.375046,34.0
2019-04-09 21:00:00,27.31416,30.0
2019-04-09 22:00:00,22.52031,30.0
2019-04-09 23:00:00,24.957394,18.0
2019-04-10 00:00:00,10.278178,9.0
2019-04-10 01:00:00,6.769264,9.0
2019-04-10 02:00:00,7.0293026,27.0
2019-04-10 03:00:00,7.308326,31.0
2019-04-10 04:00:00,8.009545,34.0
2019-04-10 05:00:00,20.888794,33.0
2019-04-10 06:00:00,20.240837,32.0
2019-04-10 07:00:00,25.797667,30.0
2019-04-10 08:00:00,24.243122,28.0
2019-04-10 09:00:00,23.449049,28.0
2019-04-10 10:00:00,27.806522,26.0
2019-04-10 11:00:00,25.934883,24.0
2019-04-10 12:00:00,25.291355,24.0
2019-04-10 13:00:00,24.273544,23.0
2019-04-10 14:00:00,24.21879,22.0
2019-04-10 15:00:00,21.961597,19.0
2019-04-10 16:00:00,19.511951,19.0
2019-04-10 17:00:00,21.397186,20.0
2019-04-10 18:00:00,21.087574,23.0
2019-04-10 19:00:00,24.614614,25.0
2019-04-10 20:00:00,25.82885,26.0
2019-04-10 21:00:00,26.757566,12.0
2019-04-10 22:00:00,12.045802,19.0
2019-04-10 23:00:00,20.730404,24.0
2019-04-11 00:00:00,27.221636,27.0
2019-04-11 01:00:00,30.05597,31.0
2019-04-11 02:00:00,31.515558,29.0
2019-04-11 03:00:00,28.842253,30.0
2019-04-11 04:00:00,29.764183,33.0
2019-04-11 05:00:00,31.888548,33.0
2019-04-11 06:00:00,31.959423,31.0
2019-04-11 07:00:00,32.963066,31.0
2019-04-11 08:00:00,32.939583,35.0
2019-04-11 09:00:00,35.44646,38.0
2019-04-11 10:00:00,38.975502,44.0
2019-04-11 11:00:00,42.97791,44.0
2019-04-11 12:00:00,41.342392,46.0
2019-04-11 13:00:00,43.369736,46.0
2019-04-11 14:00:00,43.4464,45.0
2019-04-11 15:00:00,42.221024,43.0
2019-04-11 16:00:00,38.800568,44.0
2019-04-11 17:00:00,39.77706,43.0
2019-04-11 18:00:00,41.155075,42.0
2019-04-11 19:00:00,40.004524,40.0
2019-04-11 20:00:00,36.560917,35.0
2019-04-11 21:00:00,27.80352,36.0
2019-04-11 22:00:00,29.138168,38.0
2019-04-11 23:00:00,29.483044,36.0
2019-04-12 00:00:00,30.135853,36.0
2019-04-12 01:00:00,29.34201,36.0
2019-04-12 02:00:00,28.33903,36.0
2019-04-12 03:00:00,29.931055,36.0
2019-04-12 04:00:00,28.662489,33.0
2019-04-12 05:00:00,27.596704,31.0
2019-04-12 06:00:00,28.772888,32.0
2019-04-12 07:00:00,32.89028,29.0
2019-04-12 08:00:00,31.375145,32.0
2019-04-12 09:00:00,31.680485,35.0
2019-04-12 10:00:00,38.53784,40.0
2019-04-12 11:00:00,39.335014,40.0
2019-04-12 12:00:00,38.550735,43.0
2019-04-12 13:00:00,41.71353,46.0
2019-04-12 14:00:00,43.100517,46.0
2019-04-12 15:00:00,41.86582,45.0
2019-04-12 16:00:00,40.092274,46.0
