,predict,obs
2019-04-01 00:00:00,41.803547,40.0
2019-04-01 01:00:00,38.975567,37.0
2019-04-01 02:00:00,38.257214,34.0
2019-04-01 03:00:00,38.612877,33.0
2019-04-01 04:00:00,33.658035,30.0
2019-04-01 05:00:00,29.317808,41.0
2019-04-01 06:00:00,34.33438,44.0
2019-04-01 07:00:00,41.99295,47.0
2019-04-01 08:00:00,50.493546,51.0
2019-04-01 09:00:00,52.7638,53.0
2019-04-01 10:00:00,53.873287,55.0
2019-04-01 11:00:00,54.371704,55.0
2019-04-01 12:00:00,59.252254,56.0
2019-04-01 13:00:00,57.407665,56.0
2019-04-01 14:00:00,56.133938,53.0
2019-04-01 15:00:00,41.098488,50.0
2019-04-01 16:00:00,42.167557,47.0
2019-04-01 17:00:00,46.53139,44.0
2019-04-01 18:00:00,45.09194,45.0
2019-04-01 19:00:00,41.045704,45.0
2019-04-01 20:00:00,42.02678,43.0
2019-04-01 21:00:00,37.96857,42.0
2019-04-01 22:00:00,36.893337,43.0
2019-04-01 23:00:00,26.545732,38.0
2019-04-02 00:00:00,21.58225,34.0
2019-04-02 01:00:00,20.370892,38.0
2019-04-02 02:00:00,18.315853,39.0
2019-04-02 03:00:00,27.559221,32.0
2019-04-02 04:00:00,45.302902,37.0
2019-04-02 05:00:00,45.381676,45.0
2019-04-02 06:00:00,45.554596,46.0
2019-04-02 07:00:00,51.77157,45.0
2019-04-02 08:00:00,50.254734,47.0
2019-04-02 09:00:00,49.901176,47.0
2019-04-02 10:00:00,49.658997,49.0
2019-04-02 11:00:00,51.47774,49.0
2019-04-02 12:00:00,50.520824,48.333333333333336
2019-04-02 13:00:00,53.527405,47.66666666666666
2019-04-02 14:00:00,51.689835,47.0
2019-04-02 15:00:00,47.768917,45.0
2019-04-02 16:00:00,45.122948,44.0
2019-04-02 17:00:00,41.989254,43.0
2019-04-02 18:00:00,41.477535,43.0
2019-04-02 19:00:00,43.152466,44.0
2019-04-02 20:00:00,42.976746,43.0
2019-04-02 21:00:00,43.368507,42.0
2019-04-02 22:00:00,43.050713,41.0
2019-04-02 23:00:00,41.98265,38.0
2019-04-03 00:00:00,39.02619,35.0
2019-04-03 01:00:00,32.366898,36.0
2019-04-03 02:00:00,24.239435,28.0
2019-04-03 03:00:00,19.649971,34.0
2019-04-03 04:00:00,28.715332,28.0
2019-04-03 05:00:00,35.97425,34.0
2019-04-03 06:00:00,42.359962,41.0
2019-04-03 07:00:00,46.677887,45.0
2019-04-03 08:00:00,49.46942,46.0
2019-04-03 09:00:00,46.31103,47.0
2019-04-03 10:00:00,47.104477,48.0
2019-04-03 11:00:00,47.22873,49.0
2019-04-03 12:00:00,47.924805,49.0
2019-04-03 13:00:00,49.482307,49.0
2019-04-03 14:00:00,47.52368,49.0
2019-04-03 15:00:00,46.243748,47.0
2019-04-03 16:00:00,44.251076,45.0
2019-04-03 17:00:00,41.74906,43.0
2019-04-03 18:00:00,40.310062,39.0
2019-04-03 19:00:00,37.99665,36.0
2019-04-03 20:00:00,39.924873,36.0
2019-04-03 21:00:00,38.629192,36.0
2019-04-03 22:00:00,37.4551,31.0
2019-04-03 23:00:00,37.984962,28.0
2019-04-04 00:00:00,36.30258,21.0
2019-04-04 01:00:00,27.925764,19.0
2019-04-04 02:00:00,19.177637,18.0
2019-04-04 03:00:00,8.731151,7.0
2019-04-04 04:00:00,10.449057,12.0
2019-04-04 05:00:00,22.751406,27.0
2019-04-04 06:00:00,25.296738,34.0
2019-04-04 07:00:00,44.24962,40.0
2019-04-04 08:00:00,53.23487,46.0
2019-04-04 09:00:00,54.320568,50.0
2019-04-04 10:00:00,53.010647,53.0
2019-04-04 11:00:00,56.932297,56.0
2019-04-04 12:00:00,61.244072,57.0
2019-04-04 13:00:00,59.399284,57.0
2019-04-04 14:00:00,62.444336,60.0
2019-04-04 15:00:00,53.646175,58.0
2019-04-04 16:00:00,46.21711,53.0
2019-04-04 17:00:00,42.970646,46.0
2019-04-04 18:00:00,43.161785,41.0
2019-04-04 19:00:00,35.089092,32.0
2019-04-04 20:00:00,30.840902,23.0
2019-04-04 21:00:00,27.408499,22.0
2019-04-04 22:00:00,27.114151,26.0
2019-04-04 23:00:00,25.146189,30.0
2019-04-05 00:00:00,34.077106,27.0
2019-04-05 01:00:00,35.827095,16.0
2019-04-05 02:00:00,34.85384,14.0
2019-04-05 03:00:00,20.906809,14.0
2019-04-05 04:00:00,17.341345,20.0
2019-04-05 05:00:00,25.725897,27.0
2019-04-05 06:00:00,33.694313,33.0
2019-04-05 07:00:00,50.427135,45.0
2019-04-05 08:00:00,57.39653,50.0
2019-04-05 09:00:00,65.22333,47.0
2019-04-05 10:00:00,70.2842,52.0
2019-04-05 11:00:00,68.48447,67.0
2019-04-05 12:00:00,65.04552,68.0
2019-04-05 13:00:00,64.861145,65.0
2019-04-05 14:00:00,72.50284,63.0
2019-04-05 15:00:00,72.420166,60.0
2019-04-05 16:00:00,70.52872,55.0
2019-04-05 17:00:00,69.96001,61.0
2019-04-05 18:00:00,68.69887,69.0
2019-04-05 19:00:00,57.212112,66.0
2019-04-05 20:00:00,64.94253,63.0
2019-04-05 21:00:00,63.56942,62.0
2019-04-05 22:00:00,57.659916,67.0
2019-04-05 23:00:00,55.61285,63.0
2019-04-06 00:00:00,69.22083,62.0
2019-04-06 01:00:00,67.86386,60.0
2019-04-06 02:00:00,65.27968,57.0
2019-04-06 03:00:00,58.841255,51.0
2019-04-06 04:00:00,54.496914,49.0
2019-04-06 05:00:00,48.518906,51.0
2019-04-06 06:00:00,52.996513,54.0
2019-04-06 07:00:00,62.936802,58.0
2019-04-06 08:00:00,64.16749,57.0
2019-04-06 09:00:00,60.959045,57.0
2019-04-06 10:00:00,65.97446,57.0
2019-04-06 11:00:00,68.29805,57.0
2019-04-06 12:00:00,67.32701,58.0
2019-04-06 13:00:00,64.29988,59.0
2019-04-06 14:00:00,62.091938,58.0
2019-04-06 15:00:00,63.12704,54.0
2019-04-06 16:00:00,62.813942,49.0
2019-04-06 17:00:00,62.23115,47.0
2019-04-06 18:00:00,51.09422,42.0
2019-04-06 19:00:00,43.700634,40.0
2019-04-06 20:00:00,44.948574,41.0
2019-04-06 21:00:00,39.864597,34.0
2019-04-06 22:00:00,37.665565,31.0
2019-04-06 23:00:00,35.646255,30.0
2019-04-07 00:00:00,36.344513,31.0
2019-04-07 01:00:00,35.258377,27.0
2019-04-07 02:00:00,31.353071,28.0
2019-04-07 03:00:00,30.275297,26.0
2019-04-07 04:00:00,29.114283,27.0
2019-04-07 05:00:00,38.640884,33.0
2019-04-07 06:00:00,38.077408,40.0
2019-04-07 07:00:00,44.55288,47.0
2019-04-07 08:00:00,52.10775,52.0
2019-04-07 09:00:00,57.050102,58.0
2019-04-07 10:00:00,63.907158,62.0
2019-04-07 11:00:00,65.87069,64.0
2019-04-07 12:00:00,70.394615,65.0
2019-04-07 13:00:00,72.54564,66.0
2019-04-07 14:00:00,66.20242,68.0
2019-04-07 15:00:00,63.031097,65.0
2019-04-07 16:00:00,55.93216,55.0
2019-04-07 17:00:00,45.975433,47.0
2019-04-07 18:00:00,34.019047,47.0
2019-04-07 19:00:00,30.467215,45.0
2019-04-07 20:00:00,42.327515,49.0
2019-04-07 21:00:00,42.93718,43.0
2019-04-07 22:00:00,38.97558,37.0
2019-04-07 23:00:00,47.421013,40.0
2019-04-08 00:00:00,43.180252,44.0
2019-04-08 01:00:00,35.872925,43.0
2019-04-08 02:00:00,41.49895,45.0
2019-04-08 03:00:00,48.97851,43.0
2019-04-08 04:00:00,45.22866,39.0
2019-04-08 05:00:00,47.54361,39.0
2019-04-08 06:00:00,43.620277,41.0
2019-04-08 07:00:00,39.061745,42.0
2019-04-08 08:00:00,38.2116,42.0
2019-04-08 09:00:00,43.38851,45.0
2019-04-08 10:00:00,47.056705,47.0
2019-04-08 11:00:00,49.79045,49.0
2019-04-08 12:00:00,51.550785,50.0
2019-04-08 13:00:00,54.04364,49.0
2019-04-08 14:00:00,53.08458,46.0
2019-04-08 15:00:00,51.221603,43.0
2019-04-08 16:00:00,46.981148,39.0
2019-04-08 17:00:00,43.21549,35.0
2019-04-08 18:00:00,42.436176,29.0
2019-04-08 19:00:00,40.357754,32.0
2019-04-08 20:00:00,35.727802,34.0
2019-04-08 21:00:00,31.953682,34.0
2019-04-08 22:00:00,37.43493,31.0
