,predict,obs
2019-04-01 00:00:00,38.52606,36.0
2019-04-01 01:00:00,34.33059,32.0
2019-04-01 02:00:00,34.063755,19.0
2019-04-01 03:00:00,33.648468,13.0
2019-04-01 04:00:00,26.774172,13.0
2019-04-01 05:00:00,16.614706,27.0
2019-04-01 06:00:00,14.759135,32.0
2019-04-01 07:00:00,23.72328,49.0
2019-04-01 08:00:00,43.050053,52.0
2019-04-01 09:00:00,51.788834,53.0
2019-04-01 10:00:00,57.174637,48.0
2019-04-01 11:00:00,55.547855,52.0
2019-04-01 12:00:00,55.2274,49.0
2019-04-01 13:00:00,44.398705,50.0
2019-04-01 14:00:00,44.886677,50.0
2019-04-01 15:00:00,41.260227,46.0
2019-04-01 16:00:00,39.008694,43.0
2019-04-01 17:00:00,35.44136,44.0
2019-04-01 18:00:00,30.910332,44.0
2019-04-01 19:00:00,28.725485,48.0
2019-04-01 20:00:00,30.236412,48.0
2019-04-01 21:00:00,28.188456,49.0
2019-04-01 22:00:00,35.38624,44.0
2019-04-01 23:00:00,36.453083,42.0
2019-04-02 00:00:00,37.491627,43.0
2019-04-02 01:00:00,35.08484,39.0
2019-04-02 02:00:00,31.304758,30.0
2019-04-02 03:00:00,30.320604,25.0
2019-04-02 04:00:00,33.154133,26.0
2019-04-02 05:00:00,34.28154,36.0
2019-04-02 06:00:00,36.08236,39.0
2019-04-02 07:00:00,40.04441,42.0
2019-04-02 08:00:00,48.135742,46.0
2019-04-02 09:00:00,48.556152,51.0
2019-04-02 10:00:00,50.43574,49.0
2019-04-02 11:00:00,53.218876,51.0
2019-04-02 12:00:00,57.31453,48.0
2019-04-02 13:00:00,51.623062,49.0
2019-04-02 14:00:00,48.345474,49.0
2019-04-02 15:00:00,41.129444,50.0
2019-04-02 16:00:00,39.110073,48.0
2019-04-02 17:00:00,42.972614,46.0
2019-04-02 18:00:00,47.090652,45.0
2019-04-02 19:00:00,41.44666,43.0
2019-04-02 20:00:00,38.88021,40.0
2019-04-02 21:00:00,35.357918,37.0
2019-04-02 22:00:00,29.555195,37.0
2019-04-02 23:00:00,31.035301,35.0
2019-04-03 00:00:00,23.600075,35.0
2019-04-03 01:00:00,21.232954,28.0
2019-04-03 02:00:00,22.386389,29.0
2019-04-03 03:00:00,26.608747,25.0
2019-04-03 04:00:00,23.465322,29.0
2019-04-03 05:00:00,27.242193,36.0
2019-04-03 06:00:00,29.374607,43.0
2019-04-03 07:00:00,37.812878,51.0
2019-04-03 08:00:00,46.221817,51.0
2019-04-03 09:00:00,53.01094,52.0
2019-04-03 10:00:00,54.442104,53.0
2019-04-03 11:00:00,49.257164,54.0
2019-04-03 12:00:00,51.765076,54.0
2019-04-03 13:00:00,53.379898,54.0
2019-04-03 14:00:00,51.49629,53.0
2019-04-03 15:00:00,50.55188,52.0
2019-04-03 16:00:00,49.09835,48.0
2019-04-03 17:00:00,47.820198,46.0
2019-04-03 18:00:00,46.12804,46.0
2019-04-03 19:00:00,36.952347,44.0
2019-04-03 20:00:00,32.48049,41.0
2019-04-03 21:00:00,30.249231,33.0
2019-04-03 22:00:00,26.508902,24.0
2019-04-03 23:00:00,23.245398,14.0
2019-04-04 00:00:00,14.183823,11.0
2019-04-04 01:00:00,11.232996,11.0
2019-04-04 02:00:00,10.385822,17.0
2019-04-04 03:00:00,10.873875,13.0
2019-04-04 04:00:00,13.374434,13.0
2019-04-04 05:00:00,18.990582,23.0
2019-04-04 06:00:00,22.636038,45.0
2019-04-04 07:00:00,31.6908,50.0
2019-04-04 08:00:00,48.722347,51.0
2019-04-04 09:00:00,61.752537,51.0
2019-04-04 10:00:00,62.348473,55.0
2019-04-04 11:00:00,64.802605,58.0
2019-04-04 12:00:00,64.350914,58.5
2019-04-04 13:00:00,61.06315,59.0
2019-04-04 14:00:00,57.475853,61.0
2019-04-04 15:00:00,54.387146,61.0
2019-04-04 16:00:00,55.33414,56.0
2019-04-04 17:00:00,56.581665,49.0
2019-04-04 18:00:00,51.978,39.0
2019-04-04 19:00:00,45.818314,28.0
2019-04-04 20:00:00,35.898827,38.0
2019-04-04 21:00:00,28.466356,37.0
2019-04-04 22:00:00,20.24003,29.0
2019-04-04 23:00:00,30.443773,21.0
2019-04-05 00:00:00,24.599365,21.0
2019-04-05 01:00:00,19.006752,22.0
2019-04-05 02:00:00,16.261938,22.0
2019-04-05 03:00:00,18.61119,21.0
2019-04-05 04:00:00,20.811232,20.0
2019-04-05 05:00:00,25.938938,11.0
2019-04-05 06:00:00,38.78487,16.0
2019-04-05 07:00:00,45.999184,29.0
2019-04-05 08:00:00,42.419765,44.0
2019-04-05 09:00:00,49.914593,56.0
2019-04-05 10:00:00,60.450912,61.0
2019-04-05 11:00:00,68.72422,62.0
2019-04-05 12:00:00,65.89913,62.0
2019-04-05 13:00:00,65.53968,63.0
2019-04-05 14:00:00,62.324196,62.0
2019-04-05 15:00:00,59.32838,60.0
2019-04-05 16:00:00,59.47084,58.0
2019-04-05 17:00:00,62.50644,56.0
2019-04-05 18:00:00,62.774048,56.0
2019-04-05 19:00:00,61.164017,56.0
2019-04-05 20:00:00,61.44251,53.0
2019-04-05 21:00:00,60.070694,50.0
2019-04-05 22:00:00,53.71204,43.0
2019-04-05 23:00:00,46.66523,37.0
2019-04-06 00:00:00,41.57101,55.0
2019-04-06 01:00:00,32.417458,61.0
2019-04-06 02:00:00,27.14266,57.0
2019-04-06 03:00:00,41.669746,48.0
2019-04-06 04:00:00,41.212856,51.0
