,predict,obs
2019-04-01 00:00:00,36.692474,39.0
2019-04-01 01:00:00,34.896465,40.0
2019-04-01 02:00:00,33.192833,37.0
2019-04-01 03:00:00,33.064095,34.0
2019-04-01 04:00:00,30.81872,33.0
2019-04-01 05:00:00,27.895603,30.0
2019-04-01 06:00:00,29.933243,41.0
2019-04-01 07:00:00,33.577965,44.0
2019-04-01 08:00:00,44.12435,47.0
2019-04-01 09:00:00,49.04606,51.0
2019-04-01 10:00:00,50.784073,53.0
2019-04-01 11:00:00,52.707165,55.0
2019-04-01 12:00:00,53.170593,55.0
2019-04-01 13:00:00,50.78328,56.0
2019-04-01 14:00:00,49.228497,56.0
2019-04-01 15:00:00,48.152035,53.0
2019-04-01 16:00:00,47.34694,50.0
2019-04-01 17:00:00,45.56951,47.0
2019-04-01 18:00:00,43.517815,44.0
2019-04-01 19:00:00,40.036324,45.0
2019-04-01 20:00:00,36.852165,45.0
2019-04-01 21:00:00,37.045097,43.0
2019-04-01 22:00:00,36.96846,42.0
2019-04-01 23:00:00,32.516987,43.0
2019-04-02 00:00:00,31.446844,38.0
2019-04-02 01:00:00,30.625843,34.0
2019-04-02 02:00:00,27.354954,38.0
2019-04-02 03:00:00,28.23036,39.0
2019-04-02 04:00:00,34.603592,32.0
2019-04-02 05:00:00,37.754555,37.0
2019-04-02 06:00:00,35.758347,45.0
2019-04-02 07:00:00,46.471195,46.0
2019-04-02 08:00:00,53.657017,45.0
2019-04-02 09:00:00,54.64835,47.0
2019-04-02 10:00:00,53.60666,47.0
2019-04-02 11:00:00,52.86635,49.0
2019-04-02 12:00:00,50.506336,49.0
2019-04-02 13:00:00,48.74199,48.333333333333336
2019-04-02 14:00:00,46.01123,47.66666666666666
2019-04-02 15:00:00,43.704903,47.0
2019-04-02 16:00:00,44.109543,45.0
2019-04-02 17:00:00,43.06266,44.0
2019-04-02 18:00:00,41.540375,43.0
2019-04-02 19:00:00,41.395702,43.0
2019-04-02 20:00:00,38.44857,44.0
2019-04-02 21:00:00,38.986084,43.0
2019-04-02 22:00:00,37.66005,42.0
2019-04-02 23:00:00,34.781166,41.0
2019-04-03 00:00:00,34.37715,38.0
2019-04-03 01:00:00,33.031963,35.0
2019-04-03 02:00:00,29.02385,36.0
2019-04-03 03:00:00,26.266554,28.0
2019-04-03 04:00:00,28.269903,34.0
2019-04-03 05:00:00,28.021826,28.0
2019-04-03 06:00:00,32.947266,34.0
2019-04-03 07:00:00,34.350624,41.0
2019-04-03 08:00:00,43.920242,45.0
2019-04-03 09:00:00,49.42587,46.0
2019-04-03 10:00:00,48.62983,47.0
2019-04-03 11:00:00,47.129562,48.0
2019-04-03 12:00:00,44.68256,49.0
2019-04-03 13:00:00,43.531998,49.0
2019-04-03 14:00:00,43.14232,49.0
2019-04-03 15:00:00,43.37065,49.0
2019-04-03 16:00:00,42.530754,47.0
2019-04-03 17:00:00,41.317417,45.0
2019-04-03 18:00:00,40.26496,43.0
2019-04-03 19:00:00,38.125797,39.0
2019-04-03 20:00:00,36.466633,36.0
2019-04-03 21:00:00,30.359987,36.0
2019-04-03 22:00:00,29.176413,36.0
2019-04-03 23:00:00,29.026781,31.0
2019-04-04 00:00:00,30.102728,28.0
2019-04-04 01:00:00,25.69901,21.0
2019-04-04 02:00:00,24.289766,19.0
2019-04-04 03:00:00,19.1847,18.0
2019-04-04 04:00:00,18.504194,7.0
2019-04-04 05:00:00,17.6908,12.0
2019-04-04 06:00:00,13.821828,27.0
2019-04-04 07:00:00,26.81447,34.0
2019-04-04 08:00:00,44.27375,40.0
2019-04-04 09:00:00,49.5221,46.0
2019-04-04 10:00:00,50.43,50.0
2019-04-04 11:00:00,51.334927,53.0
2019-04-04 12:00:00,52.22058,56.0
2019-04-04 13:00:00,52.247753,57.0
2019-04-04 14:00:00,53.725998,57.0
2019-04-04 15:00:00,48.756805,60.0
2019-04-04 16:00:00,44.680626,58.0
2019-04-04 17:00:00,46.257057,53.0
2019-04-04 18:00:00,43.78955,46.0
2019-04-04 19:00:00,38.130867,41.0
2019-04-04 20:00:00,32.351414,32.0
2019-04-04 21:00:00,28.527166,23.0
2019-04-04 22:00:00,23.30255,22.0
2019-04-04 23:00:00,18.607252,26.0
2019-04-05 00:00:00,20.816843,30.0
2019-04-05 01:00:00,20.869831,27.0
2019-04-05 02:00:00,23.846891,16.0
2019-04-05 03:00:00,20.336092,14.0
2019-04-05 04:00:00,13.390759,14.0
2019-04-05 05:00:00,14.341747,20.0
2019-04-05 06:00:00,23.749266,27.0
2019-04-05 07:00:00,38.48786,33.0
2019-04-05 08:00:00,47.776157,45.0
2019-04-05 09:00:00,54.032,50.0
2019-04-05 10:00:00,61.826435,47.0
2019-04-05 11:00:00,64.0878,52.0
2019-04-05 12:00:00,61.3208,67.0
