,predict,obs
2019-04-01 00:00:00,42.975163,37.0
2019-04-01 01:00:00,39.35461,36.0
2019-04-01 02:00:00,33.603138,40.0
2019-04-01 03:00:00,32.262383,35.0
2019-04-01 04:00:00,33.168934,21.0
2019-04-01 05:00:00,23.882053,28.0
2019-04-01 06:00:00,18.468304,38.0
2019-04-01 07:00:00,28.661427,44.0
2019-04-01 08:00:00,44.8077,47.0
2019-04-01 09:00:00,49.86797,48.333333333333336
2019-04-01 10:00:00,50.960278,49.66666666666666
2019-04-01 11:00:00,49.147404,51.0
2019-04-01 12:00:00,50.89793,52.333333333333336
2019-04-01 13:00:00,49.927746,53.66666666666666
2019-04-01 14:00:00,47.111183,55.0
2019-04-01 15:00:00,46.16169,53.0
2019-04-01 16:00:00,44.835163,49.0
2019-04-01 17:00:00,44.4337,49.0
2019-04-01 18:00:00,43.883034,47.0
2019-04-01 19:00:00,43.898327,45.0
2019-04-01 20:00:00,44.253468,42.0
2019-04-01 21:00:00,42.488247,45.0
2019-04-01 22:00:00,39.210682,44.0
2019-04-01 23:00:00,41.828163,43.0
2019-04-02 00:00:00,40.30917,40.0
2019-04-02 01:00:00,37.11406,32.0
2019-04-02 02:00:00,32.598335,29.0
2019-04-02 03:00:00,21.761232,23.0
2019-04-02 04:00:00,19.780834,14.0
2019-04-02 05:00:00,22.95792,28.0
2019-04-02 06:00:00,25.537323,39.0
2019-04-02 07:00:00,33.56042,45.0
2019-04-02 08:00:00,44.130203,47.0
2019-04-02 09:00:00,48.87538,48.0
2019-04-02 10:00:00,50.448982,49.0
2019-04-02 11:00:00,50.313877,51.0
2019-04-02 12:00:00,50.237488,50.0
2019-04-02 13:00:00,51.9587,49.0
2019-04-02 14:00:00,48.520306,49.0
2019-04-02 15:00:00,46.58295,49.0
2019-04-02 16:00:00,40.36971,47.0
2019-04-02 17:00:00,39.995487,45.0
2019-04-02 18:00:00,37.587326,44.0
2019-04-02 19:00:00,36.971394,41.0
2019-04-02 20:00:00,36.343044,41.0
2019-04-02 21:00:00,37.306564,41.0
2019-04-02 22:00:00,39.207542,39.0
2019-04-02 23:00:00,38.53448,39.0
2019-04-03 00:00:00,35.784397,39.0
2019-04-03 01:00:00,32.854153,38.0
2019-04-03 02:00:00,31.0107,33.0
2019-04-03 03:00:00,25.818121,29.0
2019-04-03 04:00:00,19.197441,21.0
2019-04-03 05:00:00,21.813438,21.0
2019-04-03 06:00:00,24.115799,34.0
2019-04-03 07:00:00,31.810976,44.0
2019-04-03 08:00:00,41.03384,47.0
2019-04-03 09:00:00,46.693333,48.0
2019-04-03 10:00:00,48.424824,49.0
2019-04-03 11:00:00,49.288765,49.0
2019-04-03 12:00:00,49.56283,50.0
2019-04-03 13:00:00,48.546574,50.0
2019-04-03 14:00:00,49.851032,50.0
2019-04-03 15:00:00,49.239227,50.0
2019-04-03 16:00:00,44.086967,48.0
2019-04-03 17:00:00,41.710484,47.0
2019-04-03 18:00:00,39.31751,47.0
2019-04-03 19:00:00,38.301792,45.0
2019-04-03 20:00:00,38.65115,39.0
2019-04-03 21:00:00,39.665688,32.0
2019-04-03 22:00:00,35.28058,34.0
2019-04-03 23:00:00,28.641373,29.0
2019-04-04 00:00:00,29.958479,24.0
2019-04-04 01:00:00,26.875607,16.0
2019-04-04 02:00:00,19.50441,23.0
2019-04-04 03:00:00,5.975535,19.0
2019-04-04 04:00:00,10.547713,12.0
2019-04-04 05:00:00,8.512298,16.0
2019-04-04 06:00:00,16.74405,27.0
2019-04-04 07:00:00,24.577599,36.0
2019-04-04 08:00:00,37.42017,48.0
2019-04-04 09:00:00,48.559216,51.0
2019-04-04 10:00:00,53.822132,53.0
2019-04-04 11:00:00,54.926765,55.0
2019-04-04 12:00:00,55.079723,57.0
2019-04-04 13:00:00,55.02966,59.0
2019-04-04 14:00:00,57.526974,54.0
2019-04-04 15:00:00,53.11987,52.0
2019-04-04 16:00:00,36.646736,48.0
2019-04-04 17:00:00,32.965206,39.0
2019-04-04 18:00:00,26.43963,33.0
2019-04-04 19:00:00,20.126354,28.0
2019-04-04 20:00:00,19.193615,19.0
2019-04-04 21:00:00,17.24822,13.0
2019-04-04 22:00:00,14.021706,12.0
2019-04-04 23:00:00,12.869706,27.0
2019-04-05 00:00:00,20.606377,23.0
2019-04-05 01:00:00,32.527737,20.0
2019-04-05 02:00:00,20.231304,11.0
2019-04-05 03:00:00,2.5743651,9.0
2019-04-05 04:00:00,1.9776096,6.0
2019-04-05 05:00:00,0.57881284,14.0
2019-04-05 06:00:00,8.918529,20.0
2019-04-05 07:00:00,29.632837,29.0
2019-04-05 08:00:00,39.849125,38.0
2019-04-05 09:00:00,51.798904,44.0
2019-04-05 10:00:00,55.985546,42.0
2019-04-05 11:00:00,57.141888,51.0
2019-04-05 12:00:00,53.141064,64.0
2019-04-05 13:00:00,57.71375,66.0
2019-04-05 14:00:00,60.572155,64.0
2019-04-05 15:00:00,59.450146,62.0
2019-04-05 16:00:00,45.36118,59.0
