,predict,obs
2019-04-01 00:00:00,25.998724,29.0
2019-04-01 01:00:00,27.758307,30.0
2019-04-01 02:00:00,28.020937,30.0
2019-04-01 03:00:00,27.859457,25.0
2019-04-01 04:00:00,23.536861,23.0
2019-04-01 05:00:00,22.630766,21.0
2019-04-01 06:00:00,20.571667,22.0
2019-04-01 07:00:00,23.12123,25.0
2019-04-01 08:00:00,31.92301,37.0
2019-04-01 09:00:00,44.771442,43.0
2019-04-01 10:00:00,48.0565,49.0
2019-04-01 11:00:00,51.85867,53.0
2019-04-01 12:00:00,53.316555,54.0
2019-04-01 13:00:00,55.340233,48.0
2019-04-01 14:00:00,47.598354,50.0
2019-04-01 15:00:00,50.067966,47.5
2019-04-01 16:00:00,46.249325,45.0
2019-04-01 17:00:00,44.30682,50.0
2019-04-01 18:00:00,48.791653,47.0
2019-04-01 19:00:00,45.862373,48.0
2019-04-01 20:00:00,47.190807,49.0
2019-04-01 21:00:00,46.859207,46.0
2019-04-01 22:00:00,40.031574,42.0
2019-04-01 23:00:00,37.593525,39.0
2019-04-02 00:00:00,35.77711,39.5
2019-04-02 01:00:00,36.89864,40.0
2019-04-02 02:00:00,37.417877,37.0
2019-04-02 03:00:00,34.162315,34.0
2019-04-02 04:00:00,30.195944,24.0
2019-04-02 05:00:00,22.040514,22.0
2019-04-02 06:00:00,23.560177,23.0
2019-04-02 07:00:00,30.309313,39.0
2019-04-02 08:00:00,43.852924,42.0
2019-04-02 09:00:00,44.66654,41.0
2019-04-02 10:00:00,43.99672,42.66666666666666
2019-04-02 11:00:00,45.654026,44.333333333333336
2019-04-02 12:00:00,49.3685,46.0
2019-04-02 13:00:00,48.31044,47.66666666666666
2019-04-02 14:00:00,50.57318,49.333333333333336
2019-04-02 15:00:00,50.7374,51.0
2019-04-02 16:00:00,51.937878,51.0
2019-04-02 17:00:00,50.526356,50.0
2019-04-02 18:00:00,46.37083,48.0
2019-04-02 19:00:00,43.77189,48.0
2019-04-02 20:00:00,44.056156,45.0
2019-04-02 21:00:00,40.425896,43.0
2019-04-02 22:00:00,40.185196,44.0
2019-04-02 23:00:00,40.500313,37.0
2019-04-03 00:00:00,33.035534,31.0
2019-04-03 01:00:00,28.914045,26.0
2019-04-03 02:00:00,25.829773,34.0
2019-04-03 03:00:00,33.328175,27.0
2019-04-03 04:00:00,25.080927,24.0
2019-04-03 05:00:00,22.91188,23.0
2019-04-03 06:00:00,22.481352,28.0
2019-04-03 07:00:00,30.578144,28.0
2019-04-03 08:00:00,39.141502,49.0
2019-04-03 09:00:00,50.58069,50.0
2019-04-03 10:00:00,49.539597,51.0
2019-04-03 11:00:00,51.60723,52.0
2019-04-03 12:00:00,54.51467,52.0
2019-04-03 13:00:00,54.43845,53.0
2019-04-03 14:00:00,56.92589,53.0
2019-04-03 15:00:00,55.82757,54.0
2019-04-03 16:00:00,55.419407,53.0
2019-04-03 17:00:00,53.542435,52.0
2019-04-03 18:00:00,50.657734,48.0
2019-04-03 19:00:00,44.560806,44.0
2019-04-03 20:00:00,38.989933,39.0
2019-04-03 21:00:00,32.923893,31.0
2019-04-03 22:00:00,26.819235,28.0
2019-04-03 23:00:00,25.62175,27.0
2019-04-04 00:00:00,26.614286,28.0
2019-04-04 01:00:00,27.400156,29.0
2019-04-04 02:00:00,28.375141,30.0
2019-04-04 03:00:00,27.900175,30.0
2019-04-04 04:00:00,28.765425,30.0
2019-04-04 05:00:00,28.606085,29.0
2019-04-04 06:00:00,27.706854,29.0
2019-04-04 07:00:00,31.357164,32.0
2019-04-04 08:00:00,37.90335,47.0
2019-04-04 09:00:00,53.07188,49.0
2019-04-04 10:00:00,53.01265,49.0
2019-04-04 11:00:00,54.31825,51.0
2019-04-04 12:00:00,55.55956,52.0
2019-04-04 13:00:00,58.072124,54.0
2019-04-04 14:00:00,57.638874,56.0
2019-04-04 15:00:00,58.24452,57.0
2019-04-04 16:00:00,57.03271,59.0
2019-04-04 17:00:00,57.54198,58.0
2019-04-04 18:00:00,52.959167,45.0
2019-04-04 19:00:00,35.992664,42.0
2019-04-04 20:00:00,36.118404,41.0
2019-04-04 21:00:00,37.699493,41.0
2019-04-04 22:00:00,38.950237,42.0
2019-04-04 23:00:00,40.35027,42.0
2019-04-05 00:00:00,40.97668,42.0
2019-04-05 01:00:00,42.007507,42.0
2019-04-05 02:00:00,40.78564,41.0
2019-04-05 03:00:00,39.32062,38.0
2019-04-05 04:00:00,36.338413,37.0
2019-04-05 05:00:00,35.78792,34.0
2019-04-05 06:00:00,34.137497,23.0
2019-04-05 07:00:00,28.100378,33.0
2019-04-05 08:00:00,42.818882,37.0
2019-04-05 09:00:00,44.599277,41.0
2019-04-05 10:00:00,48.79378,43.0
2019-04-05 11:00:00,51.62846,42.0
2019-04-05 12:00:00,50.904064,52.0
2019-04-05 13:00:00,58.958115,59.0
2019-04-05 14:00:00,63.665684,62.0
2019-04-05 15:00:00,62.802887,63.0
2019-04-05 16:00:00,63.46776,62.0
2019-04-05 17:00:00,60.50971,60.0
2019-04-05 18:00:00,57.786324,58.0
2019-04-05 19:00:00,56.453106,54.0
2019-04-05 20:00:00,51.229633,47.0
2019-04-05 21:00:00,44.173534,59.0
2019-04-05 22:00:00,61.762638,76.0
2019-04-05 23:00:00,77.89133,77.0
2019-04-06 00:00:00,74.5076,64.0
2019-04-06 01:00:00,55.484802,49.0
2019-04-06 02:00:00,43.53426,55.0
2019-04-06 03:00:00,51.337708,49.0
2019-04-06 04:00:00,47.12874,42.0
2019-04-06 05:00:00,40.00081,39.0
2019-04-06 06:00:00,38.35776,32.0
2019-04-06 07:00:00,33.902206,49.0
2019-04-06 08:00:00,54.83341,55.0
2019-04-06 09:00:00,59.977577,60.0
2019-04-06 10:00:00,62.340588,64.0
2019-04-06 11:00:00,66.26623,69.0
2019-04-06 12:00:00,72.114525,74.0
2019-04-06 13:00:00,74.944496,76.0
2019-04-06 14:00:00,77.29488,81.0
2019-04-06 15:00:00,83.61352,82.0
2019-04-06 16:00:00,81.93399,82.0
2019-04-06 17:00:00,82.753815,76.0
2019-04-06 18:00:00,76.07809,53.0
2019-04-06 19:00:00,49.015667,46.0
2019-04-06 20:00:00,44.198883,44.0
2019-04-06 21:00:00,44.40447,42.0
2019-04-06 22:00:00,40.533,43.0
2019-04-06 23:00:00,41.33958,43.0
