,predict,obs
2019-04-01 00:00:00,43.383186,45.0
2019-04-01 01:00:00,44.240143,46.0
2019-04-01 02:00:00,44.913754,45.0
2019-04-01 03:00:00,45.6285,45.0
2019-04-01 04:00:00,45.357597,46.0
2019-04-01 05:00:00,45.077133,45.0
2019-04-01 06:00:00,44.62291,46.0
2019-04-01 07:00:00,44.608814,46.0
2019-04-01 08:00:00,44.46811,49.0
2019-04-01 09:00:00,43.992477,49.0
2019-04-01 10:00:00,45.5586,47.0
2019-04-01 11:00:00,46.7834,51.0
2019-04-01 12:00:00,46.8524,53.0
2019-04-01 13:00:00,48.888218,55.0
2019-04-01 14:00:00,49.41725,53.0
2019-04-01 15:00:00,50.978848,51.0
2019-04-01 16:00:00,48.66471,48.0
2019-04-01 17:00:00,46.629044,47.0
2019-04-01 18:00:00,45.314163,46.0
2019-04-01 19:00:00,46.067215,43.0
2019-04-01 20:00:00,44.434746,42.0
2019-04-01 21:00:00,42.10287,42.0
2019-04-01 22:00:00,41.58515,40.0
2019-04-01 23:00:00,42.685593,38.0
2019-04-02 00:00:00,42.73147,40.0
2019-04-02 01:00:00,41.33867,43.0
2019-04-02 02:00:00,42.18524,41.0
2019-04-02 03:00:00,43.95003,40.0
2019-04-02 04:00:00,42.660294,42.0
2019-04-02 05:00:00,42.53038,44.0
2019-04-02 06:00:00,43.3317,45.0
2019-04-02 07:00:00,42.66552,47.0
2019-04-02 08:00:00,43.667725,48.0
2019-04-02 09:00:00,44.856888,48.0
2019-04-02 10:00:00,45.13187,49.0
2019-04-02 11:00:00,45.92385,50.0
2019-04-02 12:00:00,47.495316,49.0
2019-04-02 13:00:00,49.679314,49.0
2019-04-02 14:00:00,48.434067,50.0
2019-04-02 15:00:00,48.4999,50.0
2019-04-02 16:00:00,50.363403,48.0
2019-04-02 17:00:00,48.376434,47.0
2019-04-02 18:00:00,46.159836,46.0
2019-04-02 19:00:00,47.192017,44.0
2019-04-02 20:00:00,45.78631,44.0
2019-04-02 21:00:00,43.61415,46.0
2019-04-02 22:00:00,43.346558,47.0
2019-04-02 23:00:00,45.07248,48.0
2019-04-03 00:00:00,47.226616,47.0
2019-04-03 01:00:00,47.644943,47.0
2019-04-03 02:00:00,46.35843,46.0
2019-04-03 03:00:00,47.02639,46.0
2019-04-03 04:00:00,47.372704,47.0
2019-04-03 05:00:00,47.015984,47.0
2019-04-03 06:00:00,47.355293,48.0
2019-04-03 07:00:00,45.87113,47.0
2019-04-03 08:00:00,46.11519,47.0
2019-04-03 09:00:00,45.63296,48.0
2019-04-03 10:00:00,45.33535,48.0
2019-04-03 11:00:00,47.512184,49.0
2019-04-03 12:00:00,49.01453,49.0
2019-04-03 13:00:00,49.652115,50.0
2019-04-03 14:00:00,49.99611,49.0
2019-04-03 15:00:00,50.417614,49.0
2019-04-03 16:00:00,50.735016,49.0
2019-04-03 17:00:00,49.33436,47.0
2019-04-03 18:00:00,48.021782,45.0
2019-04-03 19:00:00,47.099716,46.0
2019-04-03 20:00:00,45.070168,48.0
2019-04-03 21:00:00,44.77296,48.0
2019-04-03 22:00:00,44.928116,47.0
2019-04-03 23:00:00,45.467644,48.0
2019-04-04 00:00:00,45.92105,46.0
2019-04-04 01:00:00,47.97658,48.0
2019-04-04 02:00:00,46.5458,49.0
2019-04-04 03:00:00,47.87822,49.0
2019-04-04 04:00:00,48.713043,52.0
2019-04-04 05:00:00,47.957504,52.0
2019-04-04 06:00:00,49.427483,52.0
2019-04-04 07:00:00,48.12776,54.0
2019-04-04 08:00:00,47.404076,54.0
2019-04-04 09:00:00,49.316856,55.0
2019-04-04 10:00:00,52.12338,50.0
2019-04-04 11:00:00,53.332844,53.0
2019-04-04 12:00:00,52.219116,52.0
2019-04-04 13:00:00,56.640533,51.0
2019-04-04 14:00:00,56.186886,57.0
2019-04-04 15:00:00,56.134514,56.0
2019-04-04 16:00:00,58.3966,59.0
2019-04-04 17:00:00,55.72483,61.0
2019-04-04 18:00:00,56.85865,62.0
2019-04-04 19:00:00,58.587753,62.0
2019-04-04 20:00:00,57.58332,60.0
2019-04-04 21:00:00,55.84513,61.0
2019-04-04 22:00:00,54.412743,60.0
2019-04-04 23:00:00,54.87525,60.0
2019-04-05 00:00:00,55.19005,60.0
2019-04-05 01:00:00,56.521942,57.0
2019-04-05 02:00:00,57.72303,57.0
2019-04-05 03:00:00,55.104603,56.0
2019-04-05 04:00:00,53.909256,56.0
2019-04-05 05:00:00,51.688354,55.0
2019-04-05 06:00:00,51.218773,53.0
2019-04-05 07:00:00,51.709488,49.0
2019-04-05 08:00:00,52.62912,49.0
2019-04-05 09:00:00,50.459267,50.0
2019-04-05 10:00:00,52.026512,50.0
2019-04-05 11:00:00,56.69519,50.0
2019-04-05 12:00:00,56.45829,52.0
2019-04-05 13:00:00,56.9269,58.0
2019-04-05 14:00:00,57.24556,65.0
2019-04-05 15:00:00,59.651054,65.0
