,predict,obs
2019-04-01 00:00:00,36.39808,36.0
2019-04-01 01:00:00,34.020115,32.0
2019-04-01 02:00:00,33.74035,19.0
2019-04-01 03:00:00,32.584457,13.0
2019-04-01 04:00:00,19.931707,13.0
2019-04-01 05:00:00,3.8463063,27.0
2019-04-01 06:00:00,2.209469,32.0
2019-04-01 07:00:00,32.891922,49.0
2019-04-01 08:00:00,45.226704,52.0
2019-04-01 09:00:00,48.799335,53.0
2019-04-01 10:00:00,52.863552,48.0
2019-04-01 11:00:00,52.908833,52.0
2019-04-01 12:00:00,49.26952,49.0
2019-04-01 13:00:00,32.868557,50.0
2019-04-01 14:00:00,38.59142,50.0
2019-04-01 15:00:00,39.359367,46.0
2019-04-01 16:00:00,38.155586,43.0
2019-04-01 17:00:00,33.703197,44.0
2019-04-01 18:00:00,21.337252,44.0
2019-04-01 19:00:00,20.167475,48.0
2019-04-01 20:00:00,26.930387,48.0
2019-04-01 21:00:00,25.076012,49.0
2019-04-01 22:00:00,39.990833,44.0
2019-04-01 23:00:00,45.82347,42.0
2019-04-02 00:00:00,46.27866,43.0
2019-04-02 01:00:00,33.94639,39.0
2019-04-02 02:00:00,23.521603,30.0
2019-04-02 03:00:00,20.082886,25.0
2019-04-02 04:00:00,29.463703,26.0
2019-04-02 05:00:00,37.414886,36.0
2019-04-02 06:00:00,44.114597,39.0
2019-04-02 07:00:00,44.918983,42.0
2019-04-02 08:00:00,48.947384,46.0
2019-04-02 09:00:00,45.43522,51.0
2019-04-02 10:00:00,46.964195,49.0
2019-04-02 11:00:00,49.91733,51.0
2019-04-02 12:00:00,51.250206,48.0
2019-04-02 13:00:00,46.18897,49.0
2019-04-02 14:00:00,42.93728,49.0
2019-04-02 15:00:00,36.75483,50.0
2019-04-02 16:00:00,43.539402,48.0
2019-04-02 17:00:00,43.5066,46.0
2019-04-02 18:00:00,38.24151,45.0
2019-04-02 19:00:00,36.262646,43.0
2019-04-02 20:00:00,32.685772,40.0
2019-04-02 21:00:00,26.134615,37.0
2019-04-02 22:00:00,19.37637,37.0
2019-04-02 23:00:00,28.704397,35.0
2019-04-03 00:00:00,13.229835,35.0
2019-04-03 01:00:00,14.722502,28.0
2019-04-03 02:00:00,19.927292,29.0
2019-04-03 03:00:00,23.347385,25.0
2019-04-03 04:00:00,17.710293,29.0
2019-04-03 05:00:00,22.603647,36.0
2019-04-03 06:00:00,29.741539,43.0
2019-04-03 07:00:00,41.607754,51.0
2019-04-03 08:00:00,48.45152,51.0
2019-04-03 09:00:00,49.80408,52.0
2019-04-03 10:00:00,51.836082,53.0
2019-04-03 11:00:00,50.319267,54.0
2019-04-03 12:00:00,53.767426,54.0
2019-04-03 13:00:00,53.19734,54.0
2019-04-03 14:00:00,51.86616,53.0
2019-04-03 15:00:00,46.788906,52.0
2019-04-03 16:00:00,45.187553,48.0
2019-04-03 17:00:00,46.058094,46.0
2019-04-03 18:00:00,43.5187,46.0
2019-04-03 19:00:00,43.218796,44.0
2019-04-03 20:00:00,39.431705,41.0
2019-04-03 21:00:00,33.613197,33.0
2019-04-03 22:00:00,25.854773,24.0
