,predict,obs
2019-04-01 00:00:00,43.197308,45.0
2019-04-01 01:00:00,43.78155,45.0
2019-04-01 02:00:00,43.525433,46.0
2019-04-01 03:00:00,44.075726,45.0
2019-04-01 04:00:00,43.06956,45.0
2019-04-01 05:00:00,43.558395,46.0
2019-04-01 06:00:00,44.667873,45.0
2019-04-01 07:00:00,44.090572,46.0
2019-04-01 08:00:00,44.91844,46.0
2019-04-01 09:00:00,45.165047,49.0
2019-04-01 10:00:00,47.00801,49.0
2019-04-01 11:00:00,45.71977,47.0
2019-04-01 12:00:00,45.666325,51.0
2019-04-01 13:00:00,49.378223,53.0
2019-04-01 14:00:00,50.96632,55.0
2019-04-01 15:00:00,52.51897,53.0
2019-04-01 16:00:00,50.57615,51.0
2019-04-01 17:00:00,48.70971,48.0
2019-04-01 18:00:00,46.186287,47.0
2019-04-01 19:00:00,45.45368,46.0
2019-04-01 20:00:00,42.685795,43.0
2019-04-01 21:00:00,40.721714,42.0
2019-04-01 22:00:00,40.619,42.0
2019-04-01 23:00:00,40.641335,40.0
2019-04-02 00:00:00,38.54114,38.0
2019-04-02 01:00:00,37.172966,40.0
2019-04-02 02:00:00,39.297398,43.0
2019-04-02 03:00:00,41.872715,41.0
2019-04-02 04:00:00,39.891888,40.0
2019-04-02 05:00:00,39.832447,42.0
2019-04-02 06:00:00,41.433502,44.0
2019-04-02 07:00:00,42.958294,45.0
2019-04-02 08:00:00,43.566673,47.0
2019-04-02 09:00:00,45.656475,48.0
2019-04-02 10:00:00,46.821575,48.0
2019-04-02 11:00:00,47.06309,49.0
2019-04-02 12:00:00,47.482044,50.0
2019-04-02 13:00:00,48.916805,49.0
2019-04-02 14:00:00,47.63192,49.0
2019-04-02 15:00:00,47.172955,50.0
2019-04-02 16:00:00,48.98367,50.0
2019-04-02 17:00:00,47.05234,48.0
2019-04-02 18:00:00,44.0046,47.0
2019-04-02 19:00:00,45.677105,46.0
2019-04-02 20:00:00,45.07855,44.0
2019-04-02 21:00:00,42.680294,44.0
2019-04-02 22:00:00,43.24915,46.0
2019-04-02 23:00:00,45.52151,47.0
2019-04-03 00:00:00,46.4383,48.0
2019-04-03 01:00:00,46.230198,47.0
2019-04-03 02:00:00,44.70776,47.0
2019-04-03 03:00:00,44.468853,46.0
2019-04-03 04:00:00,44.480423,46.0
2019-04-03 05:00:00,43.84633,47.0
2019-04-03 06:00:00,45.19089,47.0
2019-04-03 07:00:00,45.445515,48.0
2019-04-03 08:00:00,46.289673,47.0
2019-04-03 09:00:00,44.27942,47.0
2019-04-03 10:00:00,44.639774,48.0
2019-04-03 11:00:00,46.4956,48.0
2019-04-03 12:00:00,46.91176,49.0
2019-04-03 13:00:00,47.809406,49.0
2019-04-03 14:00:00,47.309803,50.0
2019-04-03 15:00:00,47.23074,49.0
2019-04-03 16:00:00,47.68455,49.0
2019-04-03 17:00:00,47.623047,49.0
2019-04-03 18:00:00,46.60461,47.0
2019-04-03 19:00:00,45.95812,45.0
2019-04-03 20:00:00,44.91227,46.0
2019-04-03 21:00:00,44.724762,48.0
2019-04-03 22:00:00,45.98985,48.0
2019-04-03 23:00:00,46.712666,47.0
2019-04-04 00:00:00,45.450687,48.0
2019-04-04 01:00:00,46.503635,46.0
2019-04-04 02:00:00,44.032776,48.0
2019-04-04 03:00:00,46.26263,49.0
2019-04-04 04:00:00,47.28172,49.0
2019-04-04 05:00:00,46.88829,52.0
2019-04-04 06:00:00,49.55602,52.0
2019-04-04 07:00:00,48.049885,52.0
2019-04-04 08:00:00,49.99029,54.0
2019-04-04 09:00:00,51.923656,54.0
2019-04-04 10:00:00,52.513287,55.0
2019-04-04 11:00:00,52.737804,50.0
2019-04-04 12:00:00,49.82671,53.0
2019-04-04 13:00:00,54.005886,52.0
2019-04-04 14:00:00,53.451855,51.0
2019-04-04 15:00:00,52.2924,57.0
2019-04-04 16:00:00,58.829647,56.0
2019-04-04 17:00:00,56.068478,59.0
2019-04-04 18:00:00,59.30382,61.0
2019-04-04 19:00:00,60.850155,62.0
2019-04-04 20:00:00,60.60743,62.0
2019-04-04 21:00:00,58.975605,60.0
2019-04-04 22:00:00,58.492134,61.0
2019-04-04 23:00:00,58.90489,60.0
2019-04-05 00:00:00,57.7042,60.0
2019-04-05 01:00:00,58.155857,60.0
2019-04-05 02:00:00,58.7753,57.0
2019-04-05 03:00:00,55.882805,57.0
2019-04-05 04:00:00,54.213764,56.0
2019-04-05 05:00:00,52.5711,56.0
2019-04-05 06:00:00,52.805294,55.0
2019-04-05 07:00:00,51.04317,53.0
2019-04-05 08:00:00,49.470284,49.0
2019-04-05 09:00:00,46.164936,49.0
2019-04-05 10:00:00,48.42289,50.0
2019-04-05 11:00:00,52.775852,50.0
2019-04-05 12:00:00,53.07166,50.0
2019-04-05 13:00:00,53.000916,52.0
2019-04-05 14:00:00,54.694927,58.0
2019-04-05 15:00:00,60.71156,65.0
2019-04-05 16:00:00,65.26142,65.0
2019-04-05 17:00:00,65.18292,59.0
2019-04-05 18:00:00,59.588337,59.0
2019-04-05 19:00:00,61.55505,66.0
2019-04-05 20:00:00,65.830574,74.0
2019-04-05 21:00:00,72.09005,75.0
2019-04-05 22:00:00,72.94742,72.0
2019-04-05 23:00:00,65.28695,70.0
