,predict,obs
2019-04-01 00:00:00,24.371359,30.0
2019-04-01 01:00:00,23.366796,25.0
2019-04-01 02:00:00,26.033518,23.0
2019-04-01 03:00:00,22.833849,21.0
2019-04-01 04:00:00,18.63377,22.0
2019-04-01 05:00:00,18.851002,25.0
2019-04-01 06:00:00,16.910852,37.0
2019-04-01 07:00:00,22.774546,43.0
2019-04-01 08:00:00,40.059998,49.0
2019-04-01 09:00:00,48.266323,53.0
2019-04-01 10:00:00,47.057346,54.0
2019-04-01 11:00:00,48.369976,48.0
2019-04-01 12:00:00,50.861893,50.0
2019-04-01 13:00:00,43.99586,47.5
2019-04-01 14:00:00,37.102097,45.0
2019-04-01 15:00:00,34.787754,50.0
2019-04-01 16:00:00,35.99406,47.0
2019-04-01 17:00:00,40.20619,48.0
2019-04-01 18:00:00,36.200497,49.0
2019-04-01 19:00:00,32.493565,46.0
2019-04-01 20:00:00,32.34612,42.0
2019-04-01 21:00:00,37.613674,39.0
2019-04-01 22:00:00,37.21962,39.5
2019-04-01 23:00:00,36.28202,40.0
2019-04-02 00:00:00,35.458916,37.0
2019-04-02 01:00:00,34.557003,34.0
2019-04-02 02:00:00,33.35342,24.0
2019-04-02 03:00:00,30.346327,22.0
2019-04-02 04:00:00,31.397604,23.0
2019-04-02 05:00:00,30.073936,39.0
2019-04-02 06:00:00,36.76549,42.0
2019-04-02 07:00:00,39.110474,41.0
2019-04-02 08:00:00,40.889633,42.66666666666666
2019-04-02 09:00:00,41.130405,44.333333333333336
2019-04-02 10:00:00,44.4273,46.0
2019-04-02 11:00:00,42.91646,47.66666666666666
2019-04-02 12:00:00,48.635384,49.333333333333336
2019-04-02 13:00:00,48.11487,51.0
2019-04-02 14:00:00,47.980526,51.0
2019-04-02 15:00:00,42.984604,50.0
2019-04-02 16:00:00,42.71354,48.0
2019-04-02 17:00:00,40.41395,48.0
2019-04-02 18:00:00,36.22811,45.0
2019-04-02 19:00:00,32.44646,43.0
2019-04-02 20:00:00,31.143396,44.0
2019-04-02 21:00:00,30.384228,37.0
2019-04-02 22:00:00,37.930573,31.0
2019-04-02 23:00:00,34.214855,26.0
2019-04-03 00:00:00,32.043373,34.0
2019-04-03 01:00:00,29.980833,27.0
2019-04-03 02:00:00,26.757961,24.0
2019-04-03 03:00:00,27.577234,23.0
2019-04-03 04:00:00,25.10179,28.0
2019-04-03 05:00:00,23.278166,28.0
2019-04-03 06:00:00,24.83711,49.0
2019-04-03 07:00:00,39.026463,50.0
2019-04-03 08:00:00,37.128876,51.0
2019-04-03 09:00:00,45.675957,52.0
2019-04-03 10:00:00,45.84434,52.0
2019-04-03 11:00:00,48.52686,53.0
2019-04-03 12:00:00,49.597507,53.0
2019-04-03 13:00:00,54.048534,54.0
2019-04-03 14:00:00,50.624714,53.0
2019-04-03 15:00:00,54.507404,52.0
2019-04-03 16:00:00,45.737835,48.0
