,予測値,実測値,予測値_lug
0,17.869316,11.000001,12.976915
1,12.976915,13.0,16.10682
2,16.10682,22.000002,24.732752
3,24.732752,25.0,26.575129
4,26.575129,28.0,28.105362
5,28.105362,27.000002,27.751234
6,27.751234,30.0,31.673477
7,31.673477,31.999998,33.505314
8,33.505314,31.0,33.412308
9,33.412308,35.0,40.29243
10,40.29243,36.0,40.03555
11,40.03555,38.0,45.107407
12,45.107407,39.0,43.937485
13,43.937485,39.0,43.415432
14,43.415432,40.0,43.31676
15,43.31676,39.0,42.03481
16,42.03481,38.0,39.096817
17,39.096817,37.0,37.735737
18,37.735737,36.0,37.84471
19,37.84471,36.0,37.17074
20,37.17074,35.0,37.330555
21,37.330555,34.0,35.643604
22,35.643604,33.0,35.951374
23,35.951374,35.0,38.479153
24,38.479153,35.0,36.250263
25,36.250263,34.0,33.558693
26,33.558693,31.999998,31.560589
27,31.560589,29.0,27.834259
28,27.834259,28.0,27.662058
29,27.662058,29.0,30.498861
30,30.498861,27.000002,27.139133
31,27.139133,23.0,25.728514
32,25.728514,28.0,32.739204
33,32.739204,28.0,32.417095
34,32.417095,30.0,36.782616
35,36.782616,36.0,43.296246
36,43.296246,38.0,44.208862
37,44.208862,40.0,45.56977
38,45.56977,40.0,43.512352
39,43.512352,39.0,42.299248
40,42.299248,39.0,41.360107
41,41.360107,38.0,40.359413
42,40.359413,37.0,38.805065
43,38.805065,36.0,39.059895
44,39.059895,35.0,38.056072
45,38.056072,34.0,36.911427
46,36.911427,31.999998,34.7056
47,34.7056,33.0,35.61464
48,35.61464,33.0,34.859287
49,34.859287,31.0,31.699492
50,31.699492,29.0,28.243038
51,28.243038,28.0,27.608475
52,27.608475,27.000002,25.04067
53,25.04067,26.0,25.658184
54,25.658184,24.0,23.493303
55,23.493303,24.0,25.3264
56,25.3264,22.000002,23.220842
57,23.220842,15.999999,18.014355
58,18.014355,18.0,23.731674
59,23.731674,25.0,31.20157
60,31.20157,33.0,38.34185
61,38.34185,31.0,34.682148
62,34.682148,31.0,35.201733
63,35.201733,26.0,24.259165
64,24.259165,24.0,23.174738
65,23.174738,14.0,8.3601885
66,8.3601885,20.0,21.892958
67,21.892958,22.000002,14.745159
68,14.745159,22.000002,20.406416
69,20.406416,24.0,24.89884
70,24.89884,15.999999,12.893057
71,12.893057,5.0,9.719683
72,9.719683,3.0,7.5022645
73,7.5022645,17.0,20.303755
74,20.303755,14.0,12.804397
75,12.804397,9.0,6.304188
76,6.304188,5.0,4.79872
77,4.79872,1.9999999,2.5989566
78,2.5989566,0.99999994,1.5705459
79,1.5705459,1.9999999,2.1353793
80,2.1353793,5.0,4.2594776
81,4.2594776,5.0,5.45368
82,5.45368,15.0,26.637274
83,26.637274,27.000002,30.54909
84,30.54909,34.0,43.771217
85,43.771217,36.0,39.340202
86,39.340202,33.0,36.947063
87,36.947063,19.0,14.624576
88,14.624576,3.9999998,4.294898
89,4.294898,34.0,37.056377
90,37.056377,39.0,35.120308
91,35.120308,39.0,42.473343
92,42.473343,39.0,38.607983
93,38.607983,38.0,41.823048
94,41.823048,38.0,39.290943
95,39.290943,37.0,39.190556
96,39.190556,37.0,39.397205
97,39.397205,37.0,39.632935
98,39.632935,37.0,38.88044
99,38.88044,39.0,40.07602
100,40.07602,39.0,38.71131
101,38.71131,38.0,38.50037
102,38.50037,37.0,37.910923
103,37.910923,34.0,35.770737
104,35.770737,34.0,37.666477
