,予測値,実測値,予測値_lug
0,26.982372,11.000001,17.285233
1,17.285233,13.0,20.771044
2,20.771044,22.000002,27.876478
3,27.876478,25.0,28.189426
4,28.189426,28.0,29.957615
5,29.957615,27.000002,29.25511
6,29.25511,30.0,32.768707
7,32.768707,31.999998,33.220284
8,33.220284,31.0,32.366875
9,32.366875,35.0,36.85698
10,36.85698,36.0,35.530083
11,35.530083,38.0,39.516056
12,39.516056,39.0,37.525833
13,37.525833,39.0,38.770294
14,38.770294,40.0,39.08268
15,39.08268,39.0,39.17581
16,39.17581,38.0,37.05175
17,37.05175,37.0,36.17451
18,36.17451,36.0,36.8638
19,36.8638,36.0,35.71173
20,35.71173,35.0,35.611275
21,35.611275,34.0,33.984703
22,33.984703,33.0,34.21673
23,34.21673,35.0,36.200596
24,36.200596,35.0,34.466682
25,34.466682,34.0,32.880684
26,32.880684,31.999998,32.15634
27,32.15634,29.0,29.270336
28,29.270336,28.0,28.623438
29,28.623438,29.0,32.52131
30,32.52131,27.000002,28.404871
31,28.404871,23.0,27.604464
32,27.604464,28.0,32.277824
33,32.277824,28.0,30.66975
34,30.66975,30.0,32.84537
35,32.84537,36.0,37.65837
36,37.65837,38.0,38.910896
37,38.910896,40.0,40.78806
38,40.78806,40.0,38.897503
39,38.897503,39.0,38.75091
40,38.75091,39.0,38.92389
41,38.92389,38.0,38.29106
42,38.29106,37.0,36.675854
43,36.675854,36.0,37.479713
44,37.479713,35.0,35.031094
45,35.031094,34.0,35.23128
46,35.23128,31.999998,33.376125
47,33.376125,33.0,33.65595
48,33.65595,33.0,33.227573
49,33.227573,31.0,30.874271
50,30.874271,29.0,28.945644
51,28.945644,28.0,28.565266
52,28.565266,27.000002,27.212315
53,27.212315,26.0,27.805433
54,27.805433,24.0,25.968094
55,25.968094,24.0,26.756758
56,26.756758,22.000002,24.35443
57,24.35443,15.999999,20.402576
58,20.402576,18.0,23.964518
59,23.964518,25.0,31.713074
60,31.713074,33.0,34.134327
61,34.134327,31.0,32.558327
62,32.558327,31.0,33.641804
63,33.641804,26.0,27.028574
64,27.028574,24.0,26.967333
65,26.967333,14.0,15.661977
66,15.661977,20.0,28.595268
67,28.595268,22.000002,22.282217
68,22.282217,22.000002,25.481836
69,25.481836,24.0,27.903328
70,27.903328,15.999999,16.693377
71,16.693377,5.0,15.102212
72,15.102212,3.0,13.886165
73,13.886165,17.0,25.628534
74,25.628534,14.0,17.262783
75,17.262783,9.0,12.292718
76,12.292718,5.0,10.872216
77,10.872216,1.9999999,8.514641
78,8.514641,0.99999994,8.236159
79,8.236159,1.9999999,11.300356
80,11.300356,5.0,12.245758
81,12.245758,5.0,12.798616
82,12.798616,15.0,28.626635
83,28.626635,27.000002,30.855907
84,30.855907,34.0,36.51213
85,36.51213,36.0,33.915016
86,33.915016,33.0,31.774298
87,31.774298,19.0,18.216059
88,18.216059,3.9999998,10.132517
89,10.132517,34.0,40.82772
90,40.82772,39.0,35.169376
91,35.169376,39.0,39.23957
92,39.23957,39.0,37.861927
93,37.861927,38.0,37.92117
94,37.92117,38.0,37.26748
95,37.26748,37.0,36.631878
96,36.631878,37.0,36.77981
97,36.77981,37.0,37.24597
98,37.24597,37.0,37.2223
99,37.2223,39.0,38.606846
100,38.606846,39.0,37.883446
101,37.883446,38.0,37.087566
102,37.087566,37.0,36.31334
103,36.31334,34.0,33.800087
104,33.800087,34.0,34.42523
105,34.42523,36.0,37.57733
106,37.57733,37.0,37.517532
107,37.517532,37.0,37.32559
108,37.32559,37.0,37.019844
109,37.019844,36.0,36.33343
110,36.33343,38.0,39.59414
111,39.59414,39.0,39.46546
112,39.46546,39.0,38.992786
113,38.992786,38.0,38.54333
114,38.54333,38.0,36.927185
115,36.927185,38.0,39.55832
116,39.55832,36.0,36.02391
117,36.02391,33.0,34.970512
118,34.970512,34.0,36.28298
119,36.28298,35.0,35.52403
120,35.52403,35.0,36.654324
121,36.654324,35.0,36.058372
122,36.058372,34.0,36.22743
123,36.22743,34.0,35.6063
124,35.6063,33.0,33.76913
125,33.76913,31.999998,34.051285
126,34.051285,25.0,26.850203
127,26.850203,23.0,27.123354
128,27.123354,22.000002,29.259996
129,29.259996,27.000002,34.185116
130,34.185116,33.0,36.509182
131,36.509182,33.0,34.299786
132,34.299786,36.0,39.970573
133,39.970573,35.0,35.39708
134,35.39708,37.0,37.136303
135,37.136303,36.0,35.27853
136,35.27853,34.0,32.280056
137,32.280056,31.0,32.083317
138,32.083317,30.0,31.775629
139,31.775629,29.0,29.816242
140,29.816242,29.0,29.59689
141,29.59689,23.0,23.19355
142,23.19355,30.0,33.143154
143,33.143154,15.0,13.542967
144,13.542967,11.000001,16.035856
145,16.035856,0.99999994,6.6603947
146,6.6603947,7.0,18.95322
147,18.95322,15.0,21.07432
148,21.07432,13.0,17.571026
149,17.571026,10.0,15.4436
150,15.4436,9.0,16.193047
151,16.193047,7.0,13.110352
152,13.110352,7.0,15.315594
153,15.315594,7.9999995,17.382187
154,17.382187,6.0,12.80373
155,12.80373,7.0,15.344795
156,15.344795,7.0,16.196772
157,16.196772,11.000001,18.29907
158,18.29907,7.9999995,13.550882
159,13.550882,5.0,9.970097
160,9.970097,1.9999999,8.461331
161,8.461331,0.99999994,8.165236
162,8.165236,0.99999994,8.129539
163,8.129539,0.99999994,7.644592
164,7.644592,0.99999994,7.0744996
165,7.0744996,0.99999994,14.186866
166,14.186866,0.99999994,8.630111
167,8.630111,1.9999999,9.183505
168,9.183505,6.0,17.108755
169,17.108755,3.0,10.116373
170,10.116373,11.000001,21.161852
171,21.161852,19.0,26.668625
172,26.668625,25.0,30.313334
173,30.313334,30.0,35.291286
174,35.291286,29.0,32.9155
175,32.9155,30.0,36.083744
176,36.083744,29.0,30.311283
177,30.311283,29.0,34.276127
178,34.276127,31.0,35.47051
179,35.47051,33.0,35.56635
180,35.56635,37.0,39.249355
181,39.249355,35.0,36.726322
182,36.726322,34.0,36.18481
183,36.18481,33.0,35.41569
184,35.41569,31.0,34.73603
185,34.73603,31.0,33.734035
186,33.734035,31.0,36.01341
187,36.01341,31.999998,34.49793
188,34.49793,31.0,34.55274
189,34.55274,31.999998,35.067356
190,35.067356,30.0,33.356472
191,33.356472,29.0,32.199734
192,32.199734,31.0,33.620617
193,33.620617,26.0,28.159721
194,28.159721,23.0,26.52453
195,26.52453,24.0,25.80478
196,25.80478,18.0,20.51828
197,20.51828,9.0,14.506526
198,14.506526,5.0,12.615585
199,12.615585,13.0,21.922813
200,21.922813,13.0,18.139591
201,18.139591,14.0,22.347734
202,22.347734,12.0,17.438934
203,17.438934,15.999999,22.655695
204,22.655695,14.0,16.77417
205,16.77417,11.000001,15.484078
206,15.484078,7.9999995,13.361413
207,13.361413,6.0,11.162453
208,11.162453,1.9999999,7.692691
209,7.692691,0.99999994,10.637287
210,10.637287,3.0,10.780019
211,10.780019,1.9999999,8.775375
212,8.775375,1.9999999,11.838025
213,11.838025,3.9999998,9.560831
214,9.560831,1.9999999,9.240925
215,9.240925,0.99999994,7.575257
216,7.575257,0.99999994,7.9900427
217,7.9900427,0.99999994,9.054706
218,9.054706,0.99999994,8.987036
219,8.987036,0.99999994,8.574581
220,8.574581,0.99999994,15.460474
221,15.460474,14.0,24.507103
222,24.507103,27.000002,33.45085
223,33.45085,26.0,27.494144
224,27.494144,25.0,30.139647
225,30.139647,27.000002,31.68847
226,31.68847,27.000002,31.176422
227,31.176422,31.0,36.10629
228,36.10629,36.0,38.637123
229,38.637123,35.0,36.902317
230,36.902317,34.0,36.724567
231,36.724567,31.999998,34.6892
232,34.6892,31.0,32.593884
233,32.593884,29.0,31.931803
234,31.931803,28.0,31.041666
235,31.041666,23.0,24.892561
236,24.892561,18.0,22.999619
237,22.999619,24.0,29.09578
238,29.09578,29.0,29.713245
239,29.713245,27.000002,28.338976
240,28.338976,25.0,26.901114
241,26.901114,26.0,27.595558
242,27.595558,29.0,29.53424
243,29.53424,28.0,29.197115
244,29.197115,29.0,30.811052
245,30.811052,25.0,25.734577
246,25.734577,20.0,26.055851
247,26.055851,20.0,24.666924
248,24.666924,9.0,13.587773
249,13.587773,7.9999995,15.393889
250,15.393889,7.0,14.588923
251,14.588923,11.000001,20.376297
252,20.376297,13.0,16.829403
253,16.829403,11.000001,16.336716
254,16.336716,13.0,18.176222
255,18.176222,12.0,16.243147
256,16.243147,10.0,13.400212
257,13.400212,11.000001,15.85704
258,15.85704,14.0,16.055119
259,16.055119,15.0,19.15899
260,19.15899,11.000001,15.477543
261,15.477543,5.0,9.610052
262,9.610052,11.000001,20.339981
263,20.339981,14.0,17.31927
264,17.31927,17.0,22.176386
265,22.176386,20.0,25.231016
266,25.231016,20.0,24.270348
267,24.270348,21.0,24.59537
268,24.59537,21.0,24.63428
269,24.63428,22.000002,25.766588
270,25.766588,22.000002,24.649645
271,24.649645,22.000002,25.860022
272,25.860022,21.0,24.72885
273,24.72885,22.000002,25.315107
274,25.315107,25.0,29.490295
275,29.490295,33.0,36.188683
276,36.188683,39.0,39.75418
277,39.75418,41.0,41.63923
278,41.63923,43.0,42.165623
279,42.165623,42.0,40.965614
280,40.965614,41.0,39.499393
281,39.499393,34.0,32.95835
282,32.95835,34.0,34.84834
283,34.84834,31.999998,31.707182
284,31.707182,29.0,30.48219
285,30.48219,30.0,31.635769
286,31.635769,29.0,31.24867
287,31.24867,29.0,30.358921
288,30.358921,29.0,30.171036
289,30.171036,29.0,30.89461
290,30.89461,31.0,32.78583
291,32.78583,35.0,34.558765
292,34.558765,31.999998,30.89977
293,30.89977,22.000002,21.817389
294,21.817389,11.000001,16.06736
295,16.06736,15.999999,23.492521
296,23.492521,17.0,22.096563
297,22.096563,20.0,26.502226
298,26.502226,26.0,31.30635
299,31.30635,31.999998,34.82214
300,34.82214,35.0,36.567562
301,36.567562,38.0,38.018993
302,38.018993,40.0,38.89243
303,38.89243,41.0,40.6437
304,40.6437,39.0,37.43235
305,37.43235,36.0,35.158573
306,35.158573,29.0,29.047636
307,29.047636,27.000002,28.11174
308,28.11174,24.0,25.71965
309,25.71965,29.0,31.401905
310,31.401905,26.0,25.704916
311,25.704916,25.0,26.724821
312,26.724821,20.0,21.044828
313,21.044828,20.0,22.726522
314,22.726522,18.0,20.626347
315,20.626347,15.0,16.935802
316,16.935802,3.0,9.118706
317,9.118706,3.0,13.202582
318,13.202582,1.9999999,8.148136
319,8.148136,1.9999999,10.44409
320,10.44409,3.0,12.59516
321,12.59516,3.9999998,14.444456
322,14.444456,3.0,8.698955
323,8.698955,3.0,14.55623
324,14.55623,3.9999998,10.748619
325,10.748619,3.0,8.0415
326,8.0415,3.0,9.808222
327,9.808222,3.0,15.332598
328,15.332598,0.99999994,6.633432
329,6.633432,0.99999994,9.304607
330,9.304607,10.0,27.145555
331,27.145555,29.0,32.394276
332,32.394276,35.0,34.872257
333,34.872257,33.0,32.797256
334,32.797256,34.0,34.25676
335,34.25676,36.0,35.719948
336,35.719948,29.0,29.848747
337,29.848747,0.99999994,8.385202
338,8.385202,6.0,24.817623
339,24.817623,7.9999995,17.425386
340,17.425386,7.9999995,11.634909
341,11.634909,7.0,17.459665
342,17.459665,11.000001,19.383854
343,19.383854,9.0,14.946995
344,14.946995,15.999999,27.009151
345,27.009151,22.000002,29.948162
346,29.948162,29.0,34.897274
347,34.897274,36.0,41.484497
348,41.484497,41.0,41.035583
349,41.035583,40.0,40.6958
350,40.6958,37.0,36.766293
351,36.766293,37.0,36.230965
352,36.230965,33.0,33.375984
353,33.375984,31.999998,34.789806
354,34.789806,34.0,36.953827
355,36.953827,34.0,35.515537
356,35.515537,34.0,36.36556
357,36.36556,33.0,34.64443
358,34.64443,34.0,35.932934
359,35.932934,31.999998,34.03374
360,34.03374,34.0,36.345318
361,36.345318,31.999998,33.314514
362,33.314514,31.999998,32.921635
363,32.921635,31.0,32.14924
364,32.14924,28.0,29.501106
365,29.501106,25.0,27.57668
366,27.57668,17.0,18.47663
367,18.47663,7.9999995,12.755232
368,12.755232,6.0,14.039395
369,14.039395,7.0,16.925491
370,16.925491,7.0,17.877604
371,17.877604,11.000001,20.74913
372,20.74913,15.0,22.915237
373,22.915237,18.0,23.28424
374,23.28424,21.0,26.7422
375,26.7422,21.0,23.81638
376,23.81638,20.0,22.832733
377,22.832733,11.000001,12.592424
378,12.592424,1.9999999,7.8101244
379,7.8101244,0.99999994,9.903515
380,9.903515,3.9999998,13.323484
381,13.323484,18.0,28.482883
382,28.482883,15.999999,17.439816
383,17.439816,20.0,27.15381
384,27.15381,23.0,27.36156
385,27.36156,31.0,34.37339
386,34.37339,35.0,36.36341
387,36.36341,36.0,36.908375
