,予測値,実測値,予測値_lug
0,16.559978,11.000001,14.768926
1,14.768926,13.0,15.849629
2,15.849629,22.000002,27.599157
3,27.599157,25.0,27.842022
4,27.842022,28.0,31.044733
5,31.044733,27.000002,28.894121
6,28.894121,30.0,33.5215
7,33.5215,31.999998,34.948227
8,34.948227,31.0,34.246822
9,34.246822,35.0,40.320663
10,40.320663,36.0,41.34421
11,41.34421,38.0,43.930458
12,43.930458,39.0,44.027344
13,44.027344,39.0,43.16279
14,43.16279,40.0,43.683437
15,43.683437,39.0,41.56469
16,41.56469,38.0,40.017868
17,40.017868,37.0,39.265266
18,39.265266,36.0,38.344326
19,38.344326,36.0,38.852516
20,38.852516,35.0,38.314827
21,38.314827,34.0,38.073593
22,38.073593,33.0,37.37068
23,37.37068,35.0,39.76441
24,39.76441,35.0,39.254917
25,39.254917,34.0,37.9067
26,37.9067,31.999998,34.446568
27,34.446568,29.0,30.924946
28,30.924946,28.0,29.651226
29,29.651226,29.0,30.71424
30,30.71424,27.000002,28.689173
31,28.689173,23.0,24.93072
32,24.93072,28.0,32.535732
33,32.535732,28.0,33.148697
34,33.148697,30.0,36.602016
35,36.602016,36.0,42.41718
36,42.41718,38.0,42.841324
37,42.841324,40.0,44.29274
38,44.29274,40.0,42.90687
39,42.90687,39.0,41.60518
40,41.60518,39.0,41.111435
41,41.111435,38.0,40.42611
42,40.42611,37.0,39.79353
43,39.79353,36.0,39.175728
44,39.175728,35.0,38.505623
45,38.505623,34.0,38.027702
46,38.027702,31.999998,36.420734
47,36.420734,33.0,37.81836
48,37.81836,33.0,37.131863
49,37.131863,31.0,34.034878
50,34.034878,29.0,31.502102
51,31.502102,28.0,30.142275
52,30.142275,27.000002,28.579514
53,28.579514,26.0,27.55507
54,27.55507,24.0,25.459204
55,25.459204,24.0,26.885647
56,26.885647,22.000002,25.044048
57,25.044048,15.999999,19.380337
58,19.380337,18.0,24.903002
59,24.903002,25.0,31.201212
60,31.201212,33.0,38.042248
61,38.042248,31.0,33.851017
62,33.851017,31.0,33.733444
63,33.733444,26.0,27.039963
64,27.039963,24.0,25.96941
65,25.96941,14.0,14.436477
66,14.436477,20.0,25.200516
67,25.200516,22.000002,24.105886
68,24.105886,22.000002,26.031403
69,26.031403,24.0,26.642338
70,26.642338,15.999999,16.1716
71,16.1716,5.0,6.096849
72,6.096849,3.0,7.027023
73,7.027023,17.0,26.31048
74,26.31048,14.0,14.644885
75,14.644885,9.0,9.312363
76,9.312363,5.0,6.4920416
77,6.4920416,1.9999999,3.4308252
78,3.4308252,0.99999994,3.662902
79,3.662902,1.9999999,4.56067
80,4.56067,5.0,9.786118
81,9.786118,5.0,8.597211
82,8.597211,15.0,26.953321
83,26.953321,27.000002,33.757355
84,33.757355,34.0,40.141327
85,40.141327,36.0,38.5653
86,38.5653,33.0,35.78547
87,35.78547,19.0,18.281275
88,18.281275,3.9999998,5.5688095
89,5.5688095,34.0,37.427418
90,37.427418,39.0,36.32122
91,36.32122,39.0,42.45541
92,42.45541,39.0,39.14295
93,39.14295,38.0,41.43346
94,41.43346,38.0,41.46964
95,41.46964,37.0,41.204277
96,41.204277,37.0,41.01173
97,41.01173,37.0,40.48046
98,40.48046,37.0,39.90362
99,39.90362,39.0,41.427616
100,41.427616,39.0,40.63405
101,40.63405,38.0,39.239582
102,39.239582,37.0,38.27176
103,38.27176,34.0,35.46529
104,35.46529,34.0,36.836697
105,36.836697,36.0,40.36078
106,40.36078,37.0,42.525726
107,42.525726,37.0,42.480057
108,42.480057,37.0,42.233337
109,42.233337,36.0,40.470192
110,40.470192,38.0,41.72484
111,41.72484,39.0,41.94799
112,41.94799,39.0,41.471584
113,41.471584,38.0,40.3401
114,40.3401,38.0,40.67043
115,40.67043,38.0,40.354954
116,40.354954,36.0,38.894764
117,38.894764,33.0,36.19733
118,36.19733,34.0,38.12127
119,38.12127,35.0,39.229527
120,39.229527,35.0,39.228954
121,39.228954,35.0,38.57343
122,38.57343,34.0,36.62284
123,36.62284,34.0,35.958706
124,35.958706,33.0,34.182377
125,34.182377,31.999998,32.86029
126,32.86029,25.0,25.047838
127,25.047838,23.0,24.641298
128,24.641298,22.000002,25.715502
129,25.715502,27.000002,33.144806
130,33.144806,33.0,38.106903
131,38.106903,33.0,37.77244
132,37.77244,36.0,40.508396
133,40.508396,35.0,38.441692
134,38.441692,37.0,39.917706
135,39.917706,36.0,37.820045
136,37.820045,34.0,35.49585
137,35.49585,31.0,32.27944
138,32.27944,30.0,32.02983
139,32.02983,29.0,31.622185
140,31.622185,29.0,31.88251
141,31.88251,23.0,25.175783
142,25.175783,30.0,34.74238
143,34.74238,15.0,14.407669
144,14.407669,11.000001,14.289841
145,14.289841,0.99999994,3.7832637
146,3.7832637,7.0,11.409398
147,11.409398,15.0,19.83427
148,19.83427,13.0,12.763243
149,12.763243,10.0,9.653779
150,9.653779,9.0,10.425032
151,10.425032,7.0,8.472585
152,8.472585,7.0,10.081992
153,10.081992,7.9999995,11.801167
154,11.801167,6.0,9.052974
155,9.052974,7.0,12.586652
156,12.586652,7.0,9.379008
157,9.379008,11.000001,16.324966
158,16.324966,7.9999995,8.491088
159,8.491088,5.0,5.2633357
160,5.2633357,1.9999999,1.7839792
161,1.7839792,0.99999994,3.3345227
162,3.3345227,0.99999994,1.9585929
163,1.9585929,0.99999994,2.287317
164,2.287317,0.99999994,1.5320001
165,1.5320001,0.99999994,1.7580042
166,1.7580042,0.99999994,3.7874842
167,3.7874842,1.9999999,5.8946376
168,5.8946376,6.0,11.109501
169,11.109501,3.0,5.1218452
170,5.1218452,11.000001,19.125853
171,19.125853,19.0,24.68004
172,24.68004,25.0,28.182035
173,28.182035,30.0,31.980247
174,31.980247,29.0,29.85635
175,29.85635,30.0,32.720314
176,32.720314,29.0,31.622776
177,31.622776,29.0,32.72555
178,32.72555,31.0,35.72981
179,35.72981,33.0,37.961433
180,37.961433,37.0,41.569138
181,41.569138,35.0,39.14924
182,39.14924,34.0,37.469746
183,37.469746,33.0,35.166862
184,35.166862,31.0,33.180233
185,33.180233,31.0,33.104572
186,33.104572,31.0,33.879246
187,33.879246,31.999998,35.139004
188,35.139004,31.0,34.350945
189,34.350945,31.999998,36.19255
190,36.19255,30.0,33.65671
191,33.65671,29.0,33.528427
192,33.528427,31.0,35.572315
193,35.572315,26.0,28.284618
194,28.284618,23.0,25.048037
195,25.048037,24.0,24.97741
196,24.97741,18.0,17.72109
197,17.72109,9.0,8.676484
198,8.676484,5.0,5.8851533
199,5.8851533,13.0,19.169106
200,19.169106,13.0,16.361464
201,16.361464,14.0,18.111986
202,18.111986,12.0,15.543455
203,15.543455,15.999999,22.187801
204,22.187801,14.0,16.440025
205,16.440025,11.000001,13.109247
206,13.109247,7.9999995,9.230265
207,9.230265,6.0,7.1812687
208,7.1812687,1.9999999,2.415826
209,2.415826,0.99999994,3.9072714
210,3.9072714,3.0,6.1056514
211,6.1056514,1.9999999,4.182286
212,4.182286,1.9999999,5.882636
213,5.882636,3.9999998,8.743094
214,8.743094,1.9999999,3.904598
215,3.904598,0.99999994,3.7385082
216,3.7385082,0.99999994,3.0942688
217,3.0942688,0.99999994,1.7311323
218,1.7311323,0.99999994,3.0565586
219,3.0565586,0.99999994,1.8736029
220,1.8736029,0.99999994,3.0041394
221,3.0041394,14.0,24.594913
222,24.594913,27.000002,31.940687
223,31.940687,26.0,27.645807
224,27.645807,25.0,28.013514
225,28.013514,27.000002,32.139233
226,32.139233,27.000002,31.97663
227,31.97663,31.0,36.699314
228,36.699314,36.0,40.448643
229,40.448643,35.0,38.376377
230,38.376377,34.0,36.356464
231,36.356464,31.999998,33.2967
232,33.2967,31.0,32.47474
233,32.47474,29.0,30.245993
234,30.245993,28.0,30.009315
235,30.009315,23.0,24.523294
236,24.523294,18.0,20.548754
237,20.548754,24.0,28.426405
238,28.426405,29.0,32.25234
239,32.25234,27.000002,29.463577
240,29.463577,25.0,27.005365
241,27.005365,26.0,28.791864
242,28.791864,29.0,31.49106
243,31.49106,28.0,29.101322
244,29.101322,29.0,30.16202
245,30.16202,25.0,24.800655
246,24.800655,20.0,19.938892
247,19.938892,20.0,21.938425
248,21.938425,9.0,9.405561
249,9.405561,7.9999995,11.772626
250,11.772626,7.0,11.456576
251,11.456576,11.000001,17.133032
252,17.133032,13.0,17.537506
253,17.537506,11.000001,13.727652
254,13.727652,13.0,16.254889
255,16.254889,12.0,13.631263
256,13.631263,10.0,11.942484
257,11.942484,11.000001,13.870388
258,13.870388,14.0,17.909515
259,17.909515,15.0,19.049538
260,19.049538,11.000001,12.961097
261,12.961097,5.0,7.5599217
262,7.5599217,11.000001,17.538479
263,17.538479,14.0,18.611986
264,18.611986,17.0,21.33911
265,21.33911,20.0,22.96127
266,22.96127,20.0,21.559212
267,21.559212,21.0,23.160576
268,23.160576,21.0,22.203917
269,22.203917,22.000002,23.654646
270,23.654646,22.000002,23.543472
271,23.543472,22.000002,24.413948
272,24.413948,21.0,23.992737
273,23.992737,22.000002,26.308556
274,26.308556,25.0,31.245745
275,31.245745,33.0,39.501526
276,39.501526,39.0,44.276703
277,44.276703,41.0,45.545547
278,45.545547,43.0,46.643425
279,46.643425,42.0,44.76108
280,44.76108,41.0,42.960876
281,42.960876,34.0,35.430084
282,35.430084,34.0,35.78412
283,35.78412,31.999998,34.03799
284,34.03799,29.0,31.727125
285,31.727125,30.0,33.21198
286,33.21198,29.0,32.423347
287,32.423347,29.0,32.516304
288,32.516304,29.0,32.327396
289,32.327396,29.0,31.978603
290,31.978603,31.0,33.713818
291,33.713818,35.0,37.152447
292,37.152447,31.999998,32.554623
293,32.554623,22.000002,21.211699
294,21.211699,11.000001,11.169939
295,11.169939,15.999999,20.341307
296,20.341307,17.0,21.19892
297,21.19892,20.0,25.527454
