,予測値,実測値,予測値_lug
0,24.080732,11.000001,18.162645
1,18.162645,13.0,19.426817
2,19.426817,22.000002,27.063086
3,27.063086,25.0,27.451313
4,27.451313,28.0,30.111198
5,30.111198,27.000002,29.796066
6,29.796066,30.0,33.27568
7,33.27568,31.999998,34.819633
8,34.819633,31.0,33.968906
9,33.968906,35.0,38.7028
10,38.7028,36.0,37.652946
11,37.652946,38.0,42.732456
12,42.732456,39.0,40.773125
13,40.773125,39.0,40.83958
14,40.83958,40.0,42.4503
15,42.4503,39.0,41.719864
16,41.719864,38.0,38.721436
17,38.721436,37.0,37.8012
18,37.8012,36.0,38.357365
19,38.357365,36.0,37.305103
20,37.305103,35.0,37.216007
21,37.216007,34.0,35.26918
22,35.26918,33.0,35.51782
23,35.51782,35.0,38.22008
24,38.22008,35.0,36.09914
25,36.09914,34.0,33.642056
26,33.642056,31.999998,33.175835
27,33.175835,29.0,30.042536
28,30.042536,28.0,29.20111
29,29.20111,29.0,33.159214
30,33.159214,27.000002,29.591038
31,29.591038,23.0,27.977419
32,27.977419,28.0,33.375526
33,33.375526,28.0,32.329586
34,32.329586,30.0,33.881313
35,33.881313,36.0,40.644833
36,40.644833,38.0,42.42088
37,42.42088,40.0,44.123917
38,44.123917,40.0,41.98301
39,41.98301,39.0,41.569668
40,41.569668,39.0,41.746063
41,41.746063,38.0,40.494892
42,40.494892,37.0,38.559837
43,38.559837,36.0,39.34789
44,39.34789,35.0,37.382896
45,37.382896,34.0,36.140656
46,36.140656,31.999998,35.023785
47,35.023785,33.0,34.756107
48,34.756107,33.0,35.1105
49,35.1105,31.0,32.26234
50,32.26234,29.0,29.87606
51,29.87606,28.0,30.049892
52,30.049892,27.000002,28.782671
53,28.782671,26.0,29.068707
54,29.068707,24.0,27.245995
55,27.245995,24.0,27.996792
56,27.996792,22.000002,25.412971
57,25.412971,15.999999,20.045567
58,20.045567,18.0,23.791243
59,23.791243,25.0,32.975403
60,32.975403,33.0,35.3572
61,35.3572,31.0,33.79803
62,33.79803,31.0,34.805107
63,34.805107,26.0,27.495634
64,27.495634,24.0,27.320326
65,27.320326,14.0,16.683666
66,16.683666,20.0,28.382793
67,28.382793,22.000002,23.06502
68,23.06502,22.000002,26.404621
69,26.404621,24.0,27.59282
70,27.59282,15.999999,16.470781
71,16.470781,5.0,13.391358
72,13.391358,3.0,11.995365
73,11.995365,17.0,25.277779
74,25.277779,14.0,17.212955
75,17.212955,9.0,10.61193
76,10.61193,5.0,9.332144
77,9.332144,1.9999999,7.461237
78,7.461237,0.99999994,6.585431
79,6.585431,1.9999999,9.892551
80,9.892551,5.0,12.266987
81,12.266987,5.0,10.561645
82,10.561645,15.0,27.302898
83,27.302898,27.000002,33.259743
84,33.259743,34.0,38.929577
85,38.929577,36.0,33.583477
86,33.583477,33.0,31.976677
87,31.976677,19.0,20.23685
88,20.23685,3.9999998,11.388012
89,11.388012,34.0,37.593227
90,37.593227,39.0,39.146957
91,39.146957,39.0,41.32766
92,41.32766,39.0,39.723133
93,39.723133,38.0,39.95008
94,39.95008,38.0,39.8749
95,39.8749,37.0,38.593037
96,38.593037,37.0,38.336475
97,38.336475,37.0,38.992607
98,38.992607,37.0,39.8004
99,39.8004,39.0,40.71847
100,40.71847,39.0,40.194897
101,40.194897,38.0,39.586437
102,39.586437,37.0,38.330643
103,38.330643,34.0,36.242428
104,36.242428,34.0,36.911514
105,36.911514,36.0,39.82588
106,39.82588,37.0,41.05607
107,41.05607,37.0,40.344086
108,40.344086,37.0,40.566517
109,40.566517,36.0,39.142742
110,39.142742,38.0,42.38851
111,42.38851,39.0,43.053577
112,43.053577,39.0,42.739353
113,42.739353,38.0,41.270733
114,41.270733,38.0,39.01424
115,39.01424,38.0,41.840927
116,41.840927,36.0,37.85599
117,37.85599,33.0,36.153522
118,36.153522,34.0,37.60961
119,37.60961,35.0,37.368187
120,37.368187,35.0,38.30643
121,38.30643,35.0,37.590004
122,37.590004,34.0,38.305977
123,38.305977,34.0,37.53193
124,37.53193,33.0,35.425117
125,35.425117,31.999998,35.274303
126,35.274303,25.0,27.986704
127,27.986704,23.0,27.19527
128,27.19527,22.000002,30.143003
129,30.143003,27.000002,36.265953
130,36.265953,33.0,38.225525
131,38.225525,33.0,36.654835
132,36.654835,36.0,42.27342
133,42.27342,35.0,38.261883
134,38.261883,37.0,38.299793
135,38.299793,36.0,37.540924
136,37.540924,34.0,34.017994
137,34.017994,31.0,32.808723
138,32.808723,30.0,33.145004
139,33.145004,29.0,30.546303
140,30.546303,29.0,30.945402
141,30.945402,23.0,24.209776
142,24.209776,30.0,33.377262
143,33.377262,15.0,13.159599
144,13.159599,11.000001,12.059505
145,12.059505,0.99999994,6.694764
146,6.694764,7.0,18.529224
147,18.529224,15.0,22.632246
148,22.632246,13.0,18.659725
149,18.659725,10.0,13.846773
150,13.846773,9.0,13.702809
151,13.702809,7.0,11.676557
152,11.676557,7.0,13.17664
153,13.17664,7.9999995,15.5777855
154,15.5777855,6.0,11.01911
155,11.01911,7.0,13.448486
156,13.448486,7.0,16.64799
157,16.64799,11.000001,18.626072
158,18.626072,7.9999995,12.234216
159,12.234216,5.0,8.065553
160,8.065553,1.9999999,6.996009
161,6.996009,0.99999994,7.303148
162,7.303148,0.99999994,6.661174
163,6.661174,0.99999994,6.3483443
164,6.3483443,0.99999994,5.7903733
165,5.7903733,0.99999994,13.572981
166,13.572981,0.99999994,8.014059
167,8.014059,1.9999999,7.349101
168,7.349101,6.0,13.187794
169,13.187794,3.0,9.686577
170,9.686577,11.000001,19.87333
171,19.87333,19.0,26.218496
172,26.218496,25.0,30.399942
173,30.399942,30.0,36.04815
174,36.04815,29.0,33.84691
175,33.84691,30.0,37.394768
176,37.394768,29.0,32.357468
177,32.357468,29.0,35.59568
178,35.59568,31.0,38.09713
179,38.09713,33.0,38.584805
180,38.584805,37.0,41.540825
181,41.540825,35.0,39.455177
182,39.455177,34.0,38.33971
183,38.33971,33.0,37.131058
184,37.131058,31.0,36.63115
185,36.63115,31.0,34.602837
186,34.602837,31.0,37.342304
187,37.342304,31.999998,36.200718
188,36.200718,31.0,35.730656
189,35.730656,31.999998,37.295124
190,37.295124,30.0,34.996693
191,34.996693,29.0,33.467857
192,33.467857,31.0,35.41277
193,35.41277,26.0,29.038906
194,29.038906,23.0,25.92636
195,25.92636,24.0,26.144396
196,26.144396,18.0,20.868017
197,20.868017,9.0,13.945063
198,13.945063,5.0,11.182812
199,11.182812,13.0,20.985214
200,20.985214,13.0,18.237413
201,18.237413,14.0,19.94783
202,19.94783,12.0,15.895203
203,15.895203,15.999999,20.083239
204,20.083239,14.0,15.36967
205,15.36967,11.000001,13.480762
206,13.480762,7.9999995,12.126706
207,12.126706,6.0,10.393607
208,10.393607,1.9999999,7.100465
209,7.100465,0.99999994,8.349024
210,8.349024,3.0,8.544824
211,8.544824,1.9999999,6.909028
212,6.909028,1.9999999,9.30472
213,9.30472,3.9999998,8.040319
214,8.040319,1.9999999,7.3291497
215,7.3291497,0.99999994,6.597643
216,6.597643,0.99999994,7.6610703
217,7.6610703,0.99999994,7.9036164
218,7.9036164,0.99999994,8.12966
219,8.12966,0.99999994,6.7321415
220,6.7321415,0.99999994,13.26902
221,13.26902,14.0,25.104216
222,25.104216,27.000002,35.357746
223,35.357746,26.0,27.189405
224,27.189405,25.0,29.269258
225,29.269258,27.000002,33.69334
226,33.69334,27.000002,33.17845
227,33.17845,31.0,38.040287
228,38.040287,36.0,41.485016
229,41.485016,35.0,39.72743
230,39.72743,34.0,38.882988
231,38.882988,31.999998,36.3877
232,36.3877,31.0,33.919353
233,33.919353,29.0,32.371613
234,32.371613,28.0,32.267597
235,32.267597,23.0,24.620247
236,24.620247,18.0,22.374153
237,22.374153,24.0,28.873003
238,28.873003,29.0,30.449324
239,30.449324,27.000002,28.87185
240,28.87185,25.0,27.52516
241,27.52516,26.0,27.729946
242,27.729946,29.0,30.46273
243,30.46273,28.0,30.903177
244,30.903177,29.0,32.564396
245,32.564396,25.0,27.102173
246,27.102173,20.0,26.153233
247,26.153233,20.0,25.183508
248,25.183508,9.0,13.117434
249,13.117434,7.9999995,13.248147
250,13.248147,7.0,12.843482
251,12.843482,11.000001,19.327513
252,19.327513,13.0,15.823511
253,15.823511,11.000001,14.770054
254,14.770054,13.0,15.90007
255,15.90007,12.0,14.881142
256,14.881142,10.0,12.478994
257,12.478994,11.000001,14.1020355
258,14.1020355,14.0,15.200787
259,15.200787,15.0,18.31615
260,18.31615,11.000001,14.863485
261,14.863485,5.0,8.187326
262,8.187326,11.000001,17.745075
263,17.745075,14.0,17.470999
264,17.470999,17.0,21.90812
265,21.90812,20.0,24.58745
266,24.58745,20.0,24.518154
267,24.518154,21.0,24.718996
268,24.718996,21.0,24.736704
269,24.736704,22.000002,25.830624
270,25.830624,22.000002,25.227604
271,25.227604,22.000002,26.005005
272,26.005005,21.0,25.40599
273,25.40599,22.000002,25.543863
274,25.543863,25.0,30.764687
275,30.764687,33.0,38.369236
276,38.369236,39.0,44.3963
277,44.3963,41.0,44.93929
278,44.93929,43.0,46.86054
279,46.86054,42.0,44.544407
280,44.544407,41.0,42.72686
281,42.72686,34.0,36.063496
282,36.063496,34.0,36.75931
283,36.75931,31.999998,34.639812
284,34.639812,29.0,32.0774
285,32.0774,30.0,33.563034
286,33.563034,29.0,32.721752
287,32.721752,29.0,31.557192
288,31.557192,29.0,30.817034
289,30.817034,29.0,31.79497
290,31.79497,31.0,33.99522
291,33.99522,35.0,36.593433
292,36.593433,31.999998,32.56784
293,32.56784,22.000002,23.056395
294,23.056395,11.000001,16.60156
295,16.60156,15.999999,22.87273
296,22.87273,17.0,23.096762
297,23.096762,20.0,27.08388
298,27.08388,26.0,33.789394
299,33.789394,31.999998,36.611374
300,36.611374,35.0,38.69432
301,38.69432,38.0,40.941494
302,40.941494,40.0,42.40444
303,42.40444,41.0,43.97994
304,43.97994,39.0,41.04629
305,41.04629,36.0,38.479137
306,38.479137,29.0,32.557808
307,32.557808,27.000002,30.07324
308,30.07324,24.0,27.844063
309,27.844063,29.0,32.61376
310,32.61376,26.0,27.20542
311,27.20542,25.0,25.82822
312,25.82822,20.0,19.944374
313,19.944374,20.0,21.154009
314,21.154009,18.0,20.706444
315,20.706444,15.0,16.879995
316,16.879995,3.0,8.564888
317,8.564888,3.0,11.247272
318,11.247272,1.9999999,7.4899454
319,7.4899454,1.9999999,9.167086
320,9.167086,3.0,10.499024
321,10.499024,3.9999998,12.926461
322,12.926461,3.0,7.300814
323,7.300814,3.0,11.138081
324,11.138081,3.9999998,9.258808
325,9.258808,3.0,6.683774
326,6.683774,3.0,7.8424754
327,7.8424754,3.0,14.997612
328,14.997612,0.99999994,6.870717
329,6.870717,0.99999994,5.9767513
330,5.9767513,10.0,27.1835
331,27.1835,29.0,35.775078
332,35.775078,35.0,34.366028
333,34.366028,33.0,32.802643
334,32.802643,34.0,36.09203
335,36.09203,36.0,38.84941
336,38.84941,29.0,32.522087
337,32.522087,0.99999994,7.153516
338,7.153516,6.0,19.380112
339,19.380112,7.9999995,17.436224
340,17.436224,7.9999995,11.509105
341,11.509105,7.0,15.055028
342,15.055028,11.000001,18.116226
343,18.116226,9.0,13.834005
344,13.834005,15.999999,25.664486
345,25.664486,22.000002,30.874794
346,30.874794,29.0,35.953915
347,35.953915,36.0,46.099594
348,46.099594,41.0,45.08221
349,45.08221,40.0,43.49837
350,43.49837,37.0,39.84575
351,39.84575,37.0,38.218704
352,38.218704,33.0,35.84372
353,35.84372,31.999998,37.052795
354,37.052795,34.0,39.398556
355,39.398556,34.0,37.330086
356,37.330086,34.0,38.385307
357,38.385307,33.0,36.946625
358,36.946625,34.0,37.549057
359,37.549057,31.999998,35.898666
360,35.898666,34.0,38.436172
361,38.436172,31.999998,35.201767
362,35.201767,31.999998,34.16841
363,34.16841,31.0,34.149372
364,34.149372,28.0,30.802275
365,30.802275,25.0,28.18921
366,28.18921,17.0,18.491705
367,18.491705,7.9999995,11.456273
368,11.456273,6.0,11.493893
369,11.493893,7.0,16.057814
370,16.057814,7.0,17.76235
371,17.76235,11.000001,20.10092
372,20.10092,15.0,23.354845
373,23.354845,18.0,22.50404
374,22.50404,21.0,26.072193
375,26.072193,21.0,24.48551
376,24.48551,20.0,22.395174
377,22.395174,11.000001,11.057879
378,11.057879,1.9999999,6.9789476
379,6.9789476,0.99999994,8.60954
380,8.60954,3.9999998,12.562364
381,12.562364,18.0,27.08562
382,27.08562,15.999999,19.07147
383,19.07147,20.0,25.104225
384,25.104225,23.0,27.351036
385,27.351036,31.0,35.288853
386,35.288853,35.0,39.3144
387,39.3144,36.0,40.01593
388,40.01593,37.0,40.082302
389,40.082302,37.0,40.252125
390,40.252125,34.0,38.183018
391,38.183018,30.0,34.04848
392,34.04848,30.0,35.936264
393,35.936264,31.0,38.47161
394,38.47161,33.0,40.04473
395,40.04473,36.0,41.98366
396,41.98366,38.0,42.974895
397,42.974895,34.0,38.753765
398,38.753765,34.0,36.33903
399,36.33903,34.0,36.58533
400,36.58533,29.0,30.96015
401,30.96015,29.0,32.943176
402,32.943176,29.0,32.81961
403,32.81961,31.0,37.502014
404,37.502014,34.0,39.022774
405,39.022774,35.0,38.188675
406,38.188675,34.0,38.13466
407,38.13466,34.0,36.861065
408,36.861065,35.5,38.27609
409,38.27609,37.0,41.173187
410,41.173187,39.0,43.010525
411,43.010525,39.0,41.68207
412,41.68207,36.0,37.764496
413,37.764496,35.0,37.111065
414,37.111065,30.0,33.11808
415,33.11808,27.000002,31.821436
416,31.821436,27.000002,33.39025
417,33.39025,27.000002,35.497128
418,35.497128,33.0,38.025566
419,38.025566,34.0,39.832478
420,39.832478,39.0,43.819195
421,43.819195,40.0,40.136284
422,40.136284,35.0,35.161434
423,35.161434,29.0,30.555042
424,30.555042,22.000002,20.828081
425,20.828081,5.0,9.992674
426,9.992674,3.0,10.3386545
427,10.3386545,0.99999994,7.843789
428,7.843789,7.9999995,26.14988
429,26.14988,23.0,25.297373
430,25.297373,24.0,27.474861
431,27.474861,24.0,26.294817
432,26.294817,23.0,22.95022
433,22.95022,26.0,29.455961
434,29.455961,25.0,27.451426
435,27.451426,25.0,27.24154
436,27.24154,21.0,24.69192
437,24.69192,18.0,20.793423
438,20.793423,15.999999,19.428768
439,19.428768,17.0,23.897837
440,23.897837,18.0,22.604435
441,22.604435,19.0,24.887617
442,24.887617,17.0,19.725002
443,19.725002,15.999999,25.077816
444,25.077816,18.0,26.891565
445,26.891565,31.0,41.17517
446,41.17517,35.0,38.47278
447,38.47278,39.0,41.706783
448,41.706783,34.0,29.877743
449,29.877743,31.0,34.946304
450,34.946304,34.0,34.95111
451,34.95111,35.0,38.07436
452,38.07436,35.0,37.039574
453,37.039574,33.0,36.32057
454,36.32057,38.0,42.616684
455,42.616684,39.0,42.044
456,42.044,39.0,41.585106
457,41.585106,39.0,42.187737
458,42.187737,39.0,42.214607
459,42.214607,38.0,40.675392
460,40.675392,37.0,40.37951
461,40.37951,35.0,38.393936
462,38.393936,31.999998,35.713852
463,35.713852,27.000002,32.104843
464,32.104843,26.0,32.575844
465,32.575844,28.0,35.65567
466,35.65567,30.0,35.978107
