,obs,predict
2019-04-01 00:00:00,43.0,44.56020355
2019-04-01 01:00:00,41.0,43.33433151
2019-04-01 02:00:00,38.0,38.4157753
2019-04-01 03:00:00,33.0,32.5000267
2019-04-01 04:00:00,33.0,28.58181381
2019-04-01 05:00:00,36.0,35.20119095
2019-04-01 06:00:00,43.0,40.53435898
2019-04-01 07:00:00,48.0,46.28208542
2019-04-01 08:00:00,49.0,50.37303543
2019-04-01 09:00:00,49.0,51.48527145
2019-04-01 10:00:00,51.0,51.75366592
2019-04-01 11:00:00,48.0,52.60402298
2019-04-01 12:00:00,46.0,48.12133789
2019-04-01 13:00:00,52.0,44.46833801
2019-04-01 14:00:00,52.0,49.18326187
2019-04-01 15:00:00,49.0,49.63892365
2019-04-01 16:00:00,42.0,44.69128036
2019-04-01 17:00:00,40.0,38.89335632
2019-04-01 18:00:00,46.0,36.62229538
2019-04-01 19:00:00,45.0,40.91054535
2019-04-01 20:00:00,45.0,41.03614426
2019-04-01 21:00:00,44.0,43.38673782
2019-04-01 22:00:00,43.0,42.75128174
2019-04-01 23:00:00,41.0,42.98882675
2019-04-02 00:00:00,41.0,40.55355835
2019-04-02 01:00:00,43.0,41.76463699
2019-04-02 02:00:00,42.0,41.19268799
2019-04-02 03:00:00,42.0,37.92543793
2019-04-02 04:00:00,39.0,38.25329971
2019-04-02 05:00:00,37.0,35.35107422
2019-04-02 06:00:00,40.0,38.43319321
2019-04-02 07:00:00,45.0,43.21867752
2019-04-02 08:00:00,48.0,46.97006607
2019-04-02 09:00:00,49.0,49.93103409
2019-04-02 10:00:00,52.0,50.71038437
2019-04-02 11:00:00,54.0,52.99721527
2019-04-02 12:00:00,54.0,53.83703613
2019-04-02 13:00:00,54.0,54.10216522
2019-04-02 14:00:00,53.0,53.45985794
2019-04-02 15:00:00,52.0,52.32622528
2019-04-02 16:00:00,49.0,50.40116119
2019-04-02 17:00:00,46.0,47.06619263
2019-04-02 18:00:00,45.0,44.47125626
2019-04-02 19:00:00,45.0,41.63762283
2019-04-02 20:00:00,43.0,41.35569
2019-04-02 21:00:00,42.0,39.8323822
2019-04-02 22:00:00,44.0,39.30124664
2019-04-02 23:00:00,43.0,41.46619415
2019-04-03 00:00:00,42.0,41.18053818
2019-04-03 01:00:00,39.0,40.66899872
2019-04-03 02:00:00,30.0,36.74755096
2019-04-03 03:00:00,22.0,23.46969223
2019-04-03 04:00:00,18.0,16.23522568
2019-04-03 05:00:00,13.0,18.40081406
2019-04-03 06:00:00,17.0,20.88151932
2019-04-03 07:00:00,22.0,29.40386391
2019-04-03 08:00:00,34.0,34.6724205
2019-04-03 09:00:00,28.0,41.55127335
2019-04-03 10:00:00,37.5,33.03998947
2019-04-03 11:00:00,47.0,42.58610916
2019-04-03 12:00:00,51.0,49.69473648
2019-04-03 13:00:00,56.0,49.50361633
2019-04-03 14:00:00,58.0,50.35874557
2019-04-03 15:00:00,59.0,51.43199539
2019-04-03 16:00:00,57.0,52.7650032
2019-04-03 17:00:00,52.0,52.70837784
2019-04-03 18:00:00,41.0,47.99492645
2019-04-03 19:00:00,42.0,35.419384
2019-04-03 20:00:00,39.0,28.91213226
2019-04-03 21:00:00,43.0,28.82701302
2019-04-03 22:00:00,27.0,45.2713089
2019-04-03 23:00:00,27.0,24.66098785
2019-04-04 00:00:00,19.0,32.06866074
2019-04-04 01:00:00,2.0,14.48096275
2019-04-04 02:00:00,1.0,3.803225756
2019-04-04 03:00:00,1.0,1.054041624
2019-04-04 04:00:00,1.0,1.141602516
2019-04-04 05:00:00,2.0,2.059582233
2019-04-04 06:00:00,8.0,2.67736578
2019-04-04 07:00:00,18.0,4.473869801
2019-04-04 08:00:00,40.0,13.74761009
2019-04-04 09:00:00,48.0,41.0890274
2019-04-04 10:00:00,56.0,52.4719429
2019-04-04 11:00:00,59.0,56.62785721
2019-04-04 12:00:00,60.0,61.44250107
2019-04-04 13:00:00,60.0,61.34763718
2019-04-04 14:00:00,59.0,57.75819778
2019-04-04 15:00:00,54.0,59.42576981
2019-04-04 16:00:00,48.0,57.01280594
2019-04-04 17:00:00,52.0,49.16218185
2019-04-04 18:00:00,53.0,51.85493088
2019-04-04 19:00:00,51.0,54.71876144
2019-04-04 20:00:00,48.0,54.44959641
2019-04-04 21:00:00,47.0,56.81949234
2019-04-04 22:00:00,49.0,51.7760582
2019-04-04 23:00:00,50.0,49.01302719
2019-04-05 00:00:00,50.0,46.30025864
2019-04-05 01:00:00,64.0,45.83919907
2019-04-05 02:00:00,62.0,58.74610519
2019-04-05 03:00:00,57.0,57.97017288
2019-04-05 04:00:00,50.0,53.56216812
2019-04-05 05:00:00,53.0,48.49923325
2019-04-05 06:00:00,52.0,52.53298569
2019-04-05 07:00:00,54.0,51.75237656
2019-04-05 08:00:00,57.0,55.62644196
2019-04-05 09:00:00,63.0,57.38793182
2019-04-05 10:00:00,58.0,64.09341431
2019-04-05 11:00:00,65.0,58.67302322
2019-04-05 12:00:00,77.0,66.45644379
2019-04-05 13:00:00,80.0,76.53175354
2019-04-05 14:00:00,74.0,76.14909363
2019-04-05 15:00:00,67.0,68.78238678
2019-04-05 16:00:00,53.0,60.31706619
2019-04-05 17:00:00,41.0,47.27852249
2019-04-05 18:00:00,55.0,38.00931931
2019-04-05 19:00:00,47.0,53.85422134
2019-04-05 20:00:00,43.0,45.73202896
2019-04-05 21:00:00,40.0,42.87592697
2019-04-05 22:00:00,38.0,39.79921722
2019-04-05 23:00:00,33.0,37.28199387
2019-04-06 00:00:00,34.0,31.14839935
2019-04-06 01:00:00,33.0,30.43116379
2019-04-06 02:00:00,35.0,27.93785477
2019-04-06 03:00:00,33.0,29.70249939
2019-04-06 04:00:00,36.0,29.17792511
2019-04-06 05:00:00,38.0,33.68515778
2019-04-06 06:00:00,41.0,38.20632553
2019-04-06 07:00:00,43.0,44.47470474
2019-04-06 08:00:00,47.0,48.08989334
2019-04-06 09:00:00,56.0,52.39799118
2019-04-06 10:00:00,62.0,61.200634
2019-04-06 11:00:00,68.0,67.5537262
2019-04-06 12:00:00,72.0,70.02610016
2019-04-06 13:00:00,77.0,72.7294693
2019-04-06 14:00:00,77.0,74.66744995
2019-04-06 15:00:00,68.0,69.52316284
2019-04-06 16:00:00,43.0,59.66727448
2019-04-06 17:00:00,32.0,36.84576797
2019-04-06 18:00:00,43.0,31.40376472
2019-04-06 19:00:00,25.0,42.79259109
2019-04-06 20:00:00,19.0,24.35147476
2019-04-06 21:00:00,39.0,19.27835464
2019-04-06 22:00:00,49.0,38.3389473
2019-04-06 23:00:00,45.0,47.4604187
2019-04-07 00:00:00,47.0,44.0949707
2019-04-07 01:00:00,53.0,44.79664993
2019-04-07 02:00:00,53.0,50.64217758
2019-04-07 03:00:00,51.0,50.07960892
2019-04-07 04:00:00,48.0,47.81404495
2019-04-07 05:00:00,42.0,44.49874496
2019-04-07 06:00:00,41.0,40.17215347
2019-04-07 07:00:00,41.0,40.87655258
2019-04-07 08:00:00,42.0,41.19195175
2019-04-07 09:00:00,43.0,43.74110031
2019-04-07 10:00:00,44.0,45.7661171
2019-04-07 11:00:00,48.0,48.07938004
2019-04-07 12:00:00,50.0,50.93102646
2019-04-07 13:00:00,45.0,50.81345749
2019-04-07 14:00:00,38.0,43.19712067
2019-04-07 15:00:00,42.0,35.08873367
2019-04-07 16:00:00,46.0,38.91926956
2019-04-07 17:00:00,39.0,42.21308517
