,obs,predict
2019-04-01 00:00:00,38.0,43.05089951
2019-04-01 01:00:00,33.0,34.89538956
2019-04-01 02:00:00,33.0,27.29394913
2019-04-01 03:00:00,36.0,26.20373344
2019-04-01 04:00:00,43.0,30.76161957
2019-04-01 05:00:00,48.0,37.15739441
2019-04-01 06:00:00,49.0,45.56315613
2019-04-01 07:00:00,49.0,46.81044388
2019-04-01 08:00:00,51.0,48.34797287
2019-04-01 09:00:00,48.0,49.53661728
2019-04-01 10:00:00,46.0,48.91418839
2019-04-01 11:00:00,52.0,48.52895355
2019-04-01 12:00:00,52.0,44.44981766
2019-04-01 13:00:00,49.0,38.1979599
2019-04-01 14:00:00,42.0,35.35061264
2019-04-01 15:00:00,40.0,35.61669159
2019-04-01 16:00:00,46.0,32.55572128
2019-04-01 17:00:00,45.0,30.33424377
2019-04-01 18:00:00,45.0,32.71934891
2019-04-01 19:00:00,44.0,38.07991409
2019-04-01 20:00:00,43.0,39.15232468
2019-04-01 21:00:00,41.0,39.4397583
2019-04-01 22:00:00,41.0,40.96673965
2019-04-01 23:00:00,43.0,40.56017685
2019-04-02 00:00:00,42.0,41.89506149
2019-04-02 01:00:00,42.0,37.94678116
2019-04-02 02:00:00,39.0,29.46838379
2019-04-02 03:00:00,37.0,26.72717476
2019-04-02 04:00:00,40.0,28.55151367
2019-04-02 05:00:00,45.0,32.83555222
2019-04-02 06:00:00,48.0,40.30816269
2019-04-02 07:00:00,49.0,44.48206329
2019-04-02 08:00:00,52.0,46.45822906
2019-04-02 09:00:00,54.0,48.46795273
2019-04-02 10:00:00,54.0,48.34508514
2019-04-02 11:00:00,54.0,49.08695602
2019-04-02 12:00:00,53.0,47.82350922
2019-04-02 13:00:00,52.0,49.11186981
2019-04-02 14:00:00,49.0,46.81637192
2019-04-02 15:00:00,46.0,44.50994873
2019-04-02 16:00:00,45.0,43.51030731
2019-04-02 17:00:00,45.0,42.03762436
2019-04-02 18:00:00,43.0,38.91621017
2019-04-02 19:00:00,42.0,35.81926346
2019-04-02 20:00:00,44.0,31.49417877
2019-04-02 21:00:00,43.0,28.35870934
2019-04-02 22:00:00,42.0,28.44846535
2019-04-02 23:00:00,39.0,30.52583122
2019-04-03 00:00:00,30.0,27.19059372
2019-04-03 01:00:00,22.0,16.90727615
2019-04-03 02:00:00,18.0,11.99899483
2019-04-03 03:00:00,13.0,6.285775661
