,obs,predict
2019-04-01 00:00:00,39,39.98727417
2019-04-01 01:00:00,30,36.17064285
2019-04-01 02:00:00,25,31.90668297
2019-04-01 03:00:00,26,28.47784233
2019-04-01 04:00:00,36,37.43922806
2019-04-01 05:00:00,39,41.30911255
2019-04-01 06:00:00,42,46.15652084
2019-04-01 07:00:00,46,46.92644119
2019-04-01 08:00:00,51,47.82711792
2019-04-01 09:00:00,49,49.8582077
2019-04-01 10:00:00,51,51.41988754
2019-04-01 11:00:00,48,52.86805344
2019-04-01 12:00:00,49,49.95177841
2019-04-01 13:00:00,49,47.30380249
2019-04-01 14:00:00,50,45.50777054
2019-04-01 15:00:00,48,45.37304306
2019-04-01 16:00:00,46,42.66280746
2019-04-01 17:00:00,45,41.28362274
2019-04-01 18:00:00,43,40.00012207
2019-04-01 19:00:00,40,39.31331635
2019-04-01 20:00:00,37,39.52554703
2019-04-01 21:00:00,37,37.53662872
2019-04-01 22:00:00,35,36.81187439
2019-04-01 23:00:00,35,36.97386551
2019-04-02 00:00:00,28,34.37181854
2019-04-02 01:00:00,29,32.04896927
2019-04-02 02:00:00,25,28.75384331
2019-04-02 03:00:00,29,22.12652016
2019-04-02 04:00:00,36,25.85695457
2019-04-02 05:00:00,43,33.11785507
2019-04-02 06:00:00,51,42.38334274
2019-04-02 07:00:00,51,46.56136322
2019-04-02 08:00:00,52,48.07099915
2019-04-02 09:00:00,53,49.9031868
2019-04-02 10:00:00,54,48.61691284
2019-04-02 11:00:00,54,51.37622452
2019-04-02 12:00:00,54,52.80911636
2019-04-02 13:00:00,53,51.62760925
2019-04-02 14:00:00,52,48.9054718
2019-04-02 15:00:00,48,47.35503006
2019-04-02 16:00:00,46,47.27833557
2019-04-02 17:00:00,46,45.1454277
2019-04-02 18:00:00,44,41.05648422
2019-04-02 19:00:00,41,37.73558807
2019-04-02 20:00:00,33,33.18721771
2019-04-02 21:00:00,24,35.63398743
2019-04-02 22:00:00,14,33.77939606
2019-04-02 23:00:00,11,25.63359642
2019-04-03 00:00:00,11,18.05129623
2019-04-03 01:00:00,17,20.56043816
2019-04-03 02:00:00,13,19.56536293
2019-04-03 03:00:00,13,18.94849586
2019-04-03 04:00:00,23,26.52519035
2019-04-03 05:00:00,45,36.05382538
2019-04-03 06:00:00,50,43.87154007
2019-04-03 07:00:00,51,48.96783829
2019-04-03 08:00:00,51,56.3119812
2019-04-03 09:00:00,55,58.68003464
2019-04-03 10:00:00,58,62.00840759
2019-04-03 11:00:00,58,63.8791008
2019-04-03 12:00:00,59,60.59313202
2019-04-03 13:00:00,61,58.37548828
2019-04-03 14:00:00,61,54.55657959
2019-04-03 15:00:00,56,51.3900795
2019-04-03 16:00:00,49,50.18415833
2019-04-03 17:00:00,39,46.91810226
2019-04-03 18:00:00,28,33.52562332
2019-04-03 19:00:00,38,22.10954666
2019-04-03 20:00:00,37,30.13614845
2019-04-03 21:00:00,29,17.93299675
2019-04-03 22:00:00,21,20.23264313
2019-04-03 23:00:00,21,18.21029282
2019-04-04 00:00:00,22,20.13358879
2019-04-04 01:00:00,22,25.94981003
2019-04-04 02:00:00,21,9.822032928
2019-04-04 03:00:00,20,11.48421478
2019-04-04 04:00:00,11,19.81097031
2019-04-04 05:00:00,16,28.98093605
2019-04-04 06:00:00,29,43.92362976
2019-04-04 07:00:00,44,47.33092117
2019-04-04 08:00:00,56,42.60777664
2019-04-04 09:00:00,61,51.8314209
2019-04-04 10:00:00,62,61.10659027
2019-04-04 11:00:00,62,59.58175278
2019-04-04 12:00:00,63,65.23264313
2019-04-04 13:00:00,62,59.01723099
2019-04-04 14:00:00,60,54.96403503
2019-04-04 15:00:00,58,54.59024811
2019-04-04 16:00:00,56,51.94675446
2019-04-04 17:00:00,56,59.17758942
2019-04-04 18:00:00,56,64.40435791
2019-04-04 19:00:00,53,58.13960266
2019-04-04 20:00:00,50,47.04717636
2019-04-04 21:00:00,43,36.39030075
2019-04-04 22:00:00,37,28.6314621
2019-04-04 23:00:00,55,27.30218315
2019-04-05 00:00:00,61,20.7098217
2019-04-05 01:00:00,57,19.96207047
2019-04-05 02:00:00,48,38.82710648
2019-04-05 03:00:00,51,45.54906082
2019-04-05 04:00:00,52,42.62148666
2019-04-05 05:00:00,59,43.83975601
2019-04-05 06:00:00,60,54.25486374
2019-04-05 07:00:00,66,58.71866226
2019-04-05 08:00:00,69,64.54669952
2019-04-05 09:00:00,75,66.22245026
2019-04-05 10:00:00,80,67.94693756
2019-04-05 11:00:00,80,66.61837006
2019-04-05 12:00:00,83,68.7773056
2019-04-05 13:00:00,83,71.21077728
2019-04-05 14:00:00,79,75.78825378
2019-04-05 15:00:00,70,72.3918457
2019-04-05 16:00:00,67,72.9214859
2019-04-05 17:00:00,68,66.42089844
2019-04-05 18:00:00,45,58.24601746
2019-04-05 19:00:00,48,59.25904083
2019-04-05 20:00:00,46,55.23267365
2019-04-05 21:00:00,44,30.83938408
2019-04-05 22:00:00,41,40.36602402
2019-04-05 23:00:00,38,35.5871048
2019-04-06 00:00:00,33,28.58627892
2019-04-06 01:00:00,33,29.93097496
2019-04-06 02:00:00,36,28.71110153
2019-04-06 03:00:00,24,27.58420181
2019-04-06 04:00:00,29,29.96953773
2019-04-06 05:00:00,41,37.73866272
