,predict,obs
2019-04-01 00:00:00,36.76063156,29.0
2019-04-01 01:00:00,28.54168701,23.0
2019-04-01 02:00:00,19.64564705,14.0
2019-04-01 03:00:00,16.62932777,28.0
2019-04-01 04:00:00,20.49463654,39.0
2019-04-01 05:00:00,27.64910698,45.0
2019-04-01 06:00:00,43.92245483,47.0
2019-04-01 07:00:00,53.90005493,48.0
2019-04-01 08:00:00,54.63473892,49.0
2019-04-01 09:00:00,55.29475403,51.0
2019-04-01 10:00:00,54.3747406,50.0
2019-04-01 11:00:00,50.31091309,49.0
2019-04-01 12:00:00,48.8567276,49.0
2019-04-01 13:00:00,37.71681976,49.0
2019-04-01 14:00:00,27.79277802,47.0
2019-04-01 15:00:00,24.51996231,45.0
2019-04-01 16:00:00,32.69092178,44.0
2019-04-01 17:00:00,40.24105072,41.0
2019-04-01 18:00:00,48.86625671,41.0
2019-04-01 19:00:00,50.98102188,41.0
2019-04-01 20:00:00,52.17875671,39.0
2019-04-01 21:00:00,51.63924789,39.0
2019-04-01 22:00:00,51.62728119,39.0
2019-04-01 23:00:00,45.56324387,38.0
2019-04-02 00:00:00,38.37138748,33.0
2019-04-02 01:00:00,31.03051376,29.0
2019-04-02 02:00:00,26.35395813,21.0
2019-04-02 03:00:00,16.93549347,21.0
2019-04-02 04:00:00,20.99827385,34.0
2019-04-02 05:00:00,25.07666779,44.0
2019-04-02 06:00:00,37.54826736,47.0
2019-04-02 07:00:00,48.65209961,48.0
2019-04-02 08:00:00,52.91841507,49.0
2019-04-02 09:00:00,52.98660278,49.0
2019-04-02 10:00:00,52.80431747,50.0
2019-04-02 11:00:00,47.30661392,50.0
2019-04-02 12:00:00,50.15301895,50.0
2019-04-02 13:00:00,48.10881042,50.0
2019-04-02 14:00:00,42.99189758,48.0
2019-04-02 15:00:00,39.88655853,47.0
2019-04-02 16:00:00,43.07784653,47.0
2019-04-02 17:00:00,46.92375946,45.0
2019-04-02 18:00:00,49.06808472,39.0
2019-04-02 19:00:00,49.78792191,32.0
2019-04-02 20:00:00,48.21484756,34.0
2019-04-02 21:00:00,42.93792725,29.0
2019-04-02 22:00:00,43.32566833,24.0
2019-04-02 23:00:00,41.903862,16.0
2019-04-03 00:00:00,40.92576218,23.0
2019-04-03 01:00:00,35.83778763,19.0
2019-04-03 02:00:00,17.37352562,12.0
2019-04-03 03:00:00,5.600924492,16.0
2019-04-03 04:00:00,4.64398098,27.0
