,obs,predict,Unnamed: 3,Unnamed: 4
2019-04-01 00:00:00,40,40.68719864,,
2019-04-01 01:00:00,31,38.38815689,,
2019-04-01 02:00:00,22,28.08762169,,
2019-04-01 03:00:00,28,16.40609741,,
2019-04-01 04:00:00,28,24.84026909,,
2019-04-01 05:00:00,28,25.41235733,,
2019-04-01 06:00:00,39,31.62451363,,
2019-04-01 07:00:00,44,42.80820084,,
2019-04-01 08:00:00,46,46.33277512,,
2019-04-01 09:00:00,48,48.22311783,,
2019-04-01 10:00:00,50,49.8965416,,
2019-04-01 11:00:00,52,52.52366638,,
2019-04-01 12:00:00,51,54.4052887,,
2019-04-01 13:00:00,49,52.42783356,,
2019-04-01 14:00:00,47,49.26824188,,
2019-04-01 15:00:00,48,45.61488724,,
2019-04-01 16:00:00,49,45.36541367,,
2019-04-01 17:00:00,46,44.01018906,,
2019-04-01 18:00:00,45,42.0684967,,
2019-04-01 19:00:00,47,42.47624207,,
2019-04-01 20:00:00,43,44.58987045,,
2019-04-01 21:00:00,40,40.16064072,,
2019-04-01 22:00:00,41,37.45585632,,
2019-04-01 23:00:00,36,38.71607208,,
2019-04-02 00:00:00,40,35.83722305,,
2019-04-02 01:00:00,37,40.29889297,,
2019-04-02 02:00:00,32,35.12986374,,
2019-04-02 03:00:00,14,27.41055107,,
2019-04-02 04:00:00,13,9.292410851,,
2019-04-02 05:00:00,18,10.68630219,,
2019-04-02 06:00:00,32,26.24655724,,
2019-04-02 07:00:00,45,39.52848816,,
2019-04-02 08:00:00,48,47.02965164,,
2019-04-02 09:00:00,50,49.00659943,,
2019-04-02 10:00:00,51,50.86349106,,
2019-04-02 11:00:00,52,51.0921402,,
2019-04-02 12:00:00,53,51.35689926,,
2019-04-02 13:00:00,53,51.0847435,,
2019-04-02 14:00:00,53,51.41385651,,
2019-04-02 15:00:00,51,51.37549591,,
2019-04-02 16:00:00,49,48.05527496,,
2019-04-02 17:00:00,45,44.54898453,,
