,obs,predict,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2019-04-01 00:00:00,22,30.78944206,,,,,
2019-04-01 01:00:00,28,24.4736557,,,,,
2019-04-01 02:00:00,28,18.81262779,,,,,
2019-04-01 03:00:00,28,23.05426407,,,,,
2019-04-01 04:00:00,39,36.4008522,,,,,
2019-04-01 05:00:00,44,36.62890625,,,,,
2019-04-01 06:00:00,46,42.50712585,,,,,
2019-04-01 07:00:00,48,47.37546158,,,,,
2019-04-01 08:00:00,50,49.7142334,,,,,
2019-04-01 09:00:00,52,50.60317993,,,,,
2019-04-01 10:00:00,51,52.8163681,,,,,
2019-04-01 11:00:00,49,54.12725449,,,,,
2019-04-01 12:00:00,47,54.07640076,,,,,
2019-04-01 13:00:00,48,51.30543518,,,,,
2019-04-01 14:00:00,49,44.39488983,,,,,
2019-04-01 15:00:00,46,33.59864807,,,,,
2019-04-01 16:00:00,45,29.25029945,,,,,
2019-04-01 17:00:00,47,29.93287086,,,,,
2019-04-01 18:00:00,43,32.76084137,,,,,
2019-04-01 19:00:00,40,31.38499069,,,,,
2019-04-01 20:00:00,41,31.1917057,,,,,
2019-04-01 21:00:00,36,27.67437553,,,,,
2019-04-01 22:00:00,40,30.51613045,,,,,
2019-04-01 23:00:00,37,33.37219238,,,,,
2019-04-02 00:00:00,32,31.03961754,,,,,
2019-04-02 01:00:00,14,30.30559921,,,,,
2019-04-02 02:00:00,13,21.1432209,,,,,
2019-04-02 03:00:00,18,16.46300316,,,,,
2019-04-02 04:00:00,32,19.03310966,,,,,
2019-04-02 05:00:00,45,28.22665787,,,,,
2019-04-02 06:00:00,48,43.65918732,,,,,
2019-04-02 07:00:00,50,48.8950882,,,,,
2019-04-02 08:00:00,51,51.06282806,,,,,
2019-04-02 09:00:00,52,52.44024277,,,,,
2019-04-02 10:00:00,53,51.55611801,,,,,
2019-04-02 11:00:00,53,48.87493896,,,,,
2019-04-02 12:00:00,53,45.92703247,,,,,
2019-04-02 13:00:00,51,41.77358246,,,,,
2019-04-02 14:00:00,49,40.99350739,,,,,
2019-04-02 15:00:00,45,38.93710327,,,,,
2019-04-02 16:00:00,44,37.35276031,,,,,
2019-04-02 17:00:00,39,32.6837616,,,,,
2019-04-02 18:00:00,34,27.1318531,,,,,
2019-04-02 19:00:00,37,25.13209152,,,,,
2019-04-02 20:00:00,35,19.04179192,,,,,
2019-04-02 21:00:00,31,15.4077177,,,,,
2019-04-02 22:00:00,27,16.57895279,,,,,
2019-04-02 23:00:00,14,18.70380402,,,,,
2019-04-03 00:00:00,7,20.75894356,,,,,
2019-04-03 01:00:00,5,11.81054974,,,,,
2019-04-03 02:00:00,5,4.033490181,,,,,
2019-04-03 03:00:00,16,6.989621639,,,,,
2019-04-03 04:00:00,26,14.76470947,,,,,
2019-04-03 05:00:00,27,24.66106415,,,,,
2019-04-03 06:00:00,39,43.08519745,,,,,
2019-04-03 07:00:00,51,48.90286255,,,,,
2019-04-03 08:00:00,53,51.09243011,,,,,
2019-04-03 09:00:00,55,53.48197174,,,,,
2019-04-03 10:00:00,58,58.96889496,,,,,
2019-04-03 11:00:00,62,57.01099014,,,,,
2019-04-03 12:00:00,62,58.97655487,,,,,
2019-04-03 13:00:00,62,55.95628738,,,,,
2019-04-03 14:00:00,62,51.8530426,,,,,
2019-04-03 15:00:00,60,49.81318283,,,,,
2019-04-03 16:00:00,52,45.87564087,,,,,
2019-04-03 17:00:00,43,47.04457474,,,,,
2019-04-03 18:00:00,30,46.78955841,,,,,
2019-04-03 19:00:00,28,39.06142426,,,,,
2019-04-03 20:00:00,21,24.66286469,,,,,
2019-04-03 21:00:00,17,18.1992054,,,,,
2019-04-03 22:00:00,13,16.81591415,,,,,
2019-04-03 23:00:00,10,18.1462841,,,,,
2019-04-04 00:00:00,12,14.33508587,,,,,
2019-04-04 01:00:00,13,9.670445442,,,,,
2019-04-04 02:00:00,4,6.598212719,,,,,
2019-04-04 03:00:00,5,7.753869057,,,,,
2019-04-04 04:00:00,15,15.73772526,,,,,
2019-04-04 05:00:00,24,24.52039719,,,,,
2019-04-04 06:00:00,29,33.11319733,,,,,
2019-04-04 07:00:00,35,50.15719604,,,,,
2019-04-04 08:00:00,50,54.49990082,,,,,
2019-04-04 09:00:00,62,53.65753174,,,,,
2019-04-04 10:00:00,64,53.44250488,,,,,
2019-04-04 11:00:00,63,64.45030212,,,,,
2019-04-04 12:00:00,64,64.50183105,,,,,
2019-04-04 13:00:00,63,62.9221077,,,,,
2019-04-04 14:00:00,63,48.87634659,,,,,
2019-04-04 15:00:00,59,49.06103516,,,,,
2019-04-04 16:00:00,58,55.83388901,,,,,
2019-04-04 17:00:00,55,62.86060715,,,,,
2019-04-04 18:00:00,53,61.37835312,,,,,
2019-04-04 19:00:00,53,55.15249634,,,,,
2019-04-04 20:00:00,45,47.84341431,,,,,
2019-04-04 21:00:00,42,42.42758179,,,,,
2019-04-04 22:00:00,40,41.66151428,,,,,
2019-04-04 23:00:00,60,31.26797676,,,,,
2019-04-05 00:00:00,56,23.53199196,,,,,
2019-04-05 01:00:00,53,16.28245735,,,,,
2019-04-05 02:00:00,52,43.83341217,,,,,
2019-04-05 03:00:00,51,38.54621124,,,,,
2019-04-05 04:00:00,52,41.81787109,,,,,
2019-04-05 05:00:00,54,46.83886719,,,,,
2019-04-05 06:00:00,58,50.16101837,,,,,
2019-04-05 07:00:00,61,52.94081497,,,,,
2019-04-05 08:00:00,65,54.6690712,,,,,
2019-04-05 09:00:00,69,59.46801758,,,,,
2019-04-05 10:00:00,73,61.96853638,,,,,
2019-04-05 11:00:00,74,59.82050323,,,,,
2019-04-05 12:00:00,68,63.41322708,,,,,
2019-04-05 13:00:00,76,65.06561279,,,,,
2019-04-05 14:00:00,81,64.39141846,,,,,
2019-04-05 15:00:00,52,57.5586853,,,,,
2019-04-05 16:00:00,44,63.02056503,,,,,
2019-04-05 17:00:00,47,61.97790527,,,,,
2019-04-05 18:00:00,44,37.55840302,,,,,
2019-04-05 19:00:00,44,33.03289032,,,,,
2019-04-05 20:00:00,43,37.41181946,,,,,
2019-04-05 21:00:00,39,32.40003204,,,,,
2019-04-05 22:00:00,34,30.97973633,,,,,
2019-04-05 23:00:00,32,31.2051754,,,,,
2019-04-06 00:00:00,27,29.09485817,,,,,
2019-04-06 01:00:00,26,25.78070259,,,,,
2019-04-06 02:00:00,20,22.77851868,,,,,
2019-04-06 03:00:00,21,22.63429832,,,,,
2019-04-06 04:00:00,31,25.99367714,,,,,
2019-04-06 05:00:00,44,32.24891663,,,,,
2019-04-06 06:00:00,48,40.34460449,,,,,
2019-04-06 07:00:00,55,51.43780518,,,,,
2019-04-06 08:00:00,61,57.81113434,,,,,
2019-04-06 09:00:00,68,59.29573441,,,,,
2019-04-06 10:00:00,72,62.40563583,,,,,
2019-04-06 11:00:00,72,67.03147125,,,,,
2019-04-06 12:00:00,73,69.81874084,,,,,
2019-04-06 13:00:00,73,65.76596069,,,,,
2019-04-06 14:00:00,73,60.96998596,,,,,
2019-04-06 15:00:00,61,61.34450531,,,,,
2019-04-06 16:00:00,53,57.63592911,,,,,
2019-04-06 17:00:00,51,52.65168762,,,,,
2019-04-06 18:00:00,51,40.13630295,,,,,
2019-04-06 19:00:00,53,30.49377251,,,,,
2019-04-06 20:00:00,50,33.00105667,,,,,
2019-04-06 21:00:00,52,38.97922516,,,,,
2019-04-06 22:00:00,47,44.59063339,,,,,
2019-04-06 23:00:00,43,42.8717041,,,,,
2019-04-07 00:00:00,44,44.47317505,,,,,
2019-04-07 01:00:00,47,35.70024109,,,,,
2019-04-07 02:00:00,44,23.81643677,,,,,
2019-04-07 03:00:00,41,22.65544701,,,,,
2019-04-07 04:00:00,40,30.88765907,,,,,
2019-04-07 05:00:00,42,36.02757645,,,,,
2019-04-07 06:00:00,40,37.34135437,,,,,
2019-04-07 07:00:00,43,38.38474655,,,,,
2019-04-07 08:00:00,43,40.67277908,,,,,
2019-04-07 09:00:00,46,40.29603577,,,,,
2019-04-07 10:00:00,47,43.76605988,,,,,
2019-04-07 11:00:00,48,45.49052429,,,,,
2019-04-07 12:00:00,42,48.13368225,,,,,
2019-04-07 13:00:00,39,48.35939026,,,,,
2019-04-07 14:00:00,35,43.01417542,,,,,
2019-04-07 15:00:00,34,35.06763458,,,,,
2019-04-07 16:00:00,34,32.31909561,,,,,
2019-04-07 17:00:00,33,33.84133911,,,,,
2019-04-07 18:00:00,29,32.61545563,,,,,
2019-04-07 19:00:00,25,33.21829224,,,,,
2019-04-07 20:00:00,20,32.10814667,,,,,
2019-04-07 21:00:00,27,29.23030853,,,,,
2019-04-07 22:00:00,24,26.86797523,,,,,
2019-04-07 23:00:00,34,23.97822762,,,,,
2019-04-08 00:00:00,38,24.84746742,,,,,
2019-04-08 01:00:00,36,22.76407051,,,,,
2019-04-08 02:00:00,37,33.05940247,,,,,
2019-04-08 03:00:00,35,34.41491318,,,,,
2019-04-08 04:00:00,38,32.26924515,,,,,
2019-04-08 05:00:00,44,33.71920013,,,,,
2019-04-08 06:00:00,47,35.91699219,,,,,
2019-04-08 07:00:00,49,42.60037613,,,,,
2019-04-08 08:00:00,51,48.10905457,,,,,
2019-04-08 09:00:00,51,49.79373932,,,,,
2019-04-08 10:00:00,49,50.7606163,,,,,
2019-04-08 11:00:00,49,51.12633514,,,,,
2019-04-08 12:00:00,48,48.34531403,,,,,
2019-04-08 13:00:00,49,44.95778656,,,,,
2019-04-08 14:00:00,46,46.61785126,,,,,
2019-04-08 15:00:00,44,45.80144119,,,,,
2019-04-08 16:00:00,41,47.40518951,,,,,
2019-04-08 17:00:00,35,45.32952118,,,,,
2019-04-08 18:00:00,37,44.59631348,,,,,
2019-04-08 19:00:00,29,39.66544342,,,,,
2019-04-08 20:00:00,23,31.56168175,,,,,
2019-04-08 21:00:00,26,30.43406105,,,,,
2019-04-08 22:00:00,22,20.19658852,,,,,
2019-04-08 23:00:00,20,16.89262581,,,,,
2019-04-09 00:00:00,5,16.16210175,,,,,
2019-04-09 01:00:00,27,11.8456831,,,,,
2019-04-09 02:00:00,27,10.28423405,,,,,
2019-04-09 03:00:00,12,12.43496704,,,,,
2019-04-09 04:00:00,17,34.57946014,,,,,
2019-04-09 05:00:00,24,32.42729187,,,,,
