,obs,predict,Unnamed: 3,Unnamed: 4
2019-04-01 00:00:00,43.0,46.77626038,,
2019-04-01 01:00:00,41.0,46.76199341,,
2019-04-01 02:00:00,40.0,47.87155151,,
2019-04-01 03:00:00,42.0,47.92247009,,
2019-04-01 04:00:00,44.0,47.70434189,,
2019-04-01 05:00:00,45.0,48.53180695,,
2019-04-01 06:00:00,47.0,51.86678314,,
2019-04-01 07:00:00,48.0,55.15333557,,
2019-04-01 08:00:00,48.0,57.39733887,,
2019-04-01 09:00:00,49.0,59.43693542,,
2019-04-01 10:00:00,50.0,60.57549286,,
2019-04-01 11:00:00,49.0,60.82142639,,
2019-04-01 12:00:00,49.0,59.90956116,,
2019-04-01 13:00:00,50.0,57.32555389,,
2019-04-01 14:00:00,50.0,54.94009781,,
2019-04-01 15:00:00,48.0,55.01495361,,
2019-04-01 16:00:00,47.0,51.6272583,,
2019-04-01 17:00:00,46.0,48.23727036,,
2019-04-01 18:00:00,44.0,47.44315338,,
2019-04-01 19:00:00,44.0,45.06333542,,
2019-04-01 20:00:00,46.0,46.90460968,,
2019-04-01 21:00:00,47.0,48.94078445,,
2019-04-01 22:00:00,48.0,48.82100677,,
2019-04-01 23:00:00,47.0,49.7560463,,
2019-04-02 00:00:00,47.0,49.94213104,,
2019-04-02 01:00:00,46.0,49.68170166,,
2019-04-02 02:00:00,46.0,50.30410004,,
2019-04-02 03:00:00,47.0,49.85731506,,
2019-04-02 04:00:00,47.0,49.01110077,,
2019-04-02 05:00:00,48.0,48.6328392,,
2019-04-02 06:00:00,47.0,49.60546875,,
2019-04-02 07:00:00,47.0,51.38207245,,
2019-04-02 08:00:00,48.0,53.5308609,,
2019-04-02 09:00:00,48.0,57.37950897,,
2019-04-02 10:00:00,49.0,59.66906738,,
2019-04-02 11:00:00,49.0,58.20409775,,
2019-04-02 12:00:00,50.0,57.16371155,,
2019-04-02 13:00:00,49.0,56.53832245,,
2019-04-02 14:00:00,49.0,56.21094513,,
2019-04-02 15:00:00,49.0,55.59720612,,
2019-04-02 16:00:00,47.0,55.44219589,,
2019-04-02 17:00:00,45.0,54.66432953,,
2019-04-02 18:00:00,46.0,54.02397156,,
2019-04-02 19:00:00,48.0,52.36627197,,
2019-04-02 20:00:00,48.0,53.16682816,,
2019-04-02 21:00:00,47.0,53.57462311,,
2019-04-02 22:00:00,48.0,52.48951721,,
2019-04-02 23:00:00,46.0,50.54388428,,
2019-04-03 00:00:00,48.0,50.34229279,,
2019-04-03 01:00:00,49.0,48.72870255,,
2019-04-03 02:00:00,49.0,47.85565186,,
2019-04-03 03:00:00,52.0,48.18717575,,
2019-04-03 04:00:00,52.0,48.13680649,,
2019-04-03 05:00:00,52.0,47.05867767,,
2019-04-03 06:00:00,54.0,45.03055191,,
2019-04-03 07:00:00,54.0,41.08782196,,
2019-04-03 08:00:00,55.0,49.76316071,,
2019-04-03 09:00:00,50.0,59.12606049,,
2019-04-03 10:00:00,53.0,64.89526367,,
2019-04-03 11:00:00,52.0,63.22475433,,
2019-04-03 12:00:00,51.0,64.44000244,,
2019-04-03 13:00:00,57.0,65.50590515,,
2019-04-03 14:00:00,56.0,65.31678009,,
2019-04-03 15:00:00,59.0,64.25025177,,
2019-04-03 16:00:00,61.0,60.25502014,,
2019-04-03 17:00:00,62.0,60.1783371,,
2019-04-03 18:00:00,62.0,60.96009064,,
2019-04-03 19:00:00,60.0,58.68805695,,
2019-04-03 20:00:00,61.0,58.77977753,,
2019-04-03 21:00:00,60.0,56.00516129,,
2019-04-03 22:00:00,60.0,54.76028061,,
2019-04-03 23:00:00,60.0,53.52180481,,
2019-04-04 00:00:00,57.0,54.92580414,,
2019-04-04 01:00:00,57.0,56.23659897,,
2019-04-04 02:00:00,56.0,54.01164246,,
2019-04-04 03:00:00,56.0,51.14990997,,
2019-04-04 04:00:00,55.0,45.82628632,,
2019-04-04 05:00:00,53.0,43.75899124,,
2019-04-04 06:00:00,49.0,45.39690399,,
2019-04-04 07:00:00,49.0,49.68616867,,
2019-04-04 08:00:00,50.0,54.48136902,,
2019-04-04 09:00:00,50.0,58.23596191,,
2019-04-04 10:00:00,50.0,61.93034744,,
2019-04-04 11:00:00,52.0,65.11886597,,
2019-04-04 12:00:00,58.0,62.31193542,,
2019-04-04 13:00:00,65.0,61.57830048,,
2019-04-04 14:00:00,65.0,63.26201248,,
2019-04-04 15:00:00,59.0,63.32390213,,
2019-04-04 16:00:00,59.0,61.90250397,,
2019-04-04 17:00:00,66.0,57.96517944,,
2019-04-04 18:00:00,74.0,63.02040863,,
2019-04-04 19:00:00,75.0,68.64816284,,
2019-04-04 20:00:00,72.0,72.86605835,,
2019-04-04 21:00:00,70.0,71.52320099,,
2019-04-04 22:00:00,68.0,69.88775635,,
2019-04-04 23:00:00,65.0,67.65524292,,
2019-04-05 00:00:00,61.0,68.51274872,,
2019-04-05 01:00:00,64.0,65.46482849,,
2019-04-05 02:00:00,63.0,62.16048431,,
2019-04-05 03:00:00,57.0,56.123909,,
2019-04-05 04:00:00,57.0,52.26062775,,
2019-04-05 05:00:00,54.0,52.58366394,,
2019-04-05 06:00:00,55.0,58.35722351,,
2019-04-05 07:00:00,56.0,60.15317917,,
2019-04-05 08:00:00,58.0,62.19099045,,
2019-04-05 09:00:00,59.0,64.85195923,,
2019-04-05 10:00:00,54.0,68.53894806,,
2019-04-05 11:00:00,53.0,70.89788818,,
2019-04-05 12:00:00,53.0,68.33626556,,
2019-04-05 13:00:00,52.0,68.51502228,,
2019-04-05 14:00:00,52.0,69.01165771,,
2019-04-05 15:00:00,53.0,70.24132538,,
2019-04-05 16:00:00,54.0,71.33171844,,
