,obs,predict
2019-04-01 00:00:00,38,37.4985466
2019-04-01 01:00:00,39,31.40556526
2019-04-01 02:00:00,32,27.56320763
2019-04-01 03:00:00,37,29.62444115
2019-04-01 04:00:00,45,34.77897263
2019-04-01 05:00:00,46,38.82949448
2019-04-01 06:00:00,45,43.26332855
2019-04-01 07:00:00,47,47.32546616
2019-04-01 08:00:00,47,49.24384689
2019-04-01 09:00:00,49,49.51231766
2019-04-01 10:00:00,49,50.88153458
2019-04-01 11:00:00,48,49.83185959
2019-04-01 12:00:00,48,51.66659546
2019-04-01 13:00:00,47,47.66740036
2019-04-01 14:00:00,45,43.78059769
2019-04-01 15:00:00,44,39.3444519
2019-04-01 16:00:00,43,36.42622757
2019-04-01 17:00:00,43,35.25308609
2019-04-01 18:00:00,44,35.04138565
2019-04-01 19:00:00,43,34.71516418
2019-04-01 20:00:00,42,35.04176712
2019-04-01 21:00:00,41,36.85762405
2019-04-01 22:00:00,38,38.02374649
2019-04-01 23:00:00,35,37.49640656
2019-04-02 00:00:00,36,33.26320648
2019-04-02 01:00:00,28,29.65213585
2019-04-02 02:00:00,34,27.42775345
2019-04-02 03:00:00,28,30.01669884
2019-04-02 04:00:00,34,36.0840416
2019-04-02 05:00:00,41,39.67667007
2019-04-02 06:00:00,45,45.7128334
2019-04-02 07:00:00,46,48.42200851
2019-04-02 08:00:00,47,49.1342659
2019-04-02 09:00:00,48,48.4634819
2019-04-02 10:00:00,49,49.08235168
2019-04-02 11:00:00,49,49.36977768
2019-04-02 12:00:00,49,48.86808014
2019-04-02 13:00:00,49,49.04947281
2019-04-02 14:00:00,47,41.251194
2019-04-02 15:00:00,45,37.79972458
2019-04-02 16:00:00,43,35.46186066
2019-04-02 17:00:00,39,32.15945816
2019-04-02 18:00:00,36,32.79209518
2019-04-02 19:00:00,36,33.69875717
2019-04-02 20:00:00,36,34.17589188
2019-04-02 21:00:00,31,33.29460907
2019-04-02 22:00:00,28,31.84708023
2019-04-02 23:00:00,21,33.97327805
2019-04-03 00:00:00,19,29.92473221
2019-04-03 01:00:00,18,21.02619553
