,obs,predict
2019-04-01 00:00:00,38,52.57954788
2019-04-01 01:00:00,34,45.67176819
2019-04-01 02:00:00,38,45.60305786
2019-04-01 03:00:00,39,49.46604538
2019-04-01 04:00:00,32,49.37325287
2019-04-01 05:00:00,37,46.62451172
2019-04-01 06:00:00,45,54.9124794
2019-04-01 07:00:00,46,59.89273071
2019-04-01 08:00:00,45,61.71652603
2019-04-01 09:00:00,47,64.15598297
2019-04-01 10:00:00,47,65.80732727
2019-04-01 11:00:00,49,65.8861084
2019-04-01 12:00:00,49,68.26302338
2019-04-01 13:00:00,48,66.90070343
2019-04-01 14:00:00,48,63.12391663
2019-04-01 15:00:00,47,61.43653488
2019-04-01 16:00:00,45,61.52110291
2019-04-01 17:00:00,44,58.15965271
2019-04-01 18:00:00,43,56.87394714
2019-04-01 19:00:00,43,56.29842758
2019-04-01 20:00:00,44,55.00669479
2019-04-01 21:00:00,43,53.36941147
2019-04-01 22:00:00,42,50.96642303
2019-04-01 23:00:00,41,48.8871994
2019-04-02 00:00:00,38,47.69059372
2019-04-02 01:00:00,35,44.52816391
2019-04-02 02:00:00,36,45.71390915
2019-04-02 03:00:00,28,45.58217621
2019-04-02 04:00:00,34,40.33055115
2019-04-02 05:00:00,28,42.66931534
2019-04-02 06:00:00,34,43.35669327
2019-04-02 07:00:00,41,50.23649979
2019-04-02 08:00:00,45,56.05173874
2019-04-02 09:00:00,46,60.50216293
2019-04-02 10:00:00,47,62.56215286
2019-04-02 11:00:00,48,65.08480072
2019-04-02 12:00:00,49,66.80017853
2019-04-02 13:00:00,49,67.41233826
2019-04-02 14:00:00,49,67.50474548
2019-04-02 15:00:00,49,66.18670654
2019-04-02 16:00:00,47,63.29118729
2019-04-02 17:00:00,45,61.85150146
2019-04-02 18:00:00,43,58.81537247
2019-04-02 19:00:00,39,54.73648453
2019-04-02 20:00:00,36,50.38081741
2019-04-02 21:00:00,36,44.33309174
2019-04-02 22:00:00,36,44.04179001
2019-04-02 23:00:00,31,39.69119644
2019-04-03 00:00:00,28,34.20874405
2019-04-03 01:00:00,21,32.17837524
2019-04-03 02:00:00,19,29.16094208
2019-04-03 03:00:00,18,20.1515007
2019-04-03 04:00:00,7,19.12912941
2019-04-03 05:00:00,12,8.362797737
2019-04-03 06:00:00,27,29.36426353
2019-04-03 07:00:00,34,45.05651855
2019-04-03 08:00:00,40,54.72073364
2019-04-03 09:00:00,46,64.45342255
2019-04-03 10:00:00,50,67.12909698
2019-04-03 11:00:00,53,69.83935547
2019-04-03 12:00:00,56,76.21205902
2019-04-03 13:00:00,57,79.30075836
2019-04-03 14:00:00,57,78.51407623
2019-04-03 15:00:00,60,79.15361023
2019-04-03 16:00:00,58,78.93269348
2019-04-03 17:00:00,53,73.13720703
2019-04-03 18:00:00,46,66.25798035
2019-04-03 19:00:00,41,57.72904968
2019-04-03 20:00:00,32,46.86000824
2019-04-03 21:00:00,23,35.40884018
2019-04-03 22:00:00,22,32.32586288
2019-04-03 23:00:00,26,27.64977455
2019-04-04 00:00:00,30,29.34570694
2019-04-04 01:00:00,27,27.3867836
2019-04-04 02:00:00,16,22.7723484
2019-04-04 03:00:00,14,19.81315231
2019-04-04 04:00:00,14,14.97210693
2019-04-04 05:00:00,20,11.95803642
2019-04-04 06:00:00,27,32.86820602
2019-04-04 07:00:00,33,45.30759811
2019-04-04 08:00:00,45,52.53236771
2019-04-04 09:00:00,50,66.72379303
2019-04-04 10:00:00,47,72.88047791
2019-04-04 11:00:00,52,76.25233459
2019-04-04 12:00:00,67,80.07273102
2019-04-04 13:00:00,68,89.14942169
2019-04-04 14:00:00,65,92.33111572
2019-04-04 15:00:00,63,91.62828827
2019-04-04 16:00:00,60,82.53720856
2019-04-04 17:00:00,55,78.34890747
2019-04-04 18:00:00,61,77.67720795
2019-04-04 19:00:00,69,81.04704285
2019-04-04 20:00:00,66,79.05097961
2019-04-04 21:00:00,63,71.63137817
2019-04-04 22:00:00,62,71.20319366
2019-04-04 23:00:00,67,68.38263702
2019-04-05 00:00:00,63,67.12745667
2019-04-05 01:00:00,62,70.67684937
2019-04-05 02:00:00,60,73.83989716
2019-04-05 03:00:00,57,75.50159454
2019-04-05 04:00:00,51,73.07118988
2019-04-05 05:00:00,49,66.409729
2019-04-05 06:00:00,51,67.17813873
2019-04-05 07:00:00,54,70.10909271
2019-04-05 08:00:00,58,73.38027954
2019-04-05 09:00:00,57,77.42301178
2019-04-05 10:00:00,57,79.03964233
2019-04-05 11:00:00,57,80.57505035
2019-04-05 12:00:00,57,80.39486694
2019-04-05 13:00:00,58,82.16155243
2019-04-05 14:00:00,59,82.27710724
2019-04-05 15:00:00,58,83.45407104
2019-04-05 16:00:00,54,82.82806396
2019-04-05 17:00:00,49,76.26991272
2019-04-05 18:00:00,47,57.64927292
2019-04-05 19:00:00,42,56.26582336
2019-04-05 20:00:00,40,52.96968079
2019-04-05 21:00:00,41,50.28116226
2019-04-05 22:00:00,34,47.18631363
2019-04-05 23:00:00,31,45.82691574
2019-04-06 00:00:00,30,43.63219833
2019-04-06 01:00:00,31,42.04197693
2019-04-06 02:00:00,27,37.34796906
2019-04-06 03:00:00,28,32.65710831
2019-04-06 04:00:00,26,32.70483398
2019-04-06 05:00:00,27,25.71936798
2019-04-06 06:00:00,33,34.74945068
2019-04-06 07:00:00,40,47.23149109
2019-04-06 08:00:00,47,61.63567352
2019-04-06 09:00:00,52,68.42053986
2019-04-06 10:00:00,58,77.18131256
2019-04-06 11:00:00,62,87.04021454
2019-04-06 12:00:00,64,93.51431274
2019-04-06 13:00:00,65,92.41757202
2019-04-06 14:00:00,66,95.17166138
2019-04-06 15:00:00,68,95.81890869
2019-04-06 16:00:00,65,92.22380066
2019-04-06 17:00:00,55,80.82601929
2019-04-06 18:00:00,47,68.14588928
2019-04-06 19:00:00,47,54.63634109
2019-04-06 20:00:00,45,49.41975403
2019-04-06 21:00:00,49,48.44910431
2019-04-06 22:00:00,43,50.44223404
2019-04-06 23:00:00,37,49.1530838
2019-04-07 00:00:00,40,49.53101349
2019-04-07 01:00:00,44,51.14487839
2019-04-07 02:00:00,43,51.68407059
2019-04-07 03:00:00,45,52.48633957
2019-04-07 04:00:00,43,56.03106689
2019-04-07 05:00:00,39,54.96040344
2019-04-07 06:00:00,39,51.79413223
2019-04-07 07:00:00,41,49.76128769
2019-04-07 08:00:00,42,51.33066559
2019-04-07 09:00:00,42,54.44622421
2019-04-07 10:00:00,45,56.01950836
2019-04-07 11:00:00,47,58.77726746
2019-04-07 12:00:00,49,63.71330261
2019-04-07 13:00:00,50,62.71164322
2019-04-07 14:00:00,49,64.29099274
