,再現率,適合率,調和平均,RMSE,高濃度RMSE,高濃度出現回数,高濃度追跡,予測高濃度出現回数,予測高濃度追跡,lag,locate,特徴量
ベンチマーク_lag=1,60.55045872,90.4109589,72.52747253,5.267996627,15.27537738,109,66,73,66,1,世田谷区世田谷,ベンチマーク
ベンチマーク_lag=2,35.77981651,79.59183673,49.36708861,8.090716543,24.65806391,109,39,49,39,2,世田谷区世田谷,ベンチマーク
ベンチマーク_lag=3,43.11926606,62.66666667,51.08695652,9.856580489,26.07058027,109,47,75,47,3,世田谷区世田谷,ベンチマーク
ベンチマーク_lag=1,63.63636364,93.90243902,75.86206897,4.683434764,10.50873727,121,77,82,77,1,多摩市愛宕,ベンチマーク
ベンチマーク_lag=2,66.11570248,76.92307692,71.11111111,7.454151191,13.08103058,121,80,104,80,2,多摩市愛宕,ベンチマーク
ベンチマーク_lag=3,64.46280992,59.09090909,61.66007905,10.4096572,15.3992146,121,78,132,78,3,多摩市愛宕,ベンチマーク
ベンチマーク_lag=1,83.49514563,69.91869919,76.10619469,4.817839993,8.654147855,103,86,123,86,1,幸手,ベンチマーク
ベンチマーク_lag=2,47.57281553,63.63636364,54.44444444,6.965705173,14.15267382,103,49,77,49,2,幸手,ベンチマーク
ベンチマーク_lag=3,25.24271845,63.41463415,36.11111111,9.097769794,21.02924133,103,26,41,26,3,幸手,ベンチマーク
ベンチマーク_lag=1,56,89.36170213,68.85245902,4.896646545,12.29350169,150,84,94,84,1,所沢市東所沢,ベンチマーク
ベンチマーク_lag=2,62.66666667,69.62962963,65.96491228,8.418157313,14.07392871,150,94,135,94,2,所沢市東所沢,ベンチマーク
ベンチマーク_lag=3,39.33333333,64.83516484,48.9626556,10.22294133,20.16355531,150,59,91,59,3,所沢市東所沢,ベンチマーク
ベンチマーク_lag=1,74.61538462,84.34782609,79.18367347,4.054887644,8.240062191,130,97,115,97,1,東秩父,ベンチマーク
ベンチマーク_lag=2,42.30769231,80.88235294,55.55555556,6.12234218,16.66397664,130,55,68,55,2,東秩父,ベンチマーク
ベンチマーク_lag=3,52.30769231,66.66666667,58.62068966,7.78217393,18.34163131,130,68,102,68,3,東秩父,ベンチマーク
ベンチマーク_lag=1,66.66666667,77.19298246,71.54471545,4.94432884,14.09897676,66,44,57,44,1,江戸川区南葛西,ベンチマーク
ベンチマーク_lag=2,37.87878788,71.42857143,49.5049505,7.901823225,24.93949584,66,25,35,25,2,江戸川区南葛西,ベンチマーク
ベンチマーク_lag=3,27.27272727,62.06896552,37.89473684,9.96535107,31.15358074,66,18,29,18,3,江戸川区南葛西,ベンチマーク
ベンチマーク_lag=1,60.56338028,78.18181818,68.25396825,4.823433798,13.50434416,71,43,55,43,1,草加市西町,ベンチマーク
ベンチマーク_lag=2,50.70422535,67.9245283,58.06451613,8.056397337,18.71820585,71,36,53,36,2,草加市西町,ベンチマーク
ベンチマーク_lag=3,25.35211268,66.66666667,36.73469388,10.54151468,25.09906057,71,18,27,18,3,草加市西町,ベンチマーク
ベンチマーク_lag=1,81.88405797,79.57746479,80.71428571,4.252107148,8.868614178,138,113,142,113,1,青梅市東青梅,ベンチマーク
ベンチマーク_lag=2,65.2173913,76.27118644,70.3125,7.000500096,11.85012032,138,90,118,90,2,青梅市東青梅,ベンチマーク
ベンチマーク_lag=3,47.10144928,77.38095238,58.55855856,8.786736742,15.8623734,138,65,84,65,3,青梅市東青梅,ベンチマーク
ベンチマーク_lag=1,70.63492063,83.17757009,76.39484979,4.124888887,9.954984276,126,89,107,89,1,鴻巣,ベンチマーク
ベンチマーク_lag=2,42.85714286,75,54.54545455,6.9251953,15.99445504,126,54,72,54,2,鴻巣,ベンチマーク
ベンチマーク_lag=3,40.47619048,69.8630137,51.25628141,8.885048932,19.22190405,126,51,73,51,3,鴻巣,ベンチマーク
全データ_lag=1,62.3853211,89.47368421,73.51351351,4.764720109,14.97932694,109,68,76,68,1,世田谷区世田谷,全データ
