,ëOã¥ìåã«_2_14,ç]ìåãÊëÂìá_2_14,ä¬ã´â»äwçëç€Çb_2_14
2020-04-01 02:00:00,12.0,13.0,18.0
2020-04-01 14:00:00,26.0,27.0,24.0
2020-04-02 02:00:00,45.0,37.0,39.0
2020-04-02 14:00:00,49.0,58.0,51.0
2020-04-03 02:00:00,43.0,43.0,40.0
2020-04-03 14:00:00,53.0,50.0,53.0
2020-04-04 02:00:00,34.0,22.0,19.0
2020-04-04 14:00:00,64.0,55.0,65.0
2020-04-05 02:00:00,46.0,49.0,52.0
2020-04-05 14:00:00,47.0,38.0,42.0
2020-04-06 02:00:00,37.0,40.0,31.0
2020-04-06 14:00:00,48.0,48.0,51.0
2020-04-07 02:00:00,48.0,44.0,42.0
2020-04-07 14:00:00,59.0,58.0,60.0
2020-04-08 02:00:00,31.0,26.0,19.0
2020-04-08 14:00:00,71.0,63.0,77.0
2020-04-09 02:00:00,53.0,33.0,22.0
2020-04-09 14:00:00,54.0,62.0,67.0
2020-04-10 02:00:00,43.0,47.0,47.0
2020-04-10 14:00:00,44.0,48.0,47.0
2020-04-11 02:00:00,32.0,40.0,38.0
2020-04-11 14:00:00,50.0,52.0,54.0
2020-04-12 02:00:00,35.0,35.0,44.0
2020-04-12 14:00:00,51.0,49.0,55.0
2020-04-13 02:00:00,45.0,36.0,38.0
2020-04-13 14:00:00,38.0,39.0,47.0
2020-04-14 02:00:00,46.0,37.0,40.0
2020-04-14 14:00:00,43.0,46.0,44.0
2020-04-15 02:00:00,42.0,39.0,39.0
2020-04-15 14:00:00,51.0,49.0,56.0
2020-04-16 02:00:00,56.0,31.0,18.0
2020-04-16 14:00:00,56.0,50.0,49.0
2020-04-17 02:00:00,33.0,44.0,38.0
2020-04-17 14:00:00,50.0,50.0,47.0
2020-04-18 02:00:00,29.0,36.0,30.0
2020-04-18 14:00:00,39.0,48.0,43.0
2020-04-19 02:00:00,43.0,7.0,34.0
2020-04-19 14:00:00,43.0,53.0,46.0
2020-04-20 02:00:00,41.0,46.0,38.0
2020-04-20 14:00:00,33.0,27.0,38.0
2020-04-21 02:00:00,3.0,1.0,13.0
2020-04-21 14:00:00,55.0,47.0,45.0
2020-04-22 02:00:00,31.0,35.0,26.0
2020-04-22 14:00:00,44.0,56.0,45.0
2020-04-23 02:00:00,42.0,39.0,38.0
2020-04-23 14:00:00,54.0,52.0,50.0
2020-04-24 02:00:00,38.0,34.0,33.0
2020-04-24 14:00:00,53.0,55.0,57.0
2020-04-25 02:00:00,32.0,35.0,30.0
2020-04-25 14:00:00,61.0,54.0,55.0
2020-04-26 02:00:00,37.0,56.0,23.0
2020-04-26 14:00:00,67.0,66.0,69.0
2020-04-27 02:00:00,67.0,58.0,49.0
2020-04-27 14:00:00,58.0,55.0,50.0
2020-04-28 02:00:00,34.0,41.0,27.0
2020-04-28 14:00:00,55.0,55.0,52.0
2020-04-29 02:00:00,34.0,43.0,31.0
2020-04-29 14:00:00,63.0,60.0,66.0
2020-04-30 02:00:00,28.0,26.0,19.0
2020-04-30 14:00:00,78.0,80.0,82.0
2020-05-01 02:00:00,36.0,59.0,22.0
2020-05-01 14:00:00,77.0,55.0,74.0
2020-05-02 02:00:00,20.0,24.0,20.0
2020-05-02 14:00:00,82.0,61.0,87.0
2020-05-03 02:00:00,36.0,22.0,16.0
2020-05-03 14:00:00,86.0,42.0,50.0
2020-05-04 02:00:00,18.0,40.0,21.0
2020-05-04 14:00:00,52.0,41.0,51.0
2020-05-05 02:00:00,34.0,19.0,6.0
2020-05-05 14:00:00,54.0,60.0,54.0
2020-05-06 02:00:00,41.0,41.0,33.0
2020-05-06 14:00:00,34.0,31.0,35.0
2020-05-07 02:00:00,42.0,21.0,22.0
2020-05-07 14:00:00,43.0,52.0,44.0
2020-05-08 02:00:00,35.0,37.0,31.0
2020-05-08 14:00:00,58.0,60.0,59.0
2020-05-09 02:00:00,34.0,42.0,16.0
2020-05-09 14:00:00,57.0,42.0,57.0
2020-05-10 02:00:00,17.0,43.0,19.0
2020-05-10 14:00:00,51.0,31.0,58.0
2020-05-11 02:00:00,18.0,13.0,16.0
2020-05-11 14:00:00,49.0,51.0,66.0
2020-05-12 02:00:00,41.0,35.0,26.0
2020-05-12 14:00:00,51.0,80.0,59.0
2020-05-13 02:00:00,13.0,38.0,15.0
2020-05-13 14:00:00,58.0,58.0,60.0
2020-05-14 02:00:00,29.0,37.0,36.0
2020-05-14 14:00:00,52.0,53.0,72.0
2020-05-15 02:00:00,36.0,39.0,25.0
2020-05-15 14:00:00,86.0,55.0,67.0
2020-05-16 02:00:00,36.0,38.0,45.0
2020-05-16 14:00:00,45.0,40.0,46.0
2020-05-17 02:00:00,12.0,36.0,30.0
2020-05-17 14:00:00,42.0,77.0,52.0
2020-05-18 02:00:00,27.0,42.0,39.0
2020-05-18 14:00:00,42.0,30.0,41.0
2020-05-19 02:00:00,21.0,32.0,28.0
2020-05-19 14:00:00,43.0,37.0,45.0
2020-05-20 02:00:00,26.0,25.0,31.0
2020-05-20 14:00:00,24.0,24.0,29.0
2020-05-21 02:00:00,20.0,20.0,23.0
2020-05-21 14:00:00,23.0,32.0,28.0
2020-05-22 02:00:00,26.0,21.0,19.0
2020-05-22 14:00:00,46.0,32.0,37.0
2020-05-23 02:00:00,9.0,23.0,19.0
2020-05-23 14:00:00,45.0,38.0,52.0
2020-05-24 02:00:00,41.0,19.0,26.0
2020-05-24 14:00:00,65.0,58.0,59.0
2020-05-25 02:00:00,33.0,32.0,33.0
2020-05-25 14:00:00,67.0,47.0,72.0
2020-05-26 02:00:00,31.0,28.0,11.0
2020-05-26 14:00:00,65.0,38.0,62.0
2020-05-27 02:00:00,18.0,28.0,36.0
2020-05-27 14:00:00,60.0,83.0,66.0
2020-05-28 02:00:00,50.0,44.0,50.0
2020-05-28 14:00:00,65.0,68.0,77.0
2020-05-29 02:00:00,20.0,45.0,38.0
2020-05-29 14:00:00,47.0,61.0,61.0
2020-05-30 02:00:00,31.0,20.0,24.0
