観測日,前橋東局_OX_最高値,江東区大島_OX_最高値,環境科学国際センター_OX_最高値
2018-04-01 13:00:00,,56.0,66.0
2018-04-01 16:00:00,78.0,,
2018-04-02 14:00:00,,,73.0
2018-04-02 15:00:00,71.0,72.0,
2018-04-03 13:00:00,,57.0,
2018-04-03 14:00:00,,,82.0
2018-04-03 15:00:00,82.0,,
2018-04-04 12:00:00,,58.0,
2018-04-04 13:00:00,,,92.0
2018-04-04 14:00:00,94.0,,
2018-04-05 12:00:00,54.0,,
2018-04-05 13:00:00,,46.0,
2018-04-05 14:00:00,,,47.0
2018-04-06 12:00:00,,38.0,
2018-04-06 13:00:00,,,39.0
2018-04-06 15:00:00,55.0,,
2018-04-07 16:00:00,,50.0,
2018-04-07 19:00:00,51.0,,
2018-04-07 22:00:00,,,43.0
2018-04-08 13:00:00,53.0,,
2018-04-08 14:00:00,,,50.0
2018-04-08 15:00:00,,55.0,
2018-04-09 13:00:00,64.0,,
2018-04-09 15:00:00,,,58.0
2018-04-09 21:00:00,,57.0,
2018-04-10 12:00:00,,60.0,
2018-04-10 14:00:00,,,64.0
2018-04-10 15:00:00,72.0,,
2018-04-11 09:00:00,,49.0,
2018-04-11 11:00:00,,,42.0
2018-04-11 14:00:00,71.0,,
2018-04-12 13:00:00,,,57.0
2018-04-12 18:00:00,,49.0,
2018-04-12 21:00:00,60.0,,
2018-04-13 02:00:00,59.0,,
2018-04-13 11:00:00,,,52.0
2018-04-13 12:00:00,,56.0,
2018-04-14 15:00:00,53.0,,
2018-04-14 17:00:00,,,47.0
2018-04-14 23:00:00,,51.0,
2018-04-15 01:00:00,,55.0,
2018-04-15 11:00:00,,,47.0
2018-04-15 14:00:00,54.0,,
2018-04-16 00:00:00,51.0,,
2018-04-16 14:00:00,,,52.0
2018-04-16 15:00:00,,54.0,
2018-04-17 00:00:00,,,42.0
2018-04-17 01:00:00,,45.0,
2018-04-17 10:00:00,46.0,,
2018-04-18 14:00:00,56.0,,54.0
2018-04-18 16:00:00,,48.0,
2018-04-19 12:00:00,,51.0,
2018-04-19 14:00:00,73.0,,63.0
2018-04-20 09:00:00,75.0,,
2018-04-20 14:00:00,,86.0,
2018-04-20 16:00:00,,,78.0
2018-04-21 13:00:00,,,91.0
2018-04-21 14:00:00,,65.0,
2018-04-21 17:00:00,103.0,,
2018-04-22 13:00:00,,92.0,
2018-04-22 15:00:00,,,106.0
2018-04-22 17:00:00,106.0,,
2018-04-23 03:00:00,,72.0,
2018-04-23 13:00:00,74.0,,68.0
2018-04-24 00:00:00,44.0,41.0,46.0
2018-04-25 15:00:00,,41.0,50.0
2018-04-25 23:00:00,51.0,,
2018-04-26 13:00:00,58.0,,
2018-04-26 14:00:00,,59.0,
2018-04-26 15:00:00,,,59.0
2018-04-27 12:00:00,,43.0,
2018-04-27 15:00:00,64.0,,
2018-04-27 16:00:00,,,65.0
2018-04-28 13:00:00,,71.0,
2018-04-28 16:00:00,74.0,,
2018-04-28 20:00:00,,,72.0
2018-04-29 02:00:00,,66.0,
2018-04-29 12:00:00,,,76.0
2018-04-29 14:00:00,82.0,,
2018-04-30 00:00:00,,53.0,
2018-04-30 10:00:00,,,59.0
2018-04-30 14:00:00,74.0,,
2018-05-01 13:00:00,85.0,,
2018-05-01 15:00:00,,92.0,
2018-05-01 16:00:00,,,91.0
2018-05-02 12:00:00,,57.0,
