,観測日時,日最高値
0,2018-04-01 13:00:00,66.0
1,2018-04-02 14:00:00,73.0
2,2018-04-03 14:00:00,82.0
3,2018-04-04 13:00:00,92.0
4,2018-04-05 14:00:00,47.0
5,2018-04-06 13:00:00,39.0
6,2018-04-07 22:00:00,43.0
7,2018-04-08 14:00:00,50.0
8,2018-04-09 15:00:00,58.0
9,2018-04-10 14:00:00,64.0
10,2018-04-11 11:00:00,42.0
11,2018-04-12 13:00:00,57.0
12,2018-04-13 11:00:00,52.0
13,2018-04-14 17:00:00,47.0
14,2018-04-15 11:00:00,47.0
15,2018-04-16 14:00:00,52.0
16,2018-04-17 00:00:00,42.0
17,2018-04-18 14:00:00,54.0
18,2018-04-19 14:00:00,63.0
19,2018-04-20 16:00:00,78.0
20,2018-04-21 13:00:00,91.0
21,2018-04-22 15:00:00,106.0
22,2018-04-23 13:00:00,68.0
23,2018-04-24 00:00:00,46.0
24,2018-04-25 15:00:00,50.0
25,2018-04-26 15:00:00,59.0
26,2018-04-27 16:00:00,65.0
27,2018-04-28 20:00:00,72.0
28,2018-04-29 12:00:00,76.0
29,2018-04-30 10:00:00,59.0
30,2018-05-01 16:00:00,91.0
31,2018-05-02 14:00:00,65.0
32,2018-05-03 16:00:00,49.0
33,2018-05-04 14:00:00,61.0
34,2018-05-05 15:00:00,69.0
35,2018-05-06 13:00:00,95.0
36,2018-05-07 16:00:00,55.0
37,2018-05-08 00:00:00,46.0
38,2018-05-09 12:00:00,45.0
39,2018-05-10 14:00:00,48.0
40,2018-05-11 12:00:00,61.0
41,2018-05-12 13:00:00,88.0
42,2018-05-13 16:00:00,61.0
43,2018-05-14 11:00:00,60.0
44,2018-05-15 13:00:00,78.0
45,2018-05-16 14:00:00,94.0
46,2018-05-17 17:00:00,92.0
47,2018-05-18 12:00:00,69.0
48,2018-05-19 16:00:00,47.0
49,2018-05-20 17:00:00,50.0
50,2018-05-21 16:00:00,55.0
51,2018-05-22 14:00:00,90.0
52,2018-05-23 23:00:00,45.85454545454545
53,2018-05-24 23:00:00,58.50909090909091
54,2018-05-25 17:00:00,68.0
55,2018-05-26 11:00:00,72.0
56,2018-05-27 15:00:00,106.0
57,2018-05-28 16:00:00,62.0
58,2018-05-29 13:00:00,98.0
59,2018-05-30 14:00:00,69.0
60,2018-05-31 23:00:00,50.0
61,2018-06-01 16:00:00,68.0
62,2018-06-02 17:00:00,100.0
63,2018-06-03 15:00:00,78.0
64,2018-06-04 14:00:00,78.0
65,2018-06-05 14:00:00,89.0
66,2018-06-06 12:00:00,73.0
67,2018-06-07 15:00:00,92.0
68,2018-06-08 11:00:00,68.0
69,2018-06-09 17:00:00,73.0
70,2018-06-10 00:00:00,50.0
71,2018-06-11 00:00:00,31.0
72,2018-06-12 14:00:00,34.0
73,2018-06-13 16:00:00,67.0
74,2018-06-14 13:00:00,54.0
75,2018-06-15 11:00:00,35.0
76,2018-06-16 14:00:00,30.0
77,2018-06-17 17:00:00,50.0
78,2018-06-18 11:00:00,31.0
79,2018-06-19 16:00:00,61.0
80,2018-06-20 17:00:00,36.0
81,2018-06-21 14:00:00,41.0
82,2018-06-22 18:00:00,93.0
83,2018-06-23 15:00:00,56.0
84,2018-06-24 18:00:00,76.0
85,2018-06-25 16:00:00,94.0
86,2018-06-26 14:00:00,113.0
87,2018-06-27 12:00:00,26.0
88,2018-06-28 15:00:00,56.0
89,2018-06-29 10:00:00,16.0
90,2018-06-30 11:00:00,31.0
91,2018-07-01 08:00:00,25.0
92,2018-07-02 13:00:00,74.0
93,2018-07-03 11:00:00,61.0
94,2018-07-04 12:00:00,19.0
95,2018-07-05 02:00:00,19.0
96,2018-07-06 02:00:00,27.0
97,2018-07-07 16:00:00,19.0
98,2018-07-08 16:00:00,43.0
99,2018-07-09 13:00:00,44.0
100,2018-07-10 12:00:00,61.0
101,2018-07-11 14:00:00,57.0
102,2018-07-12 15:00:00,60.0
103,2018-07-13 17:00:00,61.0
104,2018-07-14 16:00:00,80.0
105,2018-07-15 13:00:00,67.0
106,2018-07-16 14:00:00,78.0
107,2018-07-17 15:00:00,99.0
108,2018-07-18 16:00:00,123.0
109,2018-07-19 14:00:00,104.0
110,2018-07-20 12:00:00,82.0
111,2018-07-21 14:00:00,93.0
112,2018-07-22 17:00:00,76.0
113,2018-07-23 17:00:00,90.0
114,2018-07-24 12:00:00,73.0
115,2018-07-25 14:00:00,52.0
116,2018-07-26 15:00:00,47.0
117,2018-07-27 13:00:00,52.0
118,2018-07-28 11:00:00,28.0
119,2018-07-29 15:00:00,49.0
120,2018-07-30 13:00:00,46.0
121,2018-07-31 14:00:00,78.0
122,2018-08-01 16:00:00,108.0
123,2018-08-02 14:00:00,90.0
124,2018-08-03 14:00:00,90.0
125,2018-08-04 14:00:00,114.0
126,2018-08-05 11:00:00,74.0
127,2018-08-06 15:00:00,58.0
128,2018-08-07 15:00:00,25.0
129,2018-08-08 12:00:00,23.0
130,2018-08-09 15:00:00,50.0
131,2018-08-10 14:00:00,88.0
132,2018-08-11 15:00:00,60.0
133,2018-08-12 13:00:00,42.0
134,2018-08-13 11:00:00,51.0
135,2018-08-14 13:00:00,60.0
136,2018-08-15 10:00:00,33.0
137,2018-08-16 17:00:00,30.0
138,2018-08-17 02:00:00,32.0
139,2018-08-18 15:00:00,60.0
140,2018-08-19 13:00:00,71.0
141,2018-08-20 15:00:00,54.0
142,2018-08-21 12:00:00,77.0
143,2018-08-22 11:00:00,49.0
144,2018-08-23 13:00:00,24.0
145,2018-08-24 14:00:00,14.0
146,2018-08-25 15:00:00,64.0
147,2018-08-26 17:00:00,83.0
148,2018-08-27 11:00:00,70.0
149,2018-08-28 15:00:00,50.0
150,2018-08-29 15:00:00,45.0
151,2018-08-30 13:00:00,83.0
152,2018-08-31 14:00:00,104.0
153,2018-09-01 15:00:00,58.0
154,2018-09-02 02:00:00,43.0
155,2018-09-03 15:00:00,40.0
156,2018-09-04 23:00:00,12.0
157,2018-09-05 12:00:00,59.0
158,2018-09-06 14:00:00,76.0
159,2018-09-07 13:00:00,46.0
160,2018-09-08 12:00:00,48.0
161,2018-09-09 00:00:00,38.0
162,2018-09-10 21:00:00,31.0
163,2018-09-11 13:00:00,41.0
164,2018-09-12 11:00:00,45.0
165,2018-09-13 15:00:00,63.0
166,2018-09-14 12:00:00,39.0
167,2018-09-15 15:00:00,45.0
168,2018-09-16 14:00:00,62.0
169,2018-09-17 14:00:00,65.0
170,2018-09-18 14:00:00,69.0
171,2018-09-19 14:00:00,65.0
