測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
39201350,2024/05/01,01,0,0,0.003,0.003,,0.009,,,,0.021,17,,NE,0.6,,
39201350,2024/05/01,02,0,0,0.003,0.003,,0.010,,,,0.024,18,,NE,1.6,,
39201350,2024/05/01,03,0,0,0.002,0.002,,0.015,,,,0.013,10,,WSW,0.5,,
39201350,2024/05/01,04,0,0,0.002,0.002,,0.019,,,,0.007,9,,ENE,1.7,,
39201350,2024/05/01,05,0,0,0.002,0.002,,0.025,,,,0.006,6,,SSE,0.8,,
39201350,2024/05/01,06,0,0,0.004,0.004,,0.021,,,,0.016,14,,CALM,0.1,,
39201350,2024/05/01,07,0,0,0.006,0.006,,0.016,,,,0.019,17,,CALM,0.1,,
39201350,2024/05/01,08,0,0.001,0.006,0.007,,0.013,,,,0.014,17,,SSE,1.6,,
39201350,2024/05/01,09,0,0.001,0.005,0.006,,0.025,,,,0,3,,E,2.4,,
39201350,2024/05/01,10,0,0.002,0.005,0.007,,0.029,,,,0.003,1,,ENE,1.7,,
39201350,2024/05/01,11,0,0.001,0.004,0.005,,0.030,,,,,-1,,NNE,1.9,,
39201350,2024/05/01,12,0,0.001,0.003,0.004,,0.032,,,,0.003,4,,NE,1.2,,
39201350,2024/05/01,13,0,0.001,0.002,0.003,,0.034,,,,0.003,5,,ENE,2.5,,
39201350,2024/05/01,14,0,0.001,0.002,0.003,,0.038,,,,0.002,3,,ENE,2.1,,
39201350,2024/05/01,15,0,0.001,0.003,0.004,,0.042,,,,0.003,9,,NNE,3.7,,
39201350,2024/05/01,16,0,0.001,0.003,0.004,,0.040,,,,0.005,3,,N,2.4,,
39201350,2024/05/01,17,0,0,0.003,0.003,,0.041,,,,0.004,5,,ENE,1.7,,
39201350,2024/05/01,18,0,0,0.002,0.002,,0.040,,,,0.006,2,,ENE,2.7,,
39201350,2024/05/01,19,0,0,0.002,0.002,,0.042,,,,0.005,4,,NE,3.6,,
39201350,2024/05/01,20,0,0,0.002,0.002,,0.044,,,,0.005,5,,N,2.6,,
39201350,2024/05/01,21,0,0,0.001,0.001,,0.048,,,,0.010,7,,NNE,2.6,,
39201350,2024/05/01,22,0,0,0.001,0.001,,0.048,,,,0.012,6,,NNE,4.9,,
39201350,2024/05/01,23,0,0,0.002,0.002,,0.043,,,,0.015,7,,NE,3.2,,
39201350,2024/05/01,24,0,0,0.001,0.001,,0.043,,,,0.011,8,,NE,4.8,,
39201350,2024/05/02,01,0,0,0.002,0.002,,0.043,,,,0.014,14,,ENE,6.0,,
39201350,2024/05/02,02,-,-,-,-,,-,,,,0.018,10,,NE,3.2,,
39201350,2024/05/02,03,0.001,0,0.004,0.004,,0.039,,,,0.023,16,,NE,3.0,,
39201350,2024/05/02,04,0,0,0.003,0.003,,0.041,,,,0.016,11,,NNE,2.7,,
39201350,2024/05/02,05,0,0,0.002,0.002,,0.044,,,,0.012,6,,NNE,4.6,,
39201350,2024/05/02,06,0,0,0.002,0.002,,0.043,,,,0.012,7,,NE,3.1,,
39201350,2024/05/02,07,0,0,0.002,0.002,,0.041,,,,0.011,6,,NE,3.0,,
39201350,2024/05/02,08,0,0,0.002,0.002,,0.041,,,,0.011,10,,NE,3.8,,
39201350,2024/05/02,09,0,0.001,0.002,0.003,,0.042,,,,0.008,10,,NE,2.9,,
39201350,2024/05/02,10,0,0,0.002,0.002,,0.043,,,,0.008,3,,NNE,0.8,,
39201350,2024/05/02,11,0,0.001,0.002,0.003,,0.046,,,,0.011,7,,SSW,0.3,,
39201350,2024/05/02,12,0,0.001,0.002,0.003,,0.049,,,,0.011,8,,CALM,0.2,,
39201350,2024/05/02,13,0,0,0.002,0.002,,0.051,,,,0.009,11,,S,4.5,,
39201350,2024/05/02,14,0,0,0.002,0.002,,0.049,,,,0.014,8,,S,3.7,,
39201350,2024/05/02,15,0,0,0.001,0.001,,0.048,,,,0.012,9,,S,3.8,,
39201350,2024/05/02,16,0,0,0.001,0.001,,0.048,,,,0.011,10,,SSW,3.5,,
39201350,2024/05/02,17,0,0,0.001,0.001,,0.051,,,,0.012,8,,SSW,2.7,,
39201350,2024/05/02,18,0,-,-,-,,0.051,,,,-,6,,SSW,2.4,,
39201350,2024/05/02,19,0,0,0.001,0.001,,0.050,,,,0.011,10,,SW,0.9,,
39201350,2024/05/02,20,0,0,0.002,0.002,,0.048,,,,0.013,9,,SSW,0.4,,
39201350,2024/05/02,21,0,0,0.002,0.002,,0.040,,,,0.011,12,,ENE,0.9,,
39201350,2024/05/02,22,0,0,0.003,0.003,,0.039,,,,0.010,12,,E,0.3,,
39201350,2024/05/02,23,0,0,0.003,0.003,,0.030,,,,0.014,7,,SW,0.6,,
39201350,2024/05/02,24,0,0,0.004,0.004,,0.028,,,,0.013,11,,ESE,0.4,,
39201350,2024/05/03,01,0,0,0.003,0.003,,0.025,,,,0.010,10,,CALM,0.2,,
39201350,2024/05/03,02,0,0,0.004,0.004,,0.021,,,,0.013,12,,NW,0.6,,
39201350,2024/05/03,03,0,0,0.002,0.002,,0.021,,,,0.013,9,,NNW,0.4,,
39201350,2024/05/03,04,0,0,0.002,0.002,,0.020,,,,0.013,8,,SSW,0.3,,
39201350,2024/05/03,05,0,0,0.002,0.002,,0.018,,,,0.014,9,,WNW,0.3,,
39201350,2024/05/03,06,0,0,0.002,0.002,,0.018,,,,0.013,8,,NE,1.0,,
39201350,2024/05/03,07,0,0,0.002,0.002,,0.019,,,,0.013,10,,NNE,1.1,,
39201350,2024/05/03,08,0,0.001,0.004,0.005,,0.022,,,,0.012,7,,WNW,0.7,,
39201350,2024/05/03,09,0,0.001,0.003,0.004,,0.032,,,,0.013,14,,NW,0.6,,
39201350,2024/05/03,10,0,0,0.002,0.002,,0.045,,,,0.007,7,,N,0.7,,
39201350,2024/05/03,11,0,0,0.002,0.002,,0.052,,,,0.009,8,,NNE,0.9,,
39201350,2024/05/03,12,0,0,0.001,0.001,,0.054,,,,0.009,6,,S,3.8,,
39201350,2024/05/03,13,0,0,0.001,0.001,,0.052,,,,0.008,7,,S,4.1,,
39201350,2024/05/03,14,0,0,0.001,0.001,,0.053,,,,0.009,6,,S,3.8,,
39201350,2024/05/03,15,0,0,0.001,0.001,,0.055,,,,0.008,10,,S,3.6,,
39201350,2024/05/03,16,0,0,0.001,0.001,,0.056,,,,0.014,8,,S,2.6,,
39201350,2024/05/03,17,0,0,0.001,0.001,,0.057,,,,0.010,11,,S,2.9,,
